"Q" "C"
"AA" 1.31700250230475e-05 1.29229455806883e-05
"AC" 0 0
"AD" 8.98383849786457e-05 8.8784250100516e-05
"AE" 2.19500417050792e-05 2.15443562478592e-05
"AF" 0.00042712814021224 0.00025256330373952
"AH" 5.41434362058621e-05 5.22892649927933e-05
"AI" 9.87751876728566e-05 9.77589714581565e-05
"AM" 0 0
"AQ" 7.22325218571761e-05 6.95023054270433e-05
"AY" 0 0
"AZ" 4.39000834101585e-05 4.19668432764359e-05
"BA" 0.000130507251210531 0.000125170533885373
"BD" 2.39455000419046e-05 2.34254213825674e-05
"BF" 0.00120616713247493 0.00111605406111236
"BI" 0.000143224022125642 0.000141081366365522
"BK" 0.000131700250230475 0.000118493411542231
"BM" 0.00410364800123619 0.00304794606522408
"BP" 1.64625312788094e-05 1.54006087573458e-05
"BQ" 0.000356160056403355 0.000285395024712883
"BU" 3.70840178280549e-05 3.7034277060084e-05
"BV" 6.72756590678704e-05 6.23397622198585e-05
"CN" 0.000158979706222866 0.000149986106863745
"CO" 0 0
"CQ" 0.0002266282359089 0.000220640550256354
"CT" 0 0
"CU" 0.000239399687794986 0.00022598503437037
"DA" 7.05537054806119e-06 6.88596553527909e-06
"DB" 0.000125755076991326 0.000122020267936245
"DE" 2.82214821922447e-05 2.79413910765625e-05
"DI" 0.0393576590183868 0.0251079717844808
"DK" 0.00576938681296824 0.00402586404339465
"DM" 0.000260356220451045 0.000249345657898582
"DQ" 0.000367289407398946 0.000351044506109226
"DR" 0.000180476394799592 0.000175517723831924
"DS" 7.86824571889764e-05 7.36703836788752e-05
"DT" 0 0
"DW" 2.19500417050792e-05 2.1581944978832e-05
"DX" 0 0
"DY" 0.000205062188012071 0.000203240008389572
"EA" 1.09750208525396e-05 1.08514434101745e-05
"EC" 0 0
"EE" 2.63400500460951e-05 2.61909358903762e-05
"EI" 3.18275604723649e-05 3.16167563408235e-05
"EN" 6.97236618867223e-05 5.50459103174175e-05
"EO" 0 0
"EP" 0.000194224167910213 0.000186532299218469
"EQ" 0.00171416102407455 0.00151780102609379
"ER" 0.000163438626756641 0.000150587623263534
"ES" 6.64863582081386e-05 6.50195458827945e-05
"ET" 0.00155414048197248 0.00143108562519684
"EU" 0.00144669948538121 0.00117323085187116
"EV" 0.000351573391416224 0.000319894183629668
"EW" 0.000107913632836172 0.000104289760732677
"EX" 0.000221108727640122 0.000213131640446198
"FA" 0.000188855878306688 0.00018504730754755
"FE" 0.00128366397719893 0.00111561950353648
"FF" 3.95100750691427e-05 3.68244227639527e-05
"FI" 0 0
"FS" 0 0
"FU" 0.00903763415256291 0.00640244063204217
"FY" 0.00118699554100581 0.00116850324416372
"GA" 6.25199062848077e-05 6.08763497161432e-05
"GC" 0.000113738461865412 0.000113295233868588
"GM" 0.000504111058499796 0.00045238320062628
"GU" 0.000327417862784906 0.00031881510569284
"GY" 0.207951470300724 0.114465341245721
"HA" 0.00960197282179009 0.00850088855059335
"HB" 0.00109337427783358 0.000984612401519358
"HE" 0.000215724928573898 0.00019998132549199
"HF" 0.00219823768679463 0.00142625615749316
"HI" 0.00190077877638234 0.00168866314652866
"HL" 0.00989198399627966 0.0081236773243246
"HQ" 0 0
"HT" 1.79591250314285e-05 1.75785375673539e-05
"HY" 2.20179984905439e-05 2.14960559553561e-05
"IA" 0.000258126599000678 0.000244807108422477
"ID" 6.40209549731478e-05 6.23036921094059e-05
"IF" 0.000207662959525699 0.000199148595873062
"IG" 0 0
"IH" 9.34685841837165e-05 9.06200601802023e-05
"II" 0 0
"IJ" 0.0011626237412087 0.000948764933593652
"IK" 0.000186369668186159 0.000172853344677739
"IL" 0 0
"IM" 0.000189033410750782 0.000182171466651984
"IO" 0 0
"IP" 0 0
"IQ" 8.01644037645762e-05 7.89822628142734e-05
"IU" 6.61245006365513e-05 6.53551320803511e-05
"IX" 0 0
"IY" 4.5588548156703e-05 4.49682439888672e-05
"JA" 0.000694016461573528 0.000659026064411079
"JB" 0.00325787348439415 0.00223829688197453
"JI" 0.00248656732819599 0.00192461761466201
"JM" 0.00106486709299906 0.000769979458530303
"JO" 0.00311366079391461 0.00256902320515811
"JS" 0.00010536020018438 9.29563037563641e-05
"JU" 2.9266722273439e-05 2.88547686780385e-05
"JW" 0 0
"JY" 0.000203836069106713 0.000199177709381961
"KA" 1.09750208525396e-05 1.07558966025677e-05
"KI" 6.88893616590179e-05 6.66738856925015e-05
"KM" 0.000116170704634488 0.000112368758072849
"KU" 0.00609855442097336 0.00493073043183242
"KV" 0 0
"KY" 7.31668056835976e-06 7.28495458137811e-06
"LE" 7.65940928971975e-05 7.57828531242262e-05
"LI" 0.00032803956062247 0.000293477937706316
"LJ" 0.00316093668964136 0.00273895807718328
"LQ" 0.0109259030133586 0.00856942144303043
"MA" 4.62464671786324e-05 4.429731318455e-05
"MC" 4.0956782363341e-05 3.894692625668e-05
"ML" 7.32042886783124e-05 6.35634102624652e-05
"MM" 0.00657331061951117 0.00578150790321856
"MQ" 0.00027675530069412 0.000246304521922238
"MR" 0.0020652845112165 0.00121786233690469
"MU" 0 0
"MW" 0.000520131919892535 0.000335294305951883
"MY" 0.00190518373799794 0.00170863161619303
"NE" 0.0235302017666119 0.0194521942558355
"NI" 0.000603797892251373 0.000582084213039821
"NM" 0.204765319631329 0.0929763405819942
"NN" 0.00126306229193518 0.00118022603594366
"NQ" 0.0757715264024905 0.0507908062551906
"NS" 0 0
"NU" 0.00171173791637514 0.00140188430312681
"OA" 6.58501251152377e-05 6.4979257156209e-05
"OE" 0.00457205928524112 0.00354664489498099
"OI" 0 0
"OM" 0.00536702345835647 0.00473139200807369
"OO" 1.77642197985292e-05 1.49088474650972e-05
"OP" 0.000148891254773028 0.00014104892001718
"OR" 0.000125115237718952 0.000114149812531549
"OT" 0.000310855165469072 0.00029447917977195
"OU" 0 0
"OX" 0 0
"OY" 0.000173945428441847 0.000167446352029922
"OZ" 0.000327604372448308 0.000261438224166535
"PA" 0.000154363838182933 0.000145469567237511
"PC" 0.102988022482002 0.0612294079938491
"PD" 0 0
"PE" 0.00154603694807762 0.00130270655840579
