"Q" "C"
"AA" 0.000324445408868504 0.000296737246305925
"AC" 0.000943228183042928 0.000780703517469753
"AD" 7.28336482937649e-06 7.14326418318769e-06
"AE" 1.89752846916891e-05 1.8182765064608e-05
"AF" 0.000124929934471636 0.000110247561823156
"AH" 0.000538986042037192 0.000512183649438117
"AI" 5.75600701199497e-05 5.351032950681e-05
"AM" 0.000202365527728902 0.000196976853163391
"AQ" 0.000123774833835805 0.000118240609534269
"AY" 3.87600214457463e-05 3.58740354267281e-05
"AZ" 2.56332793203519e-05 2.4094507662345e-05
"BA" 0.000703244721416209 0.00066753382852349
"BD" 0.000272835635177102 0.000263437071127706
"BF" 0.00139272914745144 0.00131123316289055
"BI" 0.000199877603489098 0.000195907085742082
"BK" 0.000151529665163578 0.000137780418804746
"BM" 0.000614079507905273 0.0005598375524736
"BP" 0.000150054917998372 0.000136634012765112
"BQ" 0.00152461212311501 0.00128075673543392
"BU" 0.00058424397066364 0.00057914465200332
"BV" 0.000121015672972803 0.000111066322317524
"CN" 0.000458130512586039 0.000424072658114948
"CO" 0.0011236415143224 0.0010381507171038
"CQ" 0.00243075439189282 0.00224526780984728
"CT" 3.16894936652702e-06 2.94401458284891e-06
"CU" 0.00296461865936795 0.00265082337253156
"DA" 7.90557666887715e-05 7.29846069671126e-05
"DB" 0.00179796293973587 0.00166268852291081
"DE" 0.000292827217064229 0.000283846817590169
"DI" 0.0345059128137873 0.0252097155046932
"DK" 0.00261491307229084 0.00239704941472117
"DM" 0.00287059105955378 0.00268586293035376
"DQ" 0.000875090237620887 0.000826337580827738
"DR" 0.000942353759530663 0.000875279400994153
"DS" 0.000664470599818192 0.000614155521580426
"DT" 3.34529651555474e-05 3.20550250633675e-05
"DW" 7.51259371290651e-05 7.14516123751853e-05
"DX" 0.000137071930363984 0.000126269730273455
"DY" 0.00131013142786847 0.00125481160389606
"EA" 0.000526951088112687 0.000507516961331749
"EC" 7.17842422525362e-05 7.01207896294391e-05
"EE" 0.000145913786412934 0.000141977368264984
