"Q" "C"
"AA" 0.00584795947537226 0.00482251894357904
"AC" 0.0258911635690278 0.0191683733910845
"AD" 0.000242037461614248 0.000236338691011216
"AE" 0.000935712698139412 0.000831668536874736
"AF" 6.86319407272427e-06 6.74794048440797e-06
"AH" 0.0007411875758832 0.000678110357075967
"AI" 0.00893573552495668 0.00724519583491498
"AM" 0.000595544689466483 0.000572282484761453
"AQ" 4.34751704913326e-05 4.24369403016726e-05
"AY" 0.000175779936599169 0.000162402524162435
"AZ" 4.12135618871321e-06 3.93300489638344e-06
"BA" 0.000230369691339108 0.000225363185356669
"BD" 3.46264671771753e-05 3.36896550631246e-05
"BF" 0.000123150548023563 0.000119613246792201
"BI" 0.000238502408219942 0.000230537903081012
"BK" 1.00726936631514e-05 9.17385647108464e-06
"BM" 3.78422563299106e-06 3.75675204026175e-06
"BP" 7.68818297568036e-05 6.936423765294e-05
"BQ" 2.08889912616689e-05 2.01887142699234e-05
"BU" 0.0215321520322007 0.0198588263485975
"BV" 3.79671665818037e-05 3.65492212899086e-05
"CN" 0.000149273579738233 0.000143230981297771
"CO" 0.00754573559639233 0.00603808668351898
"CQ" 0.00663031809658599 0.00590821853035251
"CT" 7.716342582341e-06 7.0493571951162e-06
"CU" 0.00132295960303921 0.00117877715172052
"DA" 0.00557537484971205 0.00475445005517475
"DB" 0.00487236294606166 0.00426288086643907
"DE" 0.00101489808164006 0.000970323823872706
"DI" 6.16860729175532e-05 6.09375160629622e-05
"DK" 2.54532419372594e-05 2.53106167022317e-05
"DM" 0.00209193064417486 0.00198496313078889
"DQ" 0.000679803626541684 0.000660781029657032
"DR" 0.00162492323280647 0.00148508775777664
"DS" 0.000204484590917842 0.00019807895103833
"DT" 0.00208483292051274 0.00165712855953302
"DW" 0.00148233626791995 0.00113342657267855
"DX" 0.000689621978834198 0.000600987387080209
"DY" 0.0173688425639641 0.012547027306196
"EA" 0.0448745036358084 0.034503704557542
"EC" 0.00254584387860798 0.00210753422782513
"EE" 0.00195618524998727 0.00169412271290302
"EI" 0.0210704777136577 0.0140378476278976
