"Q" "C"
"AA" 0.000199098016848732 0.000184649029113153
"AC" 0.000133304261136881 0.000130927844455205
"AD" 0.000718718990976126 0.000646633314980625
"AE" 0.000236490035981461 0.000208822121961127
"AF" 7.37004785587782e-06 7.13966134643584e-06
"AH" 0.00378146297114202 0.00298327832737165
"AI" 6.32851311584343e-06 6.23403016149348e-06
"AM" 0.00030561019736093 0.000269062615836036
"AQ" 0.00240860830895454 0.00193645825373204
"AY" 0.000671876568453384 0.000433029444322524
"AZ" 0.000715558261291779 0.000513341126315876
"BA" 0.00689171555396853 0.00561159940638517
"BD" 0.000243974263352208 0.000230686439175323
"BF" 0.000674978986439425 0.000604654255258056
"BI" 2.11031571978318e-05 2.06289201676561e-05
"BK" 1.70769401538632e-06 1.65228145598564e-06
"BM" 8.36134086491369e-05 8.21089390035153e-05
"BP" 0 0
"BQ" 4.60987002021219e-05 4.18635852375457e-05
"BU" 4.68608593695848e-06 4.67870102237414e-06
"BV" 0.000590197913523977 0.000436963432424084
"CN" 0.00253686474080281 0.00184716478418342
"CO" 0.00497201953782031 0.00328018918180149
"CQ" 0.0453913321027 0.0265948228596838
"CT" 3.37131095294962e-05 2.12115309407031e-05
"CU" 0.00582002253080105 0.0031479743234873
"DA" 0.00475412995692646 0.00290473572528697
"DB" 0.00740290992641 0.00478368522497955
"DE" 0.0366070021124375 0.0297774178835411
"DI" 0.000110624976278915 0.000109546659865211
"DK" 1.98142732079384e-05 1.97339858702e-05
"DM" 0.0388321525005008 0.0264751697646934
"DQ" 0.0121854138002194 0.00965776061957435
"DR" 0.0185887824830233 0.0110846334602001
"DS" 0.00188461052784389 0.00140882545308265
"DT" 2.96315927479636e-05 2.89223085144766e-05
"DW" 0.00935355877652797 0.00726277564410689
"DX" 0.0469989828299034 0.0261141064148509
"DY" 0.00736225684950337 0.00629352962274478
"EA" 0.00614330756970234 0.00530063176903456
"EC" 0.000182617510749654 0.000168171203102586
"EE" 0.00561412189007939 0.0048905987076531
"EI" 0.000794546507196602 0.000726673185709459
"EN" 0 0
"EO" 0 0
"EP" 0.000543498839042211 0.000519936793966841
"EQ" 0.0050047916163784 0.00423988747436569
"ER" 3.10373387296464e-05 2.86559670970413e-05
"ES" 3.57942364041469e-05 3.51504787018542e-05
"ET" 0.000252693328763869 0.000237233700320592
"EU" 0.000106502283118654 0.000101651119884677
"EV" 0.000349653557722767 0.000284470049005819
"EW" 5.69410255245641e-05 5.59716628878254e-05
"EX" 0.000149446365089491 0.00014512401190864
"FA" 6.31669303620036e-06 6.20496071159675e-06
"FE" 3.75390154841473e-05 3.55225735766652e-05
"FF" 0.000844404187513452 0.00068426325593393
"FI" 9.23502053629518e-05 8.31362096210577e-05
"FS" 0 0
"FU" 6.20720811219967e-05 5.73159084787735e-05
"FY" 0.0038970929957607 0.00361049776904192
"GA" 0.00705054244808022 0.00585527542189048
"GC" 6.99304039592699e-05 6.94241191560252e-05
"GM" 0.00115959799476592 0.000921292724287199
"GU" 0.00136349878624244 0.00126120891961695
"GY" 0.000178437959044218 0.000175467369195522
"HA" 0.00040112012296949 0.000386913217274458
"HB" 0.00109335750366462 0.000921062626152044
"HE" 3.94472483403289e-05 3.50092954781667e-05
"HF" 0.000105260473383411 8.95245393061107e-05
"HI" 0.000149854394848335 0.000142608337745437
"HL" 0.00912923205498331 0.00652914626587833
"HQ" 7.60592034883496e-05 7.1377080253956e-05
"HT" 0.000549936528412256 0.000451757535870135
"HY" 0.00119669774419739 0.000828767867095691
"IA" 0.0238565509908689 0.0155273145363119
"ID" 0.000196966035324503 0.000187088064131384
"IF" 5.33808729639849e-05 5.0759512858941e-05
"IG" 0.00217215074043059 0.00160294883208861
"IH" 0.000175096113158619 0.000163311217046361
"II" 0.000402161345837673 0.000374330531814282
"IJ" 0.000134510563841323 0.000131046000954776
"IK" 7.90654968373801e-06 7.73233138361713e-06
"IL" 0 0
"IM" 4.04241058622262e-05 3.87299050256631e-05
"IO" 1.70769401538632e-06 1.69051475401468e-06
"IP" 4.48269679038909e-06 4.36541103530951e-06
"IQ" 0.000429599407910166 0.000421883893884462
"IU" 5.87747209338767e-05 5.76168876803215e-05
"IX" 1.34480903711673e-05 1.3378847275533e-05
"IY" 0.000638593892564515 0.000566484614859988
"JA" 0.00260435024746249 0.00236245397663622
"JB" 0.000279733294581994 0.000270465640471986
"JI" 0.000149320354099956 0.000131507368496226
"JM" 4.9759415902845e-05 4.46562552771378e-05
"JO" 0.000215333737439756 0.000194611904157411
"JS" 0 0
"JU" 0.000209211528061607 0.000193072671233469
"JW" 1.64913869929904e-05 1.61656899673111e-05
"JY" 0.0149984862446838 0.0119472210230748
"KA" 0.000188026639885457 0.000178036619483916
"KI" 0.018120243907585 0.0143295280956673
"KM" 0.00397417256403391 0.00260290560434053
"KU" 0.000260262154675632 0.000254766061387381
"KV" 5.08300298510089e-05 4.95241079379442e-05
"KY" 8.2522372732163e-06 8.19450295363003e-06
"LE" 4.01948076113533e-05 3.95113668574373e-05
"LI" 0.00363467882031656 0.00216089225549809
"LJ" 0.00141758597278575 0.00107148163867012
"LQ" 0.00206513594449388 0.00154259783568657
"MA" 0.00797116090598785 0.00548807907029827
"MC" 0.000295443572477401 0.000183817418659284
"ML" 0.000125831892284359 8.97246242068378e-05
"MM" 7.20274922744694e-05 7.14013877504617e-05
"MQ" 0.000251128161753751 0.000219388926229377
"MR" 9.78042936084894e-07 9.52732073385502e-07
"MU" 0.000228856779345788 0.000197260189881241
"MW" 6.82498063036354e-06 6.46228643038685e-06
"MY" 0.00128257152560547 0.00112771735142631
"NE" 0.014839781886495 0.0109108332638918
"NI" 0.0192966039075228 0.0140065034706875
"NM" 6.18110986003963e-06 5.99752659553186e-06
"NN" 0.00375838839885516 0.00279148424827739
"NQ" 0.000446694590731731 0.000426690370265592
"NS" 0.000122928021166977 0.000112071343056958
"NU" 0.000189000621486864 0.000180952569528692
"OA" 0.000140013529047673 0.000129580539486338
"OE" 1.91452162617458e-05 1.8896863068122e-05
"OI" 0.094737764866274 0.0473163544783735
"OM" 6.4687422282359e-05 6.28589556672872e-05
"OO" 9.62359224876792e-05 6.88062555311196e-05
"OP" 0.000465558770893258 0.000355699741942512
"OR" 8.56986151103798e-06 8.42178462189736e-06
"OT" 6.80569137311361e-05 6.24768881175989e-05
"OU" 3.08591445715192e-06 2.93225338572744e-06
"OX" 0 0
"OY" 1.17446655908194e-05 1.14701827772343e-05
"OZ" 4.30338891877354e-06 3.85855768113974e-06
"PA" 1.85490901671273e-06 1.82844185218377e-06
"PC" 9.9127892273301e-05 9.80235839161542e-05
"PD" 0 0
"PE" 2.89431083514451e-05 2.8539443265391e-05
"PF" 5.97692905385213e-06 5.96955060788654e-06
"PG" 0 0
"PH" 0 0
"PI" 0.000547047656728614 0.000502349146059113
"PJ" 0.000132294453066687 0.000122780375075946
"PK" 4.38171296159462e-05 4.27789245868683e-05
"PM" 0.000329717157657012 0.0003099177991573
"PN" 9.16508553207554e-05 9.06379273490829e-05
"PO" 0.000153258474017567 0.000144123260330234
"PQ" 8.38668402415682e-05 8.36672973183372e-05
"PS" 8.6642097209299e-05 8.41594981122853e-05
"PT" 0.00070310377284196 0.000488416744123311
"PU" 4.11754360409121e-05 4.04061284828888e-05
"PW" 0.00328625298375581 0.00184979630803153
"PY" 0.0644455527328679 0.039064243620146
"PZ" 0.000102803874755797 0.000100938656539001
"QA" 0.0188022807877389 0.00925763943208256
"QC" 8.7785517649771e-05 8.69461250712342e-05
"QD" 0 0
"QE" 0.000405921401599656 0.000314990693221792
"QF" 9.20269101219664e-06 8.95961146252183e-06
"QG" 2.35017712717969e-05 2.28160798029428e-05
"QH" 1.15682497816493e-06 1.13475747252705e-06
"QJ" 2.78740560725782e-05 2.55739739927263e-05
"QK" 0 0
"QQ" 3.0953423969077e-05 3.05304173866123e-05
"QU" 0.0077940495683987 0.00590597228626455
"RA" 0.000307314455836005 0.000215121928984656
"RB" 3.21754543142911e-06 3.08344370702088e-06
"RE" 5.23092369594284e-05 5.15996398270049e-05
"RO" 0.000977746734318824 0.000520357733787427
"RP" 2.14530553422431e-05 1.96872449584791e-05
"RQ" 0.000552560947974028 0.000421738524094967
"RT" 0.0205322956605101 0.0146313520730904
"RU" 0.039573072318181 0.0278567654654814
"RX" 0.000811624920269663 0.000626541363341759
"RY" 9.36916465508222e-05 8.77729274390316e-05
"RZ" 0.00876111166506518 0.00708973095330176
"SA" 0.0179184342232153 0.0122312688225544
"SD" 0.00914461509852599 0.00714098153549268
"SI" 3.15780468934469e-05 3.0699452215487e-05
"SR" 2.43488705027167e-05 2.38337269460101e-05
"SU" 0.00222381060382904 0.00201698631384016
"SY" 0.000215839456596058 0.000210387813426111
"TA" 0 0
"TC" 0.00863711443642952 0.00750227845948385
