"Q" "C"
"AA" 2.4471149685348e-05 2.39905666512957e-05
"AC" 3.58040079981435e-05 3.54212489866403e-05
"AD" 7.81578824110848e-05 7.69533427974992e-05
"AE" 3.20759085235796e-05 3.12550504759158e-05
"AF" 0.000549073376007295 0.000443611008470186
"AH" 0.000103777788455993 0.00010006202155749
"AI" 4.49576263529752e-06 4.46443284149508e-06
"AM" 9.25126919063654e-05 9.07902868088357e-05
"AQ" 3.66617539701794e-05 3.52087375757364e-05
"AY" 7.7453131783808e-05 7.2539733108059e-05
"AZ" 3.11518995451342e-05 2.960405348597e-05
"BA" 0.000362934030519016 0.000344298466395733
"BD" 0.000398440746537535 0.000385976838264253
"BF" 0.00231434871207768 0.00216226371103549
"BI" 6.00197795820231e-05 5.9077932542516e-05
"BK" 7.32910500352361e-05 6.87897833350545e-05
"BM" 0.00341939347663769 0.00277697849565321
"BP" 8.01620600022213e-05 7.72342504643851e-05
"BQ" 0.00131758916240415 0.00111582479237363
"BU" 1.98029240174547e-05 1.9776049147879e-05
"BV" 0.000263863162169985 0.000234765838732127
"CN" 0.00104077615880584 0.00094197574675288
"CO" 0.000190674634141731 0.000183159438718713
"CQ" 0.000867614832051619 0.000828563240954516
"CT" 5.41575525719289e-05 5.13983441490755e-05
"CU" 0.00130398267389887 0.00119998223708601
"DA" 1.31070671216824e-05 1.25803712576099e-05
"DB" 0.00136391207841969 0.00130281855265765
"DE" 0.000206945012633842 0.000203130897752346
"DI" 0.00615964260364705 0.00552152083539659
"DK" 0.0128023793158314 0.0108500060524003
"DM" 0.000983172007693416 0.000936848223529612
"DQ" 0.000578266523309513 0.000551245500237154
"DR" 0.000559502098094528 0.00053437896723146
"DS" 0.00046227108748636 0.000429837509380926
"DT" 2.8634754438448e-05 2.83542389757677e-05
"DW" 2.27069148845047e-05 2.21539861184971e-05
"DX" 3.95524647753713e-05 3.76888740577912e-05
"DY" 0.000368217860071173 0.000363131789217388
"EA" 0.000232364833173212 0.000228373182816541
"EC" 2.94754788472129e-05 2.92864363090162e-05
"EE" 2.25694543377738e-05 2.23555664324332e-05
"EI" 9.27051730169604e-05 9.17825195219658e-05
"EN" 4.44111075340311e-05 3.76220230791101e-05
"EO" 0.000132890365448505 0.000132005610321891
"EP" 0.000886962140002718 0.000865943041245154
"EQ" 0.0118961597762482 0.0100034529387741
"ER" 3.25436070058332e-05 3.10009687594868e-05
"ES" 0.000131464267255803 0.000129840459373005
"ET" 0.000478665372624714 0.000462060630782672
"EU" 0.0019415153373691 0.0017208808464803
"EV" 0.000285624349825104 0.00027036943614005
"EW" 0.000264181690138348 0.000259944323885586
"EX" 0.00042251118353881 0.000414388498322857
"FA" 1.87522844563406e-05 1.85023964965073e-05
"FE" 0.0263015602450404 0.0206109573389744
"FF" 0.000662563372225501 0.000616972111761056
"FI" 2.81888653981677e-05 2.79491056058627e-05
"FS" 2.01349038558341e-06 1.84026505013631e-06
"FU" 0.00230428557622395 0.00192737390562541
