"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0.0045045045045045 0.00430832586964346
"AE" 0 0
"AF" 0.000844594594594595 0.000714637981879464
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.0386951168201168 0.0320500730156444
"BI" 0.00900900900900901 0.00818309644456857
"BK" 0 0
"BM" 0.00412644787644788 0.00324205695566769
"BP" 0.0105105105105105 0.0092760817141903
"BQ" 0.0545667920667921 0.036996092868459
"BU" 0.0027027027027027 0.00267783437082853
"BV" 0.0015015015015015 0.00127946637419661
"CN" 0.00285285285285285 0.00245260272789731
"CO" 0 0
"CQ" 0.024726576979484 0.0215318306538944
"CT" 0 0
"CU" 0.00745109208045255 0.00614375956135819
"DA" 0 0
"DB" 0.00118243243243243 0.00104471354936485
"DE" 0.00382882882882883 0.00360226726222806
"DI" 0.00846940690690691 0.00762954850063061
"DK" 0.000900900900900901 0.000813598277148859
"DM" 0.00051975051975052 0.000478504299177546
"DQ" 0 0
"DR" 0.00668745668745668 0.005852674045671
"DS" 0.000614250614250614 0.00056138573517162
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.0030485842985843 0.00212633956096424
"EO" 0.0135135135135135 0.0129310590081072
"EP" 0 0
"EQ" 0.00309512925791996 0.00266122440388421
"ER" 0 0
"ES" 0 0
"ET" 0.000675675675675676 0.000641845454366535
"EU" 0.0105694980694981 0.00896527797080153
"EV" 0.00164092664092664 0.00148936088336664
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0.000965250965250965 0.000848759892711526
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.0145975358184661 0.0117314970274485
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0.0373576311076311 0.0313224648085496
"HA" 0.0028957528957529 0.00265138138814746
"HB" 0 0
"HE" 0 0
"HF" 0.00788288288288288 0.00639801336380723
"HI" 0.000422297297297297 0.000382157709102118
"HL" 0.00439189189189189 0.00373424709985999
"HQ" 0 0
"HT" 0 0
"HY" 0.000346500346500346 0.00030709981199469
"IA" 0.00135135135135135 0.0012024506022544
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0.00135135135135135 0.00128837096240582
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0.000675675675675676 0.000648472118707825
"IO" 0.000675675675675676 0.000661661211006179
"IP" 0 0
"IQ" 0.000675675675675676 0.000665884308316078
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00405405405405405 0.00376834641121688
"JB" 0.0114547614547615 0.00937916657153662
"JI" 0 0
"JM" 0.00259009009009009 0.00192296450012156
"JO" 0.00112238484331508 0.000946227135600077
"JS" 0 0
"JU" 0.00337837837837838 0.00322663717509598
"JW" 0 0
"JY" 0.000844594594594595 0.000798542669146954
"KA" 0 0
"KI" 0 0
"KM" 0.0200160608954214 0.0172052750575061
"KU" 0.0209953334953335 0.0177262605959964
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.00103950103950104 0.000862296350459847
"LJ" 0 0
"LQ" 0.00115830115830116 0.000962396800880304
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0323519948519949 0.0267437128349078
"MQ" 0.0242117117117117 0.0200073034179564
"MR" 0.00168918918918919 0.0013164904552838
"MU" 0 0
"MW" 0 0
"MY" 0.000314267756128221 0.000274668911006903
"NE" 0.00475442219628266 0.00398193577981883
"NI" 0.000900900900900901 0.000829314409978552
"NM" 0.000614250614250615 0.000507035924801493
"NN" 0.0036036036036036 0.00326498426023989
"NQ" 0.0045045045045045 0.00400414564087178
"NS" 0 0
"NU" 0.000675675675675676 0.000620183073865554
"OA" 0 0
"OE" 0.00502425502425502 0.00419048589002928
"OI" 0 0
"OM" 0.0416747104247104 0.0365493440006631
"OO" 0.000337837837837838 0.000276197256469485
"OP" 0.00316722972972973 0.00286552090103403
"OR" 0 0
"OT" 0.00225225225225225 0.00204073523290357
"OU" 0 0
"OX" 0.0098536036036036 0.00766077703025269
"OY" 0 0
"OZ" 0.0747184684684685 0.0498326946429583
"PA" 0.0632480694980695 0.0493928860758276
"PC" 0.00399262899262899 0.0035730795290092
"PD" 0.0015015015015015 0.0012855596928937
"PE" 0 0
"PF" 0.0123873873873874 0.0106121008969458
"PG" 0.0146396396396396 0.0126563490017078
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0.00262762762762763 0.00244945523890889
"PQ" 0 0
"PS" 0.000895125895125895 0.000754639831638713
"PT" 0.00337837837837838 0.00286921421530332
"PU" 0 0
"PW" 0 0
"PY" 0.00800481730714289 0.00679768233072069
"PZ" 0 0
"QA" 0 0
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0101351351351351 0.00846836055696208
"QQ" 0 0
"QU" 0.00720720720720721 0.00662326002697076
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00752147496333543 0.0061786130245979
"RP" 0.000422297297297297 0.000385732015490524
"RQ" 0 0
"RT" 0.00123564367750414 0.00108847458426377
"RU" 0.0129451616370221 0.011279790611422
"RX" 0.000614250614250614 0.000547305690658411
"RY" 0 0
"RZ" 0 0
"SA" 0.000844594594594595 0.000755248702739783
"SD" 0.00405405405405405 0.00369858126326515
"SI" 0.000675675675675676 0.000653404065750389
"SR" 0 0
"SU" 0.00184275184275184 0.00177468940150996
"SY" 0 0
"TA" 0 0
"TC" 0.00051975051975052 0.000499099995678908
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0.000211148648648648 0.000187651326246338
"TQ" 0.00900900900900901 0.00797390941116327
"TU" 0.00405405405405405 0.00349015073844992
"UA" 0.0157657657657658 0.0142141752172339
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0.0109423234423234 0.00873618239342457
"UR" 0 0
"UT" 0.00900900900900901 0.00785691976665578
"UU" 0.0513218856968857 0.0420690031471585
"UY" 0 0
"VE" 0.0207226253737882 0.0177058026182651
"VI" 0.00413499723092746 0.00344455888821291
"VJ" 0.0141217453717454 0.0112410029380757
"VM" 0.00202125202125202 0.00171842135949099
"VP" 0 0
"VS" 0 0
"VX" 0.00241861179361179 0.0021158956296216
"VY" 0 0
"WC" 0.00266962766962767 0.00237027402570487
"WE" 0 0
"WF" 0.00405405405405405 0.00371228801100711
"WH" 0 0
"WM" 0.00817399567399567 0.00605951976077252
"WQ" 0.0045045045045045 0.0039433379021845
"WU" 0.0188882907632908 0.0136435551514234
"WV" 0.00574324324324324 0.00461706185060523
"WY" 0.0015015015015015 0.0012825775699662
"XA" 0.0338761323136323 0.0263087570657649
"XE" 0 0
"XQ" 0 0
"XW" 0.00165375165375165 0.00155581864564496
"XY" 0.00262762762762763 0.00248278105627726
"YA" 0 0
"YE" 0 0
"YG" 0.0045045045045045 0.00407824224633845
"YI" 0.00542953667953668 0.00455695142233803
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.00338625338625338 0.00279075137631443
"ZA" 0 0
"ZC" 0.00506756756756757 0.0047912704709291
"ZD" 0 0
"ZE" 0.00315315315315315 0.00292469155106843
"ZK" 0.0192047817047817 0.0147689928835415
"ZM" 0.006006006006006 0.00541750871813783
"ZQ" 0 0
"ZR" 0 0
