"Q" "C"
"AA" 0.000284856018230785 0.000277477914449121
"AC" 0.00030421636232699 0.000297489019867375
"AD" 7.76880049720323e-05 7.67259820890261e-05
"AE" 0 0
"AF" 1.29480008286721e-05 1.20399653710607e-05
"AH" 6.21504039776259e-05 6.06248317761405e-05
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 4.89146697972055e-05 4.71294165377836e-05
"BD" 0.000173424738371911 0.000169696876387683
"BF" 0.0133739759584399 0.0118553276216478
"BI" 0.00126627789328668 0.00119196614740859
"BK" 0 0
"BM" 0.0099011054864846 0.0082491773747476
"BP" 0.00542492773038061 0.00472462675074684
"BQ" 0.0632075281353862 0.0376628112425503
"BU" 0.000414336026517506 0.00041272843332475
"BV" 0.00110718019692245 0.000983041351127083
"CN" 0.00175385594305015 0.00158545160814021
"CO" 9.28724786711114e-05 8.9803368249322e-05
"CQ" 0.000259928984224388 0.000249999646648608
"CT" 0 0
"CU" 0.00140993814676775 0.00131187175029344
"DA" 7.06254590654839e-05 6.81900436284679e-05
"DB" 0.000394314269391957 0.000381038525819767
"DE" 0 0
"DI" 0.00354440088180985 0.00326626856703852
"DK" 7.26433293244978e-05 6.96433541466768e-05
"DM" 0.00065284829113294 0.000634622249674538
"DQ" 0.000227884814584628 0.000222424360974218
"DR" 9.59929708930862e-05 9.24266853680967e-05
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0.000103584006629376 0.000102345255690667
"EA" 0.000103584006629376 0.000102260770652355
"EC" 0.000207168013258753 0.000205862393958629
"EE" 0 0
"EI" 0 0
"EN" 0.00118491955854162 0.000751160750983651
"EO" 0.00585238254598105 0.00555868661332168
"EP" 0.0030008406872919 0.00286683827132826
"EQ" 0.00182968652469101 0.00164497605930927
"ER" 0.000535967178931388 0.000496319251031507
"ES" 0.000915123593806005 0.000887152579761617
"ET" 0.00487041633871963 0.00460227931155963
"EU" 0.0291015131599728 0.0237593546884803
"EV" 0.00365358184733573 0.00341264383874991
"EW" 0.00164499623480357 0.00158806095859785
"EX" 0.00216990787220744 0.00208332606948397
"FA" 6.21504039776259e-05 6.14589841163131e-05
"FE" 0.00118592822135395 0.00106797168427462
"FF" 9.20746725594457e-05 8.87006882637815e-05
"FI" 0 0
"FS" 0.000372902423865755 0.000309181085194863
"FU" 0.000536116474953166 0.000461269465513344
"FY" 0 0
"GA" 2.53675118276024e-05 2.49265153973174e-05
"GC" 2.39040015298561e-05 2.37248644408858e-05
"GM" 2.14311737853882e-05 1.96690284787117e-05
"GU" 0.000644200768501576 0.000627912675081814
"GY" 0.00316567655842217 0.00293002999155528
"HA" 0.0169094984365141 0.014969712450605
"HB" 0.000498258254110751 0.000463070419920286
"HE" 0.000114884080079854 0.000104928692392577
"HF" 0.00175453767280989 0.00151904773924302
"HI" 0.00427163226392986 0.00377235023091819
"HL" 0.00129504945177205 0.00118656649534925
"HQ" 0 0
"HT" 0.000325496120210634 0.000313079047004167
"HY" 0 0
"IA" 0.000141921995289904 0.000135769056026211
"ID" 0 0
"IF" 0.000216696845037429 0.000210607112786585
"IG" 0 0
"IH" 2.58960016573441e-05 2.5422674654445e-05
"II" 0 0
"IJ" 0.00022985784328233 0.000218279789733953
"IK" 0.000279923446486529 0.000272802643740313
"IL" 0 0
"IM" 0.000165734410607002 0.000162480609859203
"IO" 0 0
"IP" 0 0
"IQ" 0.00116629313646094 0.00114068561196867
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.000460634938571545 0.000447545657957777
"JB" 0.00197917379296973 0.00177670108900649
"JI" 0.000316799563865699 0.000282977051599465
"JM" 0.00158783559335514 0.00121060534552575
"JO" 0.000866203758139743 0.0007503287240946
"JS" 0.00967417310953669 0.00746741248608033
"JU" 0 0
"JW" 0.00118493825765423 0.00104621029720816
"JY" 0.000556764035632898 0.000546804256058617
"KA" 0 0
"KI" 0 0
"KM" 0.00191448643792602 0.00182939066612222
"KU" 0.00564529511577174 0.00508467377636726
"KV" 4.43931456983042e-05 4.34317218463147e-05
"KY" 0 0
"LE" 4.43931456983042e-05 4.37161323832623e-05
"LI" 0 0
"LJ" 0.000594800890015309 0.000538614373001463
"LQ" 0.000813504394921424 0.000734680950900315
"MA" 2.21965728491521e-05 2.15476927025198e-05
"MC" 6.21504039776259e-05 5.85870473104748e-05
"ML" 0 0
"MM" 0.0318042547765978 0.0256805930642824
"MQ" 0.00662577579908403 0.00569883818434992
"MR" 0.00201580205190412 0.0016846435878875
"MU" 0 0
"MW" 0 0
"MY" 0.0035625287628943 0.00316014437575516
"NE" 0.00185498841229996 0.00168843455347885
"NI" 0.000398798425523099 0.000388644917943168
"NM" 0.000534669937249179 0.000470890754222453
"NN" 0.000237637854169861 0.000229205457555283
"NQ" 0.00140841307704044 0.00126604612456694
"NS" 2.82501836261936e-05 2.79365624465438e-05
"NU" 0.00436471696538426 0.00400641098467628
"OA" 0 0
"OE" 0.00238868446906021 0.00214138956409915
"OI" 0 0
"OM" 0.00630313164495887 0.00589589538894786
"OO" 0.000501987826412935 0.000449853356329691
"OP" 0.00019939921276155 0.000191291989901469
"OR" 0.00471659236419957 0.00383928691266173
"OT" 0.0180377050818327 0.0149581315820661
"OU" 7.76880049720323e-05 7.62538063213732e-05
"OX" 0.0208101949915847 0.0110322587125258
"OY" 0.0398327890054495 0.0327805483839599
"OZ" 0.0182107573278945 0.0111241072711641
"PA" 0.332159283730768 0.16626481673232
"PC" 0.00444293475983426 0.00406680350071253
"PD" 0.0136123044140446 0.00926134701554512
"PE" 0.00135596397249598 0.00129800883842839
"PF" 0.0255710749839172 0.0176808890024147
"PG" 0.0197568797475572 0.0134451775782611
"PH" 0.00614943719356398 0.00474813385235596
"PI" 0.000207168013258753 0.000203634127045227
"PJ" 0 0
"PK" 0 0
"PM" 0.00010352122844354 0.000102595073275361
"PN" 0.000258960016573441 0.00025505206165696
"PO" 0.000351763077058291 0.000337094154644641
"PQ" 0.000124300807955252 0.000123518660471191
"PS" 0.000248150397699807 0.000228024029373007
"PT" 0.000113136753907419 0.000102980595837278
"PU" 0 0
"PW" 0 0
"PY" 0.00539140554678156 0.00499336224974472
"PZ" 1.94220012430081e-05 1.93239655246779e-05
"QA" 0.000189904012153857 0.000179132707510793
"QC" 0.00717319245908432 0.00526263702627086
"QD" 0.00120157447690077 0.000907050337318011
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0106652178358207 0.00764739900284936
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00136880893740701 0.00126970859838897
"RP" 0.0023011712662398 0.00207106857232113
"RQ" 0 0
"RT" 0.00154760698949825 0.00143664036128079
"RU" 0.00644089615150713 0.00590490865217197
"RX" 0.000280960826263066 0.000258828276455243
"RY" 0 0
"RZ" 0.000255507216352462 0.000239843310860164
"SA" 0.00010173429222528 9.7134068057156e-05
"SD" 0.000688833644085353 0.000663533339253329
"SI" 0 0
"SR" 0 0
"SU" 2.95954304655361e-05 2.90637985793312e-05
"SY" 0.000257036313593181 0.000254472810830732
"TA" 0 0
"TC" 0 0
"TD" 0.000155376009944065 0.000150309555362043
"TE" 0 0
"TI" 0 0
"TM" 8.58267483500547e-05 8.21635631129307e-05
"TQ" 0.000476744398327733 0.00044952063329855
"TU" 6.73731270009557e-05 6.34100866220654e-05
"UA" 0.017100160802177 0.0152486861161111
"UB" 0.000138049230653333 0.000136763686144815
"UE" 0.000126602674769238 0.00012219394420337
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0.000110511200434946 0.000103048646828772
"UN" 0 0
"UP" 4.78080030597122e-05 4.75894379616542e-05
"UQ" 0.00184418768166438 0.00162631784415299
"UR" 0.000140578294711297 0.000138582184138407
"UT" 0.0144633092892882 0.00999138143369106
"UU" 0.018195700733916 0.0158917029839824
"UY" 0 0
"VE" 0.00306482099388728 0.00279085185769531
"VI" 0.00366184184890344 0.00317624754038079
"VJ" 0.00704416662889089 0.0058283918108704
"VM" 0.000225665157299713 0.000203056535456869
"VP" 0.00126797922400781 0.00119072706595552
"VS" 0.000259927559492507 0.00022864882188509
"VX" 0.00879362394769952 0.00769987461851247
"VY" 0.000280960826263066 0.000271539961645683
"WC" 0.000484810692708408 0.000444829948716855
"WE" 0 0
"WF" 0.000155376009944065 0.000151142180900229
"WH" 0 0
