"Q" "C"
"AA" 0.000709435647642398 0.000616944804973144
"AC" 0.0280674132794533 0.018584907384896
"AD" 0.000153862442471007 0.000151842463270344
"AE" 0.000355071754783201 0.000333112888330302
"AF" 0.000276143147980148 0.000244188538963351
"AH" 0.000488993402454972 0.000466836931069978
"AI" 0.00243585082548902 0.00209179984703992
"AM" 0.000181548044953017 0.000177221389171779
"AQ" 1.60702703871665e-05 1.58245503092631e-05
"AY" 1.49782921751262e-05 1.43389405594477e-05
"AZ" 1.05979798625243e-05 1.03247651425491e-05
"BA" 0.000484425872346551 0.000475126116230566
"BD" 7.0949075830312e-05 6.9133689881929e-05
"BF" 0.000165157817960962 0.000160524978884067
"BI" 1.31791785591185e-05 1.29793356437143e-05
"BK" 3.79997523928439e-05 3.38449486312814e-05
"BM" 7.49913541547403e-05 7.0728591738845e-05
"BP" 4.07700105140378e-06 3.74373599416203e-06
"BQ" 2.18991998607347e-05 2.00920751590911e-05
"BU" 0.000189148747931037 0.00018690849999395
"BV" 4.07001699289049e-05 3.90842489942518e-05
"CN" 0.000181570825902294 0.000174702453723276
"CO" 0.000877707243867683 0.000820660305145712
"CQ" 0.00153778192408558 0.0014639866485383
"CT" 0 0
"CU" 0.00118896385838248 0.00111145349234772
"DA" 0.000333117560100473 0.000314259248538847
"DB" 0.00148342826770243 0.00139677842307942
"DE" 0.000143687791942459 0.000140606630883112
"DI" 0.0227903303955036 0.0180236012477134
"DK" 0.00935683950266251 0.00847586763646552
"DM" 0.000840385089901781 0.000817889184345047
"DQ" 0.0002021679934295 0.000198485985244831
"DR" 0.000257325492290657 0.000246856300218521
"DS" 0.00023423037173484 0.000228271984143774
"DT" 0.000849975576086846 0.000753310596001203
"DW" 0.000217906047602259 0.000203488108398676
"DX" 9.6103923436439e-05 9.14255192793466e-05
"DY" 0.00070434207808257 0.000659238450497322
"EA" 0.000695681596453924 0.000661041993857089
"EC" 6.8243863438372e-05 6.59214709632309e-05
"EE" 8.48273090686046e-05 8.23956812333734e-05
"EI" 0.000725527646557688 0.000669080522775703
"EN" 0 0
"EO" 0 0
"EP" 0.0538690335382365 0.0340809803094116
"EQ" 0.000165889748029152 0.000161589704354525
"ER" 0.00451757389518172 0.00277801724942012
"ES" 0.00842619785634422 0.00562555546253921
"ET" 0.0249307442832242 0.0156292962459919
"EU" 0.00046544546638534 0.00043036109123507
"EV" 0.0344503230709974 0.0195553736979538
"EW" 0.01960160787602 0.0134781436367409
"EX" 0.0310452979693738 0.0203525978527739
"FA" 0.00160588823036221 0.00145883829478049
"FE" 0.00010478637312757 0.000102269882815694
"FF" 0.000453802261863489 0.000443931457557808
"FI" 7.54054287953372e-05 7.12446536127426e-05
"FS" 0 0
"FU" 6.41846133902918e-05 6.04649840964051e-05
"FY" 0.000123769817892929 0.000122586964922006
"GA" 6.86060226919784e-05 6.76137326824082e-05
"GC" 0.000500978131296231 0.000489384887683047
"GM" 5.1412310023677e-05 4.99088566204366e-05
"GU" 0.00098939558339338 0.000960123053798475
"GY" 0.0255807880324881 0.0224694153615271
"HA" 0.00131820978619841 0.00126242757529209
"HB" 0.000256732330987805 0.000241438504193979
"HE" 2.21507533843935e-05 2.16957970888228e-05
"HF" 0.00022433451420189 0.000189141616993164
"HI" 0.000212773746595814 0.000206459917719091
"HL" 0.00110170852649287 0.00104042796806918
"HQ" 0.000406126569692202 0.000375298543729793
"HT" 0.000114430454366648 0.000110597198402202
"HY" 2.32493242982704e-05 2.24842882507336e-05
"IA" 0.000160041483057446 0.0001550991931967
"ID" 0.00341102326977316 0.00305711771709999
"IF" 0.013798017573261 0.00930633678051255
"IG" 0.00206656734577958 0.00186253823119703
"IH" 0.00201817004133728 0.00186223401412939
"II" 0.00978472979264442 0.00891781050923032
"IJ" 0.0467816482955931 0.0252577154857333
"IK" 0.0337560054661835 0.021433369410921
"IL" 0.00014700400541027 0.000116497226416586
"IM" 0.00863084866683393 0.0074824208469771
"IO" 0.000163369166362078 0.000147844193233963
"IP" 0.000140832613392501 0.000131684842147589
"IQ" 0.0514114865091151 0.0361347013116638
"IU" 0.0067714351994814 0.00564529173575224
"IX" 0.000429903849362972 0.000410784934214786
"IY" 4.30858595594628e-05 4.22346780530279e-05
"JA" 0.00490394186325592 0.00456060370079889
"JB" 0.00286697155494866 0.00252145824046426
"JI" 0.00194962555716993 0.00161902659695544
"JM" 2.40327955352211e-06 2.28655645060229e-06
"JO" 3.16637565822415e-05 3.07122303692609e-05
"JS" 1.17364129860963e-05 1.13264254565458e-05
"JU" 0.000104687840774779 0.000102857088928454
"JW" 0 0
"JY" 0.000943595380926751 0.000911754902433554
"KA" 0.000640159229303524 0.00062484707848866
"KI" 0.000144716720385369 0.00014244948791845
"KM" 0.000738833449120446 0.000707382458293696
"KU" 0.000939297577653326 0.000871842281552505
"KV" 0.00016474256600808 0.000159034944817011
"KY" 5.20084556351523e-05 5.11904988577517e-05
"LE" 0.000959234910874776 0.000928075423815247
"LI" 5.26260337727988e-05 5.0281702693174e-05
"LJ" 6.23584301256258e-05 6.01666675786065e-05
"LQ" 0.000814310554786368 0.000769605518466568
"MA" 0.000201956742198996 0.000196859919193713
"MC" 0.000622290996170654 0.000538262493309299
"ML" 0 0
"MM" 4.30209261876476e-05 4.19436212573347e-05
"MQ" 0.000106093703276098 9.96448490228544e-05
"MR" 1.78934260330899e-05 1.59961216357762e-05
"MU" 1.96101912685297e-05 1.92414988527645e-05
"MW" 0.000131731265609974 0.000112236575283145
"MY" 0.00010778756318329 0.000105034259443261
"NE" 0.0030181562953408 0.00286023793473518
"NI" 0.00022927388332735 0.000224259726782066
"NM" 0.000317062024885172 0.000267914695126176
"NN" 0.000338698334223928 0.000330246718771086
"NQ" 0.00289060395170544 0.00254357383022312
"NS" 0.000305437076034224 0.0002728616872538
"NU" 0.00569212074279144 0.00463768708066725
"OA" 0.00243382994421698 0.00191518845104906
"OE" 0.000332113519155199 0.000315839227190431
"OI" 2.24176808094171e-05 2.14255621607786e-05
"OM" 0.000414241624319064 0.000402935074524706
"OO" 3.00788387405953e-06 2.87745225111437e-06
"OP" 5.16835913104884e-05 5.00417735298747e-05
"OR" 8.92128361941754e-06 8.74127738659006e-06
"OT" 0.000113221699299163 0.000110077622046674
"OU" 7.02787430895805e-05 6.682520661121e-05
"OX" 1.34028674094536e-06 1.32712993807526e-06
"OY" 8.71351530491934e-05 8.53333091434522e-05
"OZ" 9.11485953531143e-06 8.66301393814313e-06
"PA" 1.85961712479709e-05 1.82526245549497e-05
"PC" 0.0566711908929828 0.0419276105439577
"PD" 1.40730107799263e-06 1.40121776733613e-06
"PE" 0.246770478236108 0.124593849525482
