"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.000726216412490922 0.000712519157807832
"BF" 0.00708450046685341 0.00638317642207137
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0.00108932461873638 0.000941016340395501
"BQ" 0.0804484186837128 0.0434914506842172
"BU" 0 0
"BV" 0 0
"CN" 0 0
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0.00762527233115468 0.00727437868420735
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.00163398692810458 0.00160190551218592
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0.00323555348065152 0.00284486994162166
"EV" 0 0
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0.000726216412490922 0.00071049915434734
"GY" 0.00217864923747277 0.00203761068015949
"HA" 0.000816993464052288 0.000766518836157652
"HB" 0 0
"HE" 0 0
"HF" 0.00127087872185911 0.00115783306401574
"HI" 0.000816993464052288 0.000765910384587994
"HL" 0.00108932461873638 0.00103054891037628
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.000726216412490922 0.000710677601253483
"JB" 0.000544662309368192 0.000498443750315395
"JI" 0 0
"JM" 0.00236928104575163 0.0019322690450916
"JO" 0 0
"JS" 0.00599128540305011 0.00479870524714583
"JU" 0 0
"JW" 0.00490196078431373 0.00427838017647856
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0 0
"KU" 0.00490196078431373 0.0044724486270343
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.123176478568635 0.0809373162317513
"MQ" 0.00871459694989107 0.00762332305409179
"MR" 0.000544662309368191 0.00043307783004551
"MU" 0 0
"MW" 0 0
"MY" 0.000544662309368191 0.000511647094256831
"NE" 0 0
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0 0
"OI" 0 0
"OM" 0 0
"OO" 0.000544662309368191 0.000506984514996129
"OP" 0 0
"OR" 0 0
"OT" 0 0
"OU" 0 0
"OX" 0.0323607220666044 0.014424017598078
"OY" 0.00392156862745098 0.00354597682241576
"OZ" 0.021677559912854 0.0121227493470804
"PA" 0.205407120113002 0.0921022213466147
"PC" 0 0
"PD" 0.0122626828509181 0.00744860615311765
"PE" 0 0
"PF" 0.367931360578419 0.147287643144972
"PG" 0.00261437908496732 0.00168063459014831
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0 0
"PZ" 0 0
"QA" 0 0
"QC" 0.00381263616557734 0.00279769222927016
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0 0
"RQ" 0 0
"RT" 0 0
"RU" 0 0
"RX" 0 0
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0.00296711277103434 0.00271555079244074
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.0154684095860566 0.00979924105407907
"UU" 0.0146151053013798 0.0129718096784238
"UY" 0 0
"VE" 0 0
"VI" 0.00272331154684096 0.00253355334867863
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.000544662309368191 0.000510459161697914
"VY" 0 0
"WC" 0 0
"WE" 0 0
"WF" 0 0
"WH" 0 0
"WM" 0.000544662309368191 0.000469179164226182
"WQ" 0.00108932461873638 0.00100493677240843
"WU" 0.0170388525780683 0.014127592651201
"WV" 0 0
"WY" 0 0
"XA" 0.00844226579520697 0.00701764528913822
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.00556333644568939 0.00459210725776133
"YI" 0.00613134142545907 0.0052206544577074
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.000544662309368191 0.000496104394793922
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.012636165577342 0.0109430179630571
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
