"Q" "C"
"AA" 0.0036764705882353 0.00356886895623039
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.000367647058823529 0.000361411865456041
"BF" 0 0
"BI" 0 0
"BK" 0.00147058823529412 0.00136638001697868
"BM" 0.00796568627450981 0.00684511542284601
"BP" 0.00337009803921569 0.00297079263173345
"BQ" 0.0436274509803922 0.0280897449196157
"BU" 0.000306372549019608 0.000305603842976311
"BV" 0.000367647058823529 0.000335318294264392
"CN" 0.000367647058823529 0.000340269584381856
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0.00735294117647059 0.0069542366909203
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.00245098039215686 0.00239904483472571
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0.00245098039215686 0.00237463923267307
"EU" 0.00957924836601307 0.00838576548633606
"EV" 0.00113795518207283 0.0010893506607138
"EW" 0 0
"EX" 0.00122549019607843 0.00119765910514097
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.00980392156862745 0.00872247945726928
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0.000367647058823529 0.000360296836328675
"GY" 0.00285947712418301 0.00269075916455372
"HA" 0 0
"HB" 0 0
"HE" 0 0
"HF" 0 0
"HI" 0.00122549019607843 0.00112079506803
"HL" 0 0
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0.00269607843137255 0.002481050463085
"JI" 0 0
"JM" 0.00955882352941177 0.00788506633484339
"JO" 0 0
