"Q" "C"
"AA" 0.00106744594785553 0.000936452727826751
"AC" 0.000224118199242833 0.000202085297835379
"AD" 1.72507028448657e-05 1.70100036688344e-05
"AE" 9.0058317201107e-05 7.87636109807e-05
"AF" 0 0
"AH" 3.49980144373312e-05 3.278470326993e-05
"AI" 0.000533788617535251 0.000466575315604603
"AM" 1.33531933291302e-05 1.30202533510673e-05
"AQ" 0 0
"AY" 2.57168389856388e-05 2.44190741186453e-05
"AZ" 0 0
"BA" 8.51808518277039e-06 8.42414861347916e-06
"BD" 8.47210643676758e-07 8.346831991874e-07
"BF" 6.50336323553604e-05 6.38894328548461e-05
"BI" 0.00024853267865227 0.000241311744638504
"BK" 4.33506255749602e-06 3.81426750401381e-06
"BM" 8.64154856550294e-06 8.60515090328509e-06
"BP" 5.36627347524268e-05 4.78048247344861e-05
"BQ" 1.4833489804375e-05 1.4488559751415e-05
"BU" 0.000203944951023353 0.000199342663872039
"BV" 0 0
"CN" 2.40043015708415e-06 2.35751055567721e-06
"CO" 0.000598565158486586 0.000509395774960286
"CQ" 0.00128077447578482 0.00117409361342776
"CT" 1.51944511515246e-05 1.41133384797044e-05
"CU" 0.000101373406114212 9.44450502959928e-05
"DA" 0.000834576974567244 0.000717413184788813
"DB" 0.0013325013244343 0.00118928486283358
"DE" 9.76314786375457e-05 9.50402652305238e-05
"DI" 6.59127958077977e-05 6.56233186097173e-05
"DK" 1.14315084281106e-05 1.14073266479277e-05
"DM" 0.000155765743808979 0.000151638310433321
"DQ" 2.06221194588262e-05 2.03024498873444e-05
"DR" 0.000490425100775844 0.000464011180316084
"DS" 3.59247307200721e-05 3.53158045449818e-05
"DT" 0.00120154889337695 0.000906465751262198
"DW" 0.00434104099423648 0.00273852137707516
"DX" 0.000179423366260378 0.00015583154226565
"DY" 0.0243939834217732 0.0128145424802947
"EA" 0.00635533580320022 0.00501439761133577
"EC" 0.0101912205872026 0.00707487910582423
"EE" 0.000873463943357749 0.000683889441886418
"EI" 0.0758707713751968 0.0300172592500254
"EN" 0 0
"EO" 0 0
"EP" 8.5661720952468e-05 8.05953484465106e-05
"EQ" 8.101451780159e-06 8.0591804821312e-06
"ER" 7.46903075800414e-06 7.00524357492694e-06
"ES" 8.01031344224369e-05 7.32066076579808e-05
"ET" 5.96644043878579e-05 5.52742780767431e-05
"EU" 2.05751156321499e-06 2.0472356684386e-06
"EV" 0.000288982951893487 0.000233399360205785
"EW" 0.000100540314976222 9.62454085506263e-05
"EX" 4.01219892406583e-05 3.78016369461182e-05
"FA" 0.00314580242987824 0.00240627226723214
"FE" 0 0
"FF" 1.3810646222188e-05 1.36541041550566e-05
"FI" 0.0119748795925837 0.00681854099211989
"FS" 0 0
"FU" 0 0
"FY" 0.00333928015509522 0.00325663523585448
"GA" 0.000130740392373067 0.000128604184958891
"GC" 0.0033865973919108 0.00326226227168498
"GM" 5.22093559165803e-06 5.1630901296367e-06
"GU" 2.91046197970366e-05 2.85681074039338e-05
"GY" 1.2071341965649e-05 1.20161756795155e-05
"HA" 1.13677513867628e-05 1.13039396257517e-05
"HB" 1.09097872016987e-05 1.01388385920938e-05
"HE" 0 0
"HF" 6.54662770113859e-07 6.47688848811071e-07
"HI" 0 0
"HL" 7.25922357530355e-06 7.16128620495853e-06
"HQ" 0.0164162843526145 0.00890835852200456
"HT" 0 0
"HY" 3.29864591349815e-05 3.17931365059618e-05
"IA" 0.0010178424833313 0.000985008850670159
"ID" 0.00855091838867451 0.00549790596691371
"IF" 0.00165028127066358 0.00085102098185476
"IG" 0.0123115461816823 0.00978391582365743
"IH" 0.00297077726939538 0.00234003280133537
"II" 0.011959168419807 0.0076193029915548
"IJ" 0.00148227697212648 0.00131980789832765
"IK" 0.00303367673495977 0.00201801487555375
"IL" 0 0
"IM" 0.000980897852278576 0.000790791349341763
"IO" 7.98667044579364e-06 7.57745187497833e-06
"IP" 6.68039090195336e-05 5.37808234499016e-05
"IQ" 0.011533954510316 0.00897754486951016
"IU" 0.00460045241372895 0.00325566912797309
"IX" 8.73637551473649e-05 8.19411763083933e-05
"IY" 2.80189123918155e-05 2.74797484538688e-05
"JA" 0.00473839717970549 0.00414284961089281
"JB" 2.70427122983431e-05 2.62921750330209e-05
"JI" 1.08019357068787e-05 1.06027642496129e-05
"JM" 0 0
"JO" 8.64154856550294e-07 8.61713917775611e-07
"JS" 0 0
"JU" 1.2461673691366e-05 1.22816112653916e-05
"JW" 0 0
"JY" 0.000461915660748251 0.00043060853223378
"KA" 9.26759912843262e-05 9.09801275800806e-05
"KI" 5.74392363148836e-05 5.66276473618717e-05
"KM" 9.86767980057973e-05 9.45265541806731e-05
"KU" 6.35407982757569e-07 6.28652669182604e-07
"KV" 6.74186748331235e-06 6.59053630646846e-06
"KY" 7.45880367996886e-05 7.30567479777786e-05
"LE" 0.000700109428926749 0.000676348599899506
"LI" 8.43717936790088e-06 8.18845875007841e-06
"LJ" 0 0
"LQ" 9.5440379707886e-06 9.44904808656598e-06
"MA" 4.70991276729661e-05 4.59052765608421e-05
"MC" 1.33847153169923e-05 1.20960620602261e-05
"ML" 0 0
"MM" 1.2548932673066e-05 1.25203095350968e-05
"MQ" 1.66594447026342e-05 1.5973906601323e-05
"MR" 0 0
"MU" 0 0
"MW" 1.66183626259672e-06 1.64945175451747e-06
"MY" 1.04058647309598e-05 1.03555043807166e-05
"NE" 0.000126361003744323 0.000123913030988948
"NI" 6.04274325960401e-05 5.90559643290703e-05
"NM" 0 0
"NN" 5.30808678634161e-05 5.20549230998523e-05
"NQ" 9.00161308906555e-07 8.97038836627322e-07
"NS" 0.0115091500975598 0.00338110307342707
