"Q" "C"
"AA" 0.00227958385651361 0.00201829839912496
"AC" 0.0154773718678921 0.0118051417554478
"AD" 3.45993732658393e-05 3.42488371255687e-05
"AE" 6.15533787787492e-05 5.91267872223666e-05
"AF" 4.45701649594457e-05 4.32343342625829e-05
"AH" 8.14691068479143e-05 7.90332342007028e-05
"AI" 0.00170405889940884 0.00148200796173839
"AM" 0.000100512296724509 9.87610405365184e-05
"AQ" 1.01798929349178e-05 1.00700241396272e-05
"AY" 1.7867428271632e-05 1.7174578257553e-05
"AZ" 1.17069972722696e-06 1.14651963568507e-06
"BA" 1.97922972907479e-05 1.95625996751692e-05
"BD" 7.22059808290603e-05 7.0836508272045e-05
"BF" 4.67078537893527e-05 4.5897490106135e-05
"BI" 8.72107947231749e-06 8.61478581646794e-06
"BK" 4.35255109962418e-06 4.12053058410483e-06
"BM" 3.70879954169386e-06 3.65869085761591e-06
"BP" 1.18656245513268e-05 1.13397923091093e-05
"BQ" 1.5476422335552e-05 1.49406797750319e-05
"BU" 0.00232439067079202 0.00224096738889272
"BV" 2.09731343548286e-05 2.04230051047685e-05
"CN" 9.51746865091202e-05 9.25218489588948e-05
"CO" 0.00072787634615203 0.000684368763721101
"CQ" 0.00223944467580226 0.00213380059394397
"CT" 8.50439219865021e-07 8.17796619105348e-07
"CU" 0.00387889430826389 0.00363692275667187
"DA" 0.0012889616540866 0.00121400688145276
"DB" 0.000928541078829976 0.000882286096823334
"DE" 0.000243487834755238 0.000238705310662305
"DI" 0.000365371334502707 0.000354503324809343
"DK" 0.00129614218088045 0.00126318662459899
"DM" 0.000579140563854242 0.000566846617355397
"DQ" 0.000289943583994968 0.000286263723908094
"DR" 0.000719657585147383 0.000690475434002318
"DS" 2.84413693978787e-05 2.8009578112971e-05
"DT" 0.00226382313098276 0.00197699814195486
"DW" 6.39306570119317e-05 6.03306159097608e-05
"DX" 4.39048353055734e-05 4.20133747456923e-05
"DY" 0.00210422023305151 0.00196580361595906
"EA" 0.000341077000668799 0.000327062833623102
"EC" 5.35647120761303e-05 5.16675662567987e-05
"EE" 5.96120339828083e-05 5.79127865189407e-05
"EI" 0.00169909482135046 0.00155545938536759
"EN" 0 0
"EO" 0 0
"EP" 0.0194311214678773 0.0148144681765527
"EQ" 1.77024902487888e-05 1.7524679187807e-05
"ER" 0.0014801688435011 0.00111562938147671
"ES" 0.00411979965039485 0.00318036795091796
"ET" 0.0115086801231716 0.0087248137425663
"EU" 2.95035808470615e-05 2.89935171490029e-05
"EV" 0.0211750478091108 0.0128082986512785
"EW" 0.0182728555831104 0.0132801150528064
"EX" 0.0397062584426829 0.0276287172336857
"FA" 0.000417553939574687 0.000392092667459977
"FE" 4.48535179649309e-05 4.45686320443231e-05
"FF" 3.65490334392762e-05 3.61846126525692e-05
"FI" 0.000328297703978951 0.000309142664592122
"FS" 0 0
"FU" 2.69610737359688e-05 2.64977036265927e-05
"FY" 0.000102650989805337 0.000101932781946463
"GA" 3.12708912437634e-05 3.09234132313346e-05
"GC" 0.00134847581785872 0.0013166022007258
"GM" 1.56355953953678e-05 1.54187840763305e-05
"GU" 0.00167070427211935 0.00163184814091423
"GY" 0.00448384583238737 0.00433150666421104
"HA" 0.000128025451841338 0.000125911055987232
"HB" 0.000179295968564127 0.000170809564111
"HE" 1.31703719313033e-06 1.30450890749967e-06
"HF" 1.79560957716775e-05 1.74773384069539e-05
"HI" 1.60665453442821e-05 1.59042866928549e-05
"HL" 5.86247455296519e-05 5.73327041666221e-05
"HQ" 0.000314849368459891 0.000294671129342507
"HT" 0.000303542835718124 0.000293633253383693
"HY" 0.000123358654530103 0.000119320410912351
"IA" 0.000197029156631066 0.000192073760564389
"ID" 0.00104137043415424 0.000962015255016854
"IF" 0.00812686079345605 0.00540031144317567
"IG" 0.00198793466583156 0.00182565253807859
"IH" 0.000288825547395564 0.000275390227240903
"II" 0.00267760028897518 0.00249251107951392
"IJ" 0.00170853151966331 0.00144741144859525
"IK" 0.00158964978482806 0.00133834188011579
"IL" 4.19089802921434e-05 3.55777104041155e-05
"IM" 0.00226885800473335 0.0020690557745075
"IO" 0.0002684772868196 0.000246211429953973
"IP" 0.000136327351714874 0.000128632359008341
"IQ" 0.026289078274438 0.0210832386681986
"IU" 0.00705499540264706 0.00593431836208682
"IX" 0.000329972287931453 0.00031602028589773
"IY" 0.000151378921178876 0.000148680650988461
"JA" 0.00114089152276697 0.00109465800569016
"JB" 0.000284231481802227 0.000273817858827165
"JI" 5.46871297645955e-05 5.18660532186266e-05
"JM" 3.29259298282583e-07 3.2557539615657e-07
"JO" 4.04873510276772e-06 4.0176356725212e-06
"JS" 9.83387770870649e-06 9.73889147007029e-06
"JU" 6.68876325829727e-05 6.59375146635019e-05
"JW" 2.50864227262921e-06 2.49963887866875e-06
"JY" 0.00019533320559331 0.000190708605925424
"KA" 0.00016424269339449 0.000161688599713949
"KI" 0.000104301668171203 0.000103131101609269
"KM" 0.000944926429490283 0.000906896131949801
"KU" 0.000132027760080175 0.000129033139868027
"KV" 0.000104227308363094 0.000101481709741913
"KY" 7.30027641360304e-05 7.19264313717673e-05
"LE" 0.00134616734099079 0.00130818242456288
"LI" 3.01508091979722e-05 2.92470424866425e-05
"LJ" 4.03056431414176e-06 3.96894548920768e-06
"LQ" 3.06508009906321e-05 3.01328413951441e-05
"MA" 0.000154610249275931 0.000151394167864151
"MC" 0.00166974075008301 0.00144716110059949
"ML" 0 0
"MM" 7.67872593812958e-06 7.62423354383299e-06
"MQ" 0.000363980200600349 0.000339948970756983
"MR" 1.80622243629303e-06 1.75787632156933e-06
"MU" 2.96218841312115e-05 2.91630766791208e-05
"MW" 5.92318314370785e-06 5.77133144854056e-06
"MY" 9.11404825593949e-06 9.01430338152477e-06
"NE" 0.000316824990131368 0.00031033977328777
"NI" 0.000313150197876616 0.000307274739122059
