"Q" "C"
"AA" 0.00583069231897825 0.00498745981369537
"AC" 0.0135983051880173 0.010829279738678
"AD" 9.71884309944289e-05 9.50828799620073e-05
"AE" 0.000201600000585283 0.000183015499125013
"AF" 0.00025275964215537 0.000225540100674134
"AH" 0.000276731073339386 0.000258143457314892
"AI" 0.00573273875959516 0.00479285860702493
"AM" 0.000258865663439325 0.00024903333685555
"AQ" 3.20723272857979e-05 3.13061601050763e-05
"AY" 4.53239599086983e-05 4.21067818123725e-05
"AZ" 5.05506862243105e-06 4.83672557338607e-06
"BA" 5.70005643093829e-05 5.57300267895197e-05
"BD" 0.00023184348271177 0.000222677802442891
"BF" 0.000179214199748835 0.00017276141124357
"BI" 2.36331238325102e-05 2.30470923707387e-05
"BK" 6.19518874598247e-06 5.60279293635298e-06
"BM" 8.61374201032644e-06 8.18898756586605e-06
"BP" 1.35694958987179e-05 1.26289091762624e-05
"BQ" 1.13187035230751e-05 1.06701255143151e-05
"BU" 0.00985247486222447 0.00934012936775317
"BV" 4.35187042102711e-05 4.14270954078607e-05
"CN" 0.000213749819980646 0.000203214346216817
"CO" 0.00317754528546191 0.00278827832292026
"CQ" 0.00776373823491773 0.00701590375082419
"CT" 9.3268105861552e-07 8.63241078393245e-07
"CU" 0.00542247591959938 0.00481909635055202
"DA" 0.00365212513448252 0.00322599627206583
"DB" 0.00304032736623643 0.00272378701056929
"DE" 0.000550624278096917 0.000527913581629133
"DI" 0.00185352966579352 0.00175467252864724
"DK" 0.0113251622268205 0.0103331291393491
"DM" 0.00181277774230895 0.00173263845135819
"DQ" 0.000597695075327962 0.000582319740511195
"DR" 0.00113226523346606 0.00104184590376406
"DS" 0.000111901873272443 0.000108419816382809
"DT" 0.00773271255078021 0.00606261471288172
"DW" 0.000647958385986866 0.000551455493133236
"DX" 0.00116862784629382 0.0010527708599596
"DY" 0.0181088053512822 0.0150788697844558
"EA" 0.00730152433257939 0.00655357306855459
"EC" 0.00134995805565049 0.00121228781274209
"EE" 0.00200344169263719 0.00183175317351443
"EI" 0.018599088297259 0.0148525433171912
"EN" 0 0
"EO" 1.84482395108581e-05 1.84176651102238e-05
"EP" 0.0123248776968095 0.00997406365847983
"EQ" 0.000825390858743921 0.000802791273565731
"ER" 0.00100061284683832 0.000797680185314336
"ES" 0.0016914216115191 0.00138153127452098
"ET" 0.00430477498435156 0.00347189071846591
"EU" 0.000331595947481651 0.000320770613325903
"EV" 0.0318954733433225 0.0202488957582639
"EW" 0.00940942757686763 0.0077053513844577
"EX" 0.00968450973134877 0.00771998100404796
"FA" 0.00124646687618735 0.00109960066704707
"FE" 8.76573188778442e-05 8.60180319983338e-05
"FF" 5.43660558868729e-05 5.31966449487916e-05
"FI" 0.000800618661883912 0.000688109540247269
"FS" 0 0
"FU" 0.000388117083837846 0.000366343893090959
"FY" 0.000132777277152429 0.000130925764359875
"GA" 0.000118656758280658 0.000115877958340597
"GC" 0.00300116521686703 0.00288089370211283
"GM" 0.000159108991934009 0.00015384339260946
"GU" 0.00410375038046644 0.00391315890048083
"GY" 0.0456157033762529 0.0402479778169629
"HA" 0.00123446945418502 0.00119658593263814
"HB" 0.000307511772402443 0.000284768978534307
"HE" 6.83058520577467e-05 6.6766935441502e-05
"HF" 5.08219255595496e-05 4.78659964881867e-05
"HI" 0.00153520716811674 0.0014955618041008
"HL" 0.000460014587624371 0.000438096554449441
"HQ" 0.000921616218283408 0.000784854476419836
"HT" 0.000713473382275719 0.000670139714959246
"HY" 0.000149488442528859 0.000140201407837057
"IA" 0.000483388284936866 0.000458480906467305
"ID" 0.0029565245728748 0.00247021470254109
"IF" 0.0395595947887011 0.0244260468897479
"IG" 0.00388260250268426 0.00339440977451175
"IH" 0.00108762938497844 0.000961692118232235
"II" 0.00783093102277247 0.00657612033811905
"IJ" 0.00294783504941052 0.0024621528318259
"IK" 0.0022857553118893 0.00181116295633169
"IL" 0.000167497328616847 0.00013522617569915
"IM" 0.00856967925222334 0.00721253790782956
"IO" 0.00082879476764376 0.000733146603456631
"IP" 0.000460525885430929 0.000408516972145057
"IQ" 0.0269218359393684 0.0215316139991632
"IU" 0.0209964907401339 0.0158478362972084
"IX" 0.00144690178776697 0.00134401625849932
"IY" 0.000246794928761852 0.000238099475515769
"JA" 0.00598169301677929 0.00539759981923915
"JB" 0.00124773525467224 0.00112168577444302
"JI" 0.000124336013790833 0.000115686356385842
"JM" 4.00146273011548e-06 3.85547480770001e-06
"JO" 5.95487059071176e-05 5.80037755729817e-05
"JS" 1.59334001435675e-05 1.56406728724607e-05
"JU" 0.000313978603476747 0.000304647443698823
"JW" 0 0
"JY" 0.00141015153258593 0.00133032969133619
"KA" 0.000747268041850283 0.000722506299888308
"KI" 0.000150781693248334 0.000147247556345512
"KM" 0.00290310918103702 0.00267511136117037
"KU" 0.000358187096983332 0.000338911361679109
"KV" 0.00022922443679637 0.000217875107729438
"KY" 0.00022698093236471 0.000220089275066204
"LE" 0.00467452888236475 0.0044219829990508
"LI" 0.000100676289731028 9.45641838502096e-05
"LJ" 8.50352955161898e-05 8.19460710939561e-05
"LQ" 0.000224542267545696 0.000214060827729453
"MA" 0.000348547886783668 0.000333633471719236
"MC" 0.00279980655283229 0.00230751973992461
"ML" 0 0
"MM" 4.09878192082671e-05 4.00298376377115e-05
"MQ" 0.000844869994557203 0.000777768007284884
"MR" 3.45166790612616e-05 3.12363704093379e-05
"MU" 9.34596764055688e-05 9.04050885707839e-05
"MW" 1.82117365961236e-05 1.72106163415543e-05
"MY" 0.000491499715294105 0.000477740337521725
"NE" 0.00340486256239754 0.00323243873222287
"NI" 0.00070500793820383 0.000677376343654796
"NM" 0.000211660958071993 0.000194257112587098
"NN" 0.000772142187985784 0.000743656227940663
"NQ" 0.00153631632055734 0.00148365202944669
"NS" 0.00104095491225458 0.000802509554405743
"NU" 0.000300127574604529 0.000279920367531411
"OA" 0.00423246434928112 0.00316072065419067
"OE" 0.000192865448088878 0.000183846582928517
"OI" 6.4618447267878e-06 6.01522688133715e-06
"OM" 0.000188025575498962 0.000183689418221841
"OO" 2.83140727135777e-06 2.70814617900827e-06
"OP" 0.000188573142088724 0.00017963296442948
"OR" 8.55327468230694e-06 8.41265323545653e-06
"OT" 6.72452965807398e-05 6.54336032603428e-05
"OU" 0.000324179351583186 0.000301387764508248
"OX" 1.97659709044908e-06 1.95752670424734e-06
"OY" 3.92334997399801e-05 3.85924814835293e-05
"OZ" 0 0
"PA" 3.83133944987406e-06 3.79055237716728e-06
"PC" 0.00333085546767577 0.0031143909038634
"PD" 0 0
"PE" 0.0182539780122684 0.014824114653658
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000562112982710379 0.000538158319080318
"PJ" 0.00013857646618697 0.000127188637339799
"PK" 0.000259274708465365 0.000220693043672284
"PM" 0.0123367952130704 0.00958938605141628
"PN" 0.106724744779186 0.0743808402147721
"PO" 0.0708035592766246 0.0411074134449701
"PQ" 0.0240370215196105 0.0195535893866764
"PS" 0.0222403026709728 0.018446883518338
"PT" 0.000727677242275522 0.000635141460139236
"PU" 0.0651905840863921 0.0451015890887291
"PW" 9.64968941713871e-05 9.01890520174978e-05
"PY" 0.00163522849692133 0.00155929110133001
"PZ" 0.00167096596971875 0.00141709251741493
"QA" 0.000686430530930137 0.000627773527113881
"QC" 0 0
"QD" 0 0
"QE" 0.000181369357005313 0.000159301121313718
"QF" 0.000626239784488153 0.000491230417139463
"QG" 0.00027757536465343 0.000226312517788687
"QH" 0.00306695962455085 0.00262642305963822
"QJ" 0.000163555629402252 0.000141237329270005
"QK" 0 0
"QQ" 0.00375302669327499 0.00358192343812591
"QU" 0.000833859608839007 0.000790223636821013
"RA" 0.000111960662989921 9.32684717195427e-05
"RB" 0.000597680615544856 0.000516554621660487
"RE" 0.000137349921834986 0.000129219299397542
"RO" 0.00194366341237675 0.0016220705674249
"RP" 0.000306176030203544 0.000294865785874831
"RQ" 2.4582135861027e-05 2.32585179314607e-05
"RT" 0.000516107440157137 0.000495586460828811
"RU" 0.00194573992713596 0.00184716200559477
"RX" 0.000198187359993093 0.000189330304600646
"RY" 0.000860868095077565 0.000740316341824651
"RZ" 5.46399612388928e-05 5.32600415126196e-05
"SA" 0.000333099013403617 0.000316707602871749
"SD" 0.000123602646799902 0.000120140953442788
"SI" 0.00139285692254982 0.00133118204579333
"SR" 0.000358362029372126 0.000321433864901285
"SU" 0.000210429181462354 0.000206781099275834
"SY" 0.00405714645487676 0.00335287065775695
"TA" 0.000139372649352342 0.000135854250171676
"TC" 0.000165473728329544 0.000162517651819948
"TD" 9.31194996603942e-05 9.08180711706577e-05
"TE" 3.49561189344411e-05 3.40380143732985e-05
"TI" 9.39938996284222e-05 8.93964394755384e-05
"TM" 0.000101838623316424 9.60471820618631e-05
"TQ" 0.000167328461646702 0.000161628468440025
