"Q" "C"
"AA" 0.000237614058010564 0.000223335651166016
"AC" 0.00372323856622198 0.00316371203601146
"AD" 5.40186771672374e-06 5.37936985848722e-06
"AE" 1.03907664496268e-06 1.02489703149798e-06
"AF" 1.32750998951267e-06 1.30780658572146e-06
"AH" 4.71870066659356e-06 4.66339717089983e-06
"AI" 0.000124176310330319 0.000115088171807141
"AM" 1.94708503209248e-05 1.93373974339703e-05
"AQ" 1.08627881298433e-05 1.08160528139536e-05
"AY" 6.6018641951571e-07 6.49782792194927e-07
"AZ" 2.00601509526359e-06 1.98925399707501e-06
"BA" 2.57743822639149e-06 2.56591243974815e-06
"BD" 1.92954277701722e-05 1.91420499549415e-05
"BF" 1.08861087036823e-05 1.0798676116667e-05
"BI" 3.92218860537835e-06 3.90268712032453e-06
"BK" 2.65501997902534e-06 2.58585125111724e-06
"BM" 4.5642825979748e-07 4.53407757073022e-07
"BP" 5.41060889665013e-06 5.29605410113525e-06
"BQ" 0 0
"BU" 0.000536537999194696 0.000525853035842747
"BV" 1.17530908929894e-05 1.16279008412975e-05
"CN" 2.97141078070367e-05 2.93756471748606e-05
"CO" 0.000146708331871088 0.000142923124208582
"CQ" 0.000527251789869167 0.000517161877818132
"CT" 9.12663117789959e-07 8.98831548348251e-07
"CU" 0.0011541738625013 0.0011190422217512
"DA" 0.000179965502571691 0.000175556485710627
"DB" 0.000153458299739394 0.000150321539913182
"DE" 8.00898026150152e-05 7.94612925365767e-05
"DI" 3.73063486169146e-05 3.68599747871994e-05
"DK" 0.000327381741823807 0.000322474448027322
"DM" 0.00013464425152386 0.000133505292271468
"DQ" 4.6803178466257e-05 4.65751330839906e-05
"DR" 0.000173394632571128 0.000170541501262633
"DS" 4.74856995917942e-06 4.72047056256334e-06
"DT" 0.000228905772127701 0.000213884529654992
"DW" 1.62293389223969e-05 1.5912154415679e-05
"DX" 3.38484627755878e-05 3.32867679490284e-05
"DY" 0.000832481945545741 0.000811892339140934
"EA" 4.06022004530932e-05 3.99972869047735e-05
"EC" 3.31707732978919e-05 3.27549258061232e-05
"EE" 4.88697411501817e-05 4.83769197655975e-05
"EI" 0.00034297773796244 0.000331874682215695
"EN" 0 0
"EO" 0 0
"EP" 0.00336112420311054 0.0028953214967803
"EQ" 8.81989591517131e-06 8.7807508213112e-06
"ER" 0.000404299340267178 0.000346415199592271
"ES" 0.00105816869556216 0.000924833131589257
"ET" 0.00410353522291279 0.00351876701948627
"EU" 8.60510939630535e-06 8.53811720989614e-06
"EV" 0.00626119830755723 0.00435015887258911
"EW" 0.00510972215267273 0.00406866626046077
"EX" 0.0190397297522583 0.0146017122689515
"FA" 1.18630309526246e-05 1.15571342223867e-05
"FE" 4.26699639486216e-06 4.25283263997635e-06
"FF" 3.86184724221868e-06 3.84706423653009e-06
"FI" 0.000151121095419506 0.000147785041371311
"FS" 0 0
"FU" 1.02729826085573e-05 1.01728389733049e-05
"FY" 1.08276892777316e-05 1.0799963798655e-05
"GA" 1.0525950918307e-05 1.04797990321581e-05
"GC" 0.000194539683716632 0.000192468006404617
"GM" 8.76139033422417e-06 8.7095268179568e-06
"GU" 0.00034845510937369 0.000344788768269689
"GY" 0.00121720256453767 0.00119357852462454
"HA" 0.000590885495520497 0.000585291226515344
"HB" 4.22225856464538e-05 4.11719657876409e-05
"HE" 1.66333840947867e-05 1.65626747570522e-05
"HF" 7.74672801553594e-06 7.66390534825622e-06
"HI" 0.000160396202922985 0.000159485542067651
"HL" 6.56751997653088e-06 6.49899749214145e-06
"HQ" 3.90353561251222e-05 3.81692069553179e-05
"HT" 9.74708404904476e-05 9.59614957557658e-05
"HY" 4.08168627649532e-05 4.02651555941135e-05
"IA" 7.68688125876893e-05 7.61039161453155e-05
"ID" 7.27880825012312e-05 7.07729635355363e-05
"IF" 0.00112865735056522 0.000860616347492323
"IG" 0.000206081576617633 0.000198296050494555
"IH" 1.67903611744e-05 1.65244455056347e-05
"II" 0.000195588996040877 0.000190505804058467
"IJ" 9.30624177743607e-05 8.55018826643189e-05
"IK" 4.92537521305082e-05 4.55589793696525e-05
"IL" 3.87190413607862e-06 3.5663277650588e-06
"IM" 0.000119095267291597 0.000113998240100832
"IO" 2.4024812266428e-05 2.29657306228009e-05
"IP" 2.71730749716492e-05 2.64665696476395e-05
"IQ" 0.00420496665136509 0.00381695782231599
"IU" 0.000674242709939982 0.000617338859291056
"IX" 1.98959681695414e-05 1.94526400606856e-05
"IY" 3.04260257243946e-05 3.01949126835449e-05
"JA" 9.85622117169588e-05 9.71131595083348e-05
"JB" 2.35686929693144e-05 2.31911873644628e-05
"JI" 6.55867234866183e-06 6.40550713374655e-06
"JM" 4.1484687172271e-07 4.12627088677422e-07
"JO" 1.54876165443145e-06 1.54292925456348e-06
"JS" 2.43903621089034e-05 2.42731098830652e-05
"JU" 1.28216018623829e-05 1.27457465883794e-05
"JW" 0 0
"JY" 2.17175337099219e-05 2.15277856738241e-05
"KA" 6.57544421705984e-06 6.53386716695987e-06
"KI" 3.32613261667924e-05 3.31167378162102e-05
"KM" 0.000263977662893732 0.00025934890986454
"KU" 1.36044152790691e-05 1.34549991353233e-05
"KV" 1.28769666231998e-05 1.27378988817843e-05
"KY" 1.14076415368083e-05 1.1344648739897e-05
"LE" 0.000208737982876864 0.000206262357006238
"LI" 8.84392071717007e-06 8.73716914411305e-06
"LJ" 1.7779151645259e-06 1.76639084340358e-06
"LQ" 7.96505993707603e-06 7.90324577542811e-06
"MA" 4.97771452731381e-05 4.93648428816279e-05
"MC" 0.000525308545170886 0.000478564686450301
"ML" 0 0
"MM" 1.25299319500756e-05 1.24803608371094e-05
"MQ" 0.000567363869555204 0.000536630325055593
"MR" 9.48221421080478e-07 9.34524148352516e-07
"MU" 5.02844692997224e-06 4.99644060240708e-06
"MW" 3.16073807026826e-07 3.12555661097371e-07
"MY" 4.28967682615016e-05 4.26823176857866e-05
"NE" 0.000104866797169458 0.000103858268518626
"NI" 7.68641872988967e-05 7.62827834113065e-05
"NM" 0 0
"NN" 5.9453987726491e-05 5.90473308545831e-05
"NQ" 2.83604406850434e-06 2.81867388551108e-06
"NS" 6.02226264984782e-05 5.76853456746951e-05
"NU" 3.80681300878038e-05 3.68517996972293e-05
"OA" 0.000150549652830007 0.000138873035921598
"OE" 2.53066261841103e-06 2.51547583355139e-06
"OI" 4.97816246067252e-06 4.91560756747244e-06
"OM" 2.84898478826491e-06 2.8401843349016e-06
"OO" 6.63754994756336e-07 6.5835826137126e-07
"OP" 0 0
"OR" 4.14344027029713e-06 4.11663148533972e-06
"OT" 3.15648323055829e-05 3.13289926368852e-05
"OU" 1.69776679649557e-05 1.6738970358645e-05
"OX" 7.37505549729261e-07 7.33228849245493e-07
"OY" 2.25879309631915e-05 2.2446287812086e-05
"OZ" 5.58660453919916e-06 5.54206902353793e-06
"PA" 8.02827469848139e-06 7.9990892555063e-06
"PC" 0.000102969574567182 0.000101020387068505
"PD" 0 0
"PE" 0.00556632031450194 0.00461428548568074
"PF" 0 0
"PG" 0 0
"PH" 1.10625832459389e-06 1.10512968390849e-06
"PI" 3.82124062597168e-05 3.79155731047939e-05
"PJ" 6.30336543648149e-06 6.22937802130943e-06
"PK" 3.7290819850047e-05 3.63812161285635e-05
"PM" 0.000566200842991941 0.000543233988348767
"PN" 0.208625725818662 0.0495200901150939
"PO" 0.00687488746565427 0.0041042837244703
"PQ" 0.634625782711551 0.111503539224829
"PS" 0.000573714003276294 0.000534702612650932
"PT" 2.80031979278816e-05 2.63711180139847e-05
"PU" 0.00667886632563336 0.0054822824357202
"PW" 7.9784461679444e-06 7.8794973313264e-06
"PY" 8.26258413480541e-05 8.19207357992175e-05
"PZ" 0.000101733966597235 9.91020231870744e-05
"QA" 5.15687760168519e-05 5.06585233193121e-05
"QC" 0 0
"QD" 0 0
"QE" 7.19477564822385e-06 7.05569235336416e-06
"QF" 1.51056693100862e-05 1.4312912199847e-05
"QG" 2.79033771423286e-05 2.70325301087711e-05
"QH" 2.55602184438358e-05 2.47701081063354e-05
"QJ" 2.22080424424236e-05 2.17455860043955e-05
"QK" 1.65938748689084e-06 1.65726432498522e-06
