"Q" "C"
"AA" 0.000649285009354031 0.000567419637615284
"AC" 0.00101001674849412 0.000903399989490747
"AD" 2.83239942881818e-05 2.79660301592775e-05
"AE" 0.00019611670995427 0.000171257814057044
"AF" 4.98564003501159e-06 4.92396761481782e-06
"AH" 3.57258177949554e-05 3.35626731094755e-05
"AI" 0.000591101638476421 0.000509349339727381
"AM" 4.66171022235548e-05 4.54527174558088e-05
"AQ" 2.23030533693445e-05 2.20633010427876e-05
"AY" 4.93589341259506e-05 4.72107828519303e-05
"AZ" 8.86383378538886e-06 8.67245361700152e-06
"BA" 7.92526345843328e-06 7.85978438849712e-06
"BD" 2.42340513448691e-06 2.38440445132637e-06
"BF" 1.07828175308854e-05 1.06007889968094e-05
"BI" 6.2331324573704e-05 6.04903465083942e-05
"BK" 6.62549192039167e-07 5.7228078850168e-07
"BM" 4.46088366977086e-06 4.43726616930099e-06
"BP" 3.12848583297047e-05 2.77531756296339e-05
"BQ" 3.69097722642353e-06 3.60293684740608e-06
"BU" 0.000124614140221871 0.000121905137793125
"BV" 1.9137822945726e-06 1.88977278728464e-06
"CN" 4.11332623390983e-06 4.05331170217201e-06
"CO" 0.000396957698576813 0.00034108900787915
"CQ" 0.00102027738357427 0.000943622992784042
"CT" 4.80939233853233e-06 4.52220697499608e-06
"CU" 0.000162865661542264 0.000152818390220284
"DA" 0.000412117065073728 0.000357889502618708
"DB" 0.00218590738339802 0.0019617017265944
"DE" 0.000156520724273852 0.000152656449026084
"DI" 0.000249863555533065 0.000247656239750699
"DK" 0.000140830851864135 0.000140313170606916
"DM" 0.000160379712786698 0.000156879596924002
"DQ" 0.000152459509440368 0.000150743627804247
"DR" 0.000186496144409118 0.000177896846807233
"DS" 1.06464549469724e-05 1.05106478696339e-05
"DT" 0.00332218278600053 0.00243511480787765
"DW" 0.00294227820670518 0.00186550574293537
"DX" 9.35658055475608e-05 8.22404867888474e-05
"DY" 0.0136306163166013 0.00713372062528479
"EA" 0.00414014830189875 0.00327487032943371
"EC" 0.00582358990145432 0.00407944725206454
"EE" 0.000565510941396287 0.000447798687118608
"EI" 0.0544600885321536 0.0210623239245191
"EN" 0 0
"EO" 0 0
"EP" 0.00101297826217487 0.000949179672069568
"EQ" 6.41572731132908e-06 6.38790385270183e-06
"ER" 4.86679367478387e-05 4.54785019850606e-05
"ES" 0.000177165132152889 0.000162020593969511
"ET" 0.000399796793610851 0.000369788055672939
"EU" 1.52619741249215e-05 1.51668909621487e-05
"EV" 0.00136350910383925 0.0010894907201554
"EW" 0.000453292221663239 0.000431889836336384
"EX" 0.00040694417696701 0.000382148236364257
"FA" 0.00216648972153756 0.00158230261094217
"FE" 2.70632460114114e-06 2.7005477360586e-06
"FF" 1.8642674978833e-05 1.8496636644995e-05
"FI" 0.00939892760356924 0.00534482722195743
"FS" 0 0
"FU" 2.21595844634721e-06 2.20472901309588e-06
"FY" 0.00115447462899394 0.00113658294023325
"GA" 8.37601171569047e-05 8.26360997077165e-05
"GC" 0.002171209157618 0.00208744234323969
"GM" 8.81011358062893e-06 8.72805971936369e-06
"GU" 0.000201809637747949 0.00019784835104925
"GY" 0.000403951453090747 0.000401258828791587
"HA" 5.35749802137206e-05 5.32388494368822e-05
"HB" 3.32762456912176e-05 3.09780466998271e-05
"HE" 0 0
"HF" 2.24735918508189e-05 2.21927183429064e-05
"HI" 6.81833368106835e-07 6.80095281006295e-07
"HL" 3.12891795479757e-05 3.0935628673457e-05
"HQ" 0.0229803917377198 0.0120012801979476
"HT" 1.61136389665742e-05 1.57304357107944e-05
"HY" 2.37648732386237e-05 2.3037347648705e-05
"IA" 0.000213836763159592 0.000208307958830008
"ID" 0.00711641034542473 0.00446865466782838
"IF" 0.00288035460911362 0.00138515057892749
"IG" 0.00328688948496549 0.00267234798070419
"IH" 0.00265099068695472 0.00207394878072012
"II" 0.0116892618186435 0.00737449166107953
"IJ" 0.00651165261831656 0.00563463406751596
"IK" 0.0098306931732618 0.00604686349759767
"IL" 4.21424201940113e-05 3.61825769207238e-05
"IM" 0.00237406180696545 0.00186470058834293
"IO" 9.43847148064439e-05 8.86325285137569e-05
"IP" 0.000106915057078558 8.54769388197446e-05
"IQ" 0.00743305010616129 0.00581748332201151
"IU" 0.0135922902498411 0.00897079571493424
"IX" 0.00110042669455485 0.0010166690830453
"IY" 1.46585083980759e-05 1.4392110416598e-05
"JA" 0.00556299181674576 0.00484220988380072
"JB" 0.000217390639540473 0.000210512891466462
"JI" 2.49664651621786e-05 2.44081772448051e-05
"JM" 0 0
"JO" 0 0
"JS" 5.66041315417815e-06 5.63959790188438e-06
"JU" 4.71415089080165e-05 4.646694533484e-05
"JW" 0 0
"JY" 0.000401673938728554 0.000375849843221695
"KA" 6.21767861864545e-05 6.09551906466589e-05
"KI" 3.43009847798685e-05 3.39214038761296e-05
"KM" 0.000115992698952635 0.000111711747501461
"KU" 1.59986594566809e-05 1.57948347401277e-05
"KV" 4.08235323093981e-05 3.97481353041271e-05
"KY" 0.000161975015643151 0.000158140263539434
"LE" 0.0016833697635937 0.0016187229286765
"LI" 9.35527882902735e-06 9.13332715638521e-06
"LJ" 1.29315969091224e-05 1.28137689124792e-05
"LQ" 5.1705697081435e-06 5.12516648318054e-06
"MA" 4.16442872303733e-05 4.07895649170797e-05
"MC" 1.3127889142013e-05 1.19459600760407e-05
"ML" 0 0
"MM" 1.2576155744799e-05 1.25418600396224e-05
"MQ" 1.26798427968271e-05 1.21561920287765e-05
"MR" 1.47730563089814e-06 1.46856433845156e-06
"MU" 9.36661955310199e-06 9.19056422047281e-06
"MW" 6.15096344501227e-06 6.08956116991626e-06
"MY" 2.76467196639509e-06 2.75323235430253e-06
"NE" 0.00019147208582123 0.00018799244711896
"NI" 8.25769389462575e-05 8.09652069830112e-05
"NM" 2.21595844634721e-06 2.20327148533738e-06
"NN" 6.79446432529973e-05 6.67267225226992e-05
"NQ" 3.38183697200704e-05 3.36297960964134e-05
"NS" 0.0274225195780673 0.00738212959684799
"NU" 9.58197993206487e-05 9.43035767121652e-05
"OA" 0.00251329315258922 0.00136884149124489
"OE" 9.98735479857078e-06 9.94066337948524e-06
"OI" 5.05658213788029e-06 4.82155252706357e-06
"OM" 9.3081634551863e-06 9.28240368298707e-06
"OO" 4.39674294910161e-06 4.34135170275362e-06
"OP" 1.93016142521129e-05 1.85997593062233e-05
"OR" 1.84860704615062e-06 1.83829696365612e-06
"OT" 3.57532791343416e-06 3.55795791360403e-06
"OU" 4.25987968041296e-05 4.03009877919764e-05
"OX" 0 0
"OY" 3.4760132491721e-07 3.46594794741919e-07
"OZ" 3.87073261082728e-06 3.83973121733718e-06
"PA" 5.90922252359257e-06 5.89521223932856e-06
"PC" 0.000240985845833484 0.000238200373146756
"PD" 1.04280397475163e-06 1.04022402548484e-06
"PE" 0.000675412728336479 0.000641610613295902
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000119437582028311 0.000116344355863893
"PJ" 6.77577339683972e-05 5.46241256186615e-05
"PK" 0.0277769752653977 0.011207979803086
"PM" 0.291636389522072 0.0701170935912696
"PN" 0.00114055346402199 0.00107685504976473
"PO" 0.000471900736227427 0.000362586540896593
"PQ" 0.000150858749691194 0.000148842331844035
"PS" 2.64349936976462e-05 2.60137670028958e-05
"PT" 1.34929220011244e-05 1.29544176120451e-05
"PU" 0.0115579066836623 0.00807926705984423
"PW" 3.79236747537105e-05 3.64119909695585e-05
"PY" 0.000118193416659165 0.000116163474923466
"PZ" 0.202178356578941 0.0689436863350536
"QA" 7.64341044756723e-05 7.24155014480371e-05
"QC" 0 0
"QD" 0 0
"QE" 0.00386782655517617 0.00267858861598491
"QF" 0.00694957752616972 0.00277523058514953
"QG" 0.018938682801072 0.00596881406942551
"QH" 0.00551940881980555 0.00330208210258114
"QJ" 0.000100650755537401 6.16300991567544e-05
"QK" 0 0
"QQ" 0.000302474263705192 0.000293471377323051
"QU" 0.00157593071370685 0.00152113861993172
"RA" 0.00295788465695666 0.00188634736247082
"RB" 0.000207866584374283 0.000190443608343856
"RE" 0.0038315784900559 0.00326666324413629
"RO" 0.000665199405035109 0.000559944459450217
"RP" 4.42717687462738e-06 4.3915492142121e-06
"RQ" 3.51739435928129e-06 3.39778866685332e-06
"RT" 6.42892673546921e-05 6.34393217129179e-05
"RU" 0.000115184435314227 0.000113134626955474
"RX" 1.93946586204728e-06 1.91374652033402e-06
"RY" 0.00483242664006471 0.00349513238714366
"RZ" 3.61311197463615e-06 3.58960171795365e-06
"SA" 5.01250153111183e-05 4.86118472282986e-05
"SD" 2.13616423485335e-05 2.11297179021191e-05
"SI" 0.000142402661375777 0.000138797525689157
"SR" 8.00516049740474e-05 7.3813587150774e-05
"SU" 3.61533627326526e-05 3.58395491353593e-05
"SY" 0.00557667186707419 0.00399490247162271
"TA" 5.53989611586803e-07 5.49352936993142e-07
"TC" 0.000183011337350411 0.000181148248862695
"TD" 2.50152515152414e-05 2.47629117576297e-05
"TE" 1.6114330990619e-05 1.58578572002248e-05
"TI" 3.67811222462076e-06 3.58141439407765e-06
"TM" 1.00363876420311e-05 9.76125878821009e-06
"TQ" 2.2992479144515e-05 2.27159145772926e-05
"TU" 0.000529017910055753 0.000488575978113597
"UA" 4.64679771173416e-06 4.62439248293095e-06
"UB" 0.0694842214513388 0.025112559947065
"UE" 9.04971289290725e-05 8.02815168563196e-05
"UF" 0.00132313724097826 0.00100789263468033
"UH" 0.00504526688540928 0.00299014915997726
"UI" 0.0151771877049338 0.0105946050611426
"UK" 0.0541400533113512 0.0221047242082764
"UM" 4.39262579225538e-05 4.23639135834553e-05
"UN" 0.000555241502110676 0.000492498829175007
"UP" 0.000210030796309104 0.000195066200016655
"UQ" 6.75683631143909e-05 6.66550620208578e-05
"UR" 0.00154961969270334 0.00122500112140748
"UT" 1.61160614279797e-06 1.61149663404754e-06
"UU" 1.21288033730041e-05 1.20986654136755e-05
"UY" 0.00435136483599828 0.00295799076462189
"VE" 5.01664679688953e-06 4.96870033717343e-06
"VI" 6.9776867151983e-06 6.90621410525722e-06
"VJ" 4.3646459193219e-05 4.32690833456031e-05
"VM" 1.26235635319873e-05 1.25339547172869e-05
"VP" 0 0
"VS" 1.39288816627539e-06 1.37970810990188e-06
"VX" 1.28767324539693e-05 1.27752617139308e-05
"VY" 0.00032471656072839 0.00031462496359667
"WC" 2.45213761571888e-05 2.4283794970801e-05
