"Q" "C"
"AA" 0.000508746047993034 0.00047160336324992
"AC" 5.28037373744019e-05 5.18808977535749e-05
"AD" 0.00045921989805311 0.00041381969640301
"AE" 6.89641025977683e-05 6.19192054263246e-05
"AF" 1.55313137441734e-06 1.51901198969928e-06
"AH" 0.000326274472938007 0.000274825389220564
"AI" 3.76553283312198e-05 3.71047948729143e-05
"AM" 7.25666860109648e-05 6.63506551846693e-05
"AQ" 0.00222232825544542 0.00168253016302585
"AY" 0.00133114330477695 0.000827587299983181
"AZ" 0.00038315289346501 0.000268043124570555
"BA" 0.00471260431340532 0.00395390241064612
"BD" 1.50236172463519e-05 1.43103097427425e-05
"BF" 0.000187445185325753 0.00016830539434379
"BI" 1.3988732700955e-05 1.37106646201715e-05
"BK" 4.646863901256e-07 4.52926331679313e-07
"BM" 5.74780727406294e-06 5.66228500012555e-06
"BP" 2.40186267146908e-06 2.32830324074916e-06
"BQ" 1.81623990089562e-05 1.67123478821256e-05
"BU" 1.85125498004588e-05 1.84812156743053e-05
"BV" 0.000228211325046291 0.000181303124329105
"CN" 0.00101401545532474 0.000794798898066793
"CO" 0.00607685344632048 0.00400296418686225
"CQ" 0.076125748592408 0.0424094054564003
"CT" 0.000894180248963617 0.000515418113118999
"CU" 0.007389390268318 0.00376331189486038
"DA" 0.00732150334190246 0.00427670708184318
"DB" 0.0168389961700416 0.0105240468174215
"DE" 0.00127105712052232 0.0010818717000938
"DI" 4.85199585709124e-05 4.81812318879443e-05
"DK" 1.43919005021205e-05 1.43358588160418e-05
"DM" 0.0724823857867933 0.0463097634699592
"DQ" 0.0251492288035011 0.019542208631481
"DR" 0.0466035779200947 0.0252897108643945
"DS" 0.00445824295512025 0.00331846421449527
"DT" 1.58442302209278e-05 1.55651070720453e-05
"DW" 0.000733888058823209 0.000615725821023303
"DX" 0.00303610316180203 0.00193353927702377
"DY" 0.00453198983705324 0.00405109372396571
"EA" 0.00194886728867286 0.00174021980657821
"EC" 0.000238477098841153 0.00022617579511825
"EE" 0.00131966345127012 0.00121004668808135
"EI" 0.00139464479174721 0.00130610488713434
"EN" 0 0
"EO" 4.77057910901671e-06 4.75716258192078e-06
"EP" 0.000487651078077553 0.00046755751169939
"EQ" 0.00132103179266386 0.00117693862583151
"ER" 2.97174825653031e-05 2.77293466936871e-05
"ES" 3.01513389638009e-05 2.95996818448e-05
"ET" 0.000209512676281668 0.000197671427026235
"EU" 7.99687610797494e-05 7.70072081258337e-05
"EV" 0.000678709820442978 0.000558533385472337
"EW" 9.27015545657824e-05 9.10394901481141e-05
"EX" 0.000220991657149447 0.000214422133173664
"FA" 1.44875091154282e-05 1.42720882450758e-05
"FE" 2.45908164309605e-05 2.36712690641989e-05
"FF" 0.00101224615477481 0.000824005133600781
"FI" 9.46537873486995e-05 8.73802418569699e-05
"FS" 3.87092480035334e-06 3.34440378571571e-06
"FU" 8.25622565882245e-05 7.70108693847032e-05
"FY" 0.00516338190655904 0.00474103103053956
"GA" 0.00707226841413092 0.00575801128856801
"GC" 3.82081938859954e-05 3.79846236659564e-05
"GM" 0.000952675898297507 0.000804245188024812
"GU" 0.000301307072345486 0.000280337116207667
"GY" 0.000298548868837366 0.000294320739072804
"HA" 0.000199169968444996 0.0001938104727658
"HB" 0.000550613952760242 0.000479604602591596
"HE" 5.29195017077177e-05 4.84229667620958e-05
"HF" 0.000184269379052211 0.000160094225973887
"HI" 6.96798375903118e-05 6.73498285865367e-05
"HL" 0.00279227926375326 0.00208984957963955
"HQ" 0.000122560659713365 0.000116892136835151
"HT" 0.000276555657718451 0.000221942070930072
"HY" 0.00660433995511319 0.00430878276140346
"IA" 0.0373240617401556 0.0241917780154171
"ID" 0.000125904474799862 0.000120995161501293
"IF" 8.14317401143205e-05 7.80064009333626e-05
"IG" 0.00348727702373586 0.00258363599328321
"IH" 0.000161458934275623 0.000153365284228634
"II" 0.000268319973926668 0.000255447197918786
"IJ" 3.78228878418055e-05 3.6987408700766e-05
"IK" 2.13777483572253e-05 2.0964489683742e-05
"IL" 6.002199205789e-07 5.90594705967815e-07
"IM" 3.30436840199498e-05 3.20142283496374e-05
"IO" 9.87570816067399e-07 9.78832068113674e-07
"IP" 4.70378672037106e-06 4.62126690285466e-06
"IQ" 0.000297233720002067 0.000291892033224785
"IU" 5.46114135870737e-05 5.36791731713883e-05
"IX" 1.26890882498343e-06 1.26364509489339e-06
"IY" 0.000407265410122997 0.000360827907908338
"JA" 0.00130484485199836 0.00121054149770034
"JB" 2.26328955332903e-05 2.20948381160916e-05
"JI" 2.55584477365621e-05 2.31251541256014e-05
"JM" 7.15828983928626e-06 6.57464418174667e-06
"JO" 6.90511340450693e-05 6.40825442711249e-05
"JS" 3.80804461819746e-06 3.74088628347539e-06
"JU" 0.000209697576457532 0.000192039237959084
"JW" 1.04386073144157e-07 1.02616947300596e-07
"JY" 0.00162828484669755 0.00137295438260485
"KA" 1.45819440436854e-05 1.4075824038223e-05
"KI" 0.0208602980786779 0.016255639302934
"KM" 0.0299602713959323 0.018212102414935
"KU" 2.03995977824893e-05 2.00816640584314e-05
"KV" 3.71334916675616e-06 3.63771579152675e-06
"KY" 4.32238973452965e-06 4.29851724994175e-06
"LE" 6.64917768254348e-05 6.56097958201894e-05
"LI" 0.00233849782333596 0.00146520743181535
"LJ" 0.000681607070800323 0.000542811758054152
"LQ" 0.00106582827049764 0.000835845363428994
"MA" 0.0326398148278123 0.0204544978846709
"MC" 0.00124891264714604 0.000744497196155284
"ML" 3.79778231608229e-05 2.83595055070692e-05
"MM" 3.50633028551799e-05 3.48142512310055e-05
"MQ" 0.000227228345199121 0.000200492419793965
"MR" 7.93129166801764e-06 7.76950197820313e-06
"MU" 8.93073061627295e-05 7.99882277479455e-05
"MW" 3.23226194769519e-06 3.11078400447819e-06
"MY" 0.000570887172573997 0.000518627019703231
"NE" 0.014561061115987 0.0110668356147757
"NI" 0.065617261911852 0.042898810832586
"NM" 1.27694055943231e-05 1.24674487363567e-05
"NN" 0.0159838179400958 0.0114497279714636
"NQ" 0.000112778150057364 0.000109233570091493
"NS" 0.000930337091148869 0.000868045728290495
"NU" 0.000167026924940325 0.000160870857032777
"OA" 0.000192675121709096 0.000180356234122887
"OE" 1.96878761262607e-05 1.94715109915272e-05
