"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0 0
"BI" 0 0
"BK" 0 0
"BM" 0.0135756056808688 0.0110634082169138
"BP" 0.0162280701754386 0.0136709300977654
"BQ" 0.118473266499582 0.0683479491891685
"BU" 0 0
"BV" 0 0
"CN" 0 0
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0 0
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0 0
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.0018796992481203 0.00124661787910618
"EO" 0 0
"EP" 0.0087719298245614 0.0083364537452178
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0.0184210526315789 0.015410756622306
"EV" 0.0131578947368421 0.01222327094199
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0.00146198830409357 0.00134829551613475
"HA" 0.0420843776106934 0.0354594750976876
"HB" 0 0
"HE" 0 0
"HF" 0.0102130325814536 0.00895790233095433
"HI" 0 0
"HL" 0 0
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0.0037593984962406 0.00339082569401646
"JI" 0 0
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 0 0
"JW" 0 0
"JY" 0.0018796992481203 0.0018476526749882
"KA" 0 0
"KI" 0 0
"KM" 0 0
"KU" 0.0018796992481203 0.00170022106203074
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.10202589807853 0.0742357289266203
"MQ" 0 0
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0 0
"NE" 0 0
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0 0
"OI" 0 0
"OM" 0 0
"OO" 0 0
"OP" 0 0
"OR" 0 0
"OT" 0.0893205235310498 0.0646044937715774
"OU" 0 0
"OX" 0.012531328320802 0.00770178426845391
"OY" 0.0656676413255361 0.0471444323333717
"OZ" 0.029344193817878 0.018984502978875
"PA" 0.141583124477861 0.0877050599608523
"PC" 0 0
"PD" 0 0
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0.00657894736842105 0.00517556767048833
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0 0
"PZ" 0 0
"QA" 0 0
"QC" 0.00974658869395711 0.00674646200614297
"QD" 0.207999164578112 0.124608185271949
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0.00526315789473684 0.00465100734491117
"RQ" 0 0
"RT" 0 0
"RU" 0 0
"RX" 0 0
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0.0241228070175439 0.020848653729938
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0 0
"UU" 0.0375522138680033 0.0321135631244045
"UY" 0 0
"VE" 0 0
"VI" 0.00219298245614035 0.00189899237060771
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.00548245614035088 0.00466038132155619
"VY" 0 0
"WC" 0 0
"WE" 0 0
"WF" 0 0
"WH" 0 0
"WM" 0.00175438596491228 0.00146990012893671
"WQ" 0 0
"WU" 0.00516917293233083 0.00414976737640802
"WV" 0 0
"WY" 0 0
"XA" 0 0
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0 0
"YI" 0 0
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.0018796992481203 0.00162017414665407
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
