"Q" "C"
"AA" 0.00079459575459829 0.00071154936526119
"AC" 0.000474201991500681 0.000448399143925625
"AD" 0.000266923021532606 0.000249233157628427
"AE" 0.000986602096883646 0.000828542682716042
"AF" 9.06726111099744e-07 8.9153113165489e-07
"AH" 0.000470101516086747 0.000400571059310631
"AI" 0.000637840841506139 0.000601041616073148
"AM" 0.000340771613732198 0.000315802888182414
"AQ" 0.000200838655588058 0.000180133566158005
"AY" 0.00155749070827011 0.0011339396260148
"AZ" 3.11869514387228e-05 2.57822862564229e-05
"BA" 0.000363271161632433 0.000329550366606422
"BD" 1.57280207784567e-05 1.51532771504246e-05
"BF" 9.78241495345587e-05 9.17543996008942e-05
"BI" 1.4045159287411e-05 1.3695532701017e-05
"BK" 1.37597195218773e-06 1.29418530271418e-06
"BM" 0 0
"BP" 1.0735331407326e-05 9.99225821239401e-06
"BQ" 7.5678457370325e-06 7.15258704040391e-06
"BU" 2.41885712865143e-05 2.40213005526539e-05
"BV" 2.79806593982081e-05 2.44077391447391e-05
"CN" 0.000153501745328622 0.000132314509526544
"CO" 0.00720462004925324 0.00492074537492181
"CQ" 0.0410688300192618 0.0274756838533476
"CT" 0.0014471993412435 0.00095081958053548
"CU" 0.00607180043973359 0.0040707708798023
"DA" 0.0181354671772405 0.0116694927273959
"DB" 0.0305657854780613 0.0209718853097012
"DE" 0.00122572905303431 0.00108190076926928
"DI" 3.42816943643353e-06 3.4121585639802e-06
"DK" 7.4929165713193e-08 7.47933888423339e-08
"DM" 0.0113377717417445 0.00916419856199363
"DQ" 0.00740738967300389 0.00644137788192963
"DR" 0.030481367107308 0.020906251288219
"DS" 0.00107656999360592 0.000924125336013976
"DT" 0.0002456763662048 0.000216582053449867
"DW" 0.00423439935833589 0.00287158284171794
"DX" 0.00305254915078229 0.0020540851089268
"DY" 0.0415595442582996 0.0280415439858671
"EA" 0.012503105207357 0.0100258181086902
"EC" 0.0019468928715887 0.00154651689932005
"EE" 0.0086444313039352 0.00685910922818409
"EI" 0.044491068266952 0.0301881313072374
"EN" 0 0
"EO" 0 0
"EP" 0.000706643029041411 0.00066398771433413
"EQ" 3.49144111824085e-05 3.31997163616305e-05
"ER" 0.000141284463580819 0.000130582776345975
"ES" 6.21244388770202e-05 5.92030989401576e-05
"ET" 8.79932526263187e-05 8.14685095978638e-05
"EU" 1.288759612277e-05 1.26822162880425e-05
"EV" 0.000629797427888426 0.000486899848044613
"EW" 0.000245551913873838 0.000237113901981393
"EX" 0.000275561312870469 0.00026196454056399
"FA" 0.000447482238388329 0.000406204859123182
"FE" 1.0319789641408e-06 1.01781293188851e-06
"FF" 0.000349578355771746 0.000313472641471586
"FI" 0.00181632533958395 0.001355062164039
"FS" 0 0
"FU" 1.19492301111039e-06 1.16648540018473e-06
"FY" 0.0615644481234193 0.0513660374808413
"GA" 0.00262874825123077 0.00234308978861887
"GC" 0.00049875098656569 0.000490490225019712
"GM" 3.15685454007465e-05 2.89795579140647e-05
"GU" 0.000178326344585751 0.000169040900372342
"GY" 2.0572916475362e-05 2.04259437848347e-05
"HA" 2.09638025589061e-05 2.06829272931982e-05
"HB" 4.15876675058777e-05 3.75088588457579e-05
"HE" 7.15713895736435e-06 6.84357170885351e-06
"HF" 6.45567921824562e-07 6.074959549145e-07
"HI" 4.45167396296029e-07 4.383622703666e-07
"HL" 6.91012741572464e-05 6.15598191270756e-05
"HQ" 0.00472740435939587 0.00364910501091886
"HT" 0.000138295224565442 0.000119931464057014
"HY" 0.00223889443188487 0.00170656343569514
"IA" 0.0116184096945493 0.00914963829656341
"ID" 0.00161782959934865 0.001318063743357
"IF" 0.00169935684685791 0.00132655001373205
"IG" 0.118506026425018 0.0690457294279707
"IH" 0.00171291939424486 0.00147094362426846
"II" 0.00692092901561189 0.00536784412808193
"IJ" 0.000534897708276497 0.000505296692299065
"IK" 0.00133739578734407 0.00115078155330142
"IL" 1.5135691474065e-06 1.42408727560434e-06
"IM" 0.000660200575167148 0.000588554085404474
"IO" 0.000116556447101242 0.000113307800453391
"IP" 2.06543366855683e-05 1.84419571687286e-05
"IQ" 0.00199537633449739 0.00182067468362041
"IU" 0.00374060252996687 0.00327027116335725
"IX" 4.44188961815271e-05 4.32874192790235e-05
"IY" 0.000335931694738667 0.000307483813061633
"JA" 0.00317571703231557 0.00282840072158974
"JB" 2.8692379243653e-05 2.79796690402542e-05
"JI" 2.320943356148e-05 2.18223997819236e-05
"JM" 0 0
"JO" 8.19985824448862e-06 7.99983117983295e-06
"JS" 5.00135892186495e-06 4.95851427771762e-06
"JU" 0.000149280529231384 0.000140747095255399
"JW" 0 0
"JY" 0.00473550003877355 0.00401507459290224
"KA" 0.000197143849785555 0.0001906201328944
"KI" 0.0016036441566332 0.00142220200953628
"KM" 0.00366216144188507 0.00273218360226686
"KU" 1.02706477859727e-05 1.01494365997207e-05
"KV" 4.80650446383519e-06 4.70103124214026e-06
"KY" 2.71571270398728e-05 2.68718710864885e-05
"LE" 0.000229043906000668 0.00022394244261942
"LI" 0.000331941724718484 0.000259329808604137
"LJ" 1.90022992726035e-05 1.71318846498373e-05
"LQ" 9.95388167790859e-06 9.11052992432971e-06
"MA" 0.00681848595899924 0.0054758507670304
"MC" 0.000236183393661384 0.00016070975485653
"ML" 2.01203948194324e-06 1.80244009277179e-06
"MM" 1.17739747361411e-05 1.17276898331585e-05
"MQ" 3.6837088344074e-06 3.40710472358463e-06
"MR" 1.53402278453362e-07 1.51913732298377e-07
"MU" 4.62240959497892e-05 4.24109402888415e-05
"MW" 3.69163206684512e-07 3.60224900013858e-07
"MY" 4.13412122026912e-05 3.95420891540612e-05
"NE" 0.000611780932367803 0.000546732258408848
"NI" 0.00666204365073402 0.00554127782478815
"NM" 0 0
"NN" 0.00155979947774731 0.00134789191415999
"NQ" 2.46347307250075e-05 2.42432149340797e-05
"NS" 0.00833261961196439 0.00552048818749555
"NU" 1.21679434216327e-05 1.18921012104555e-05
"OA" 0.00204828807226532 0.00159263189222691
"OE" 7.69611430884661e-07 7.64830161692433e-07
"OI" 0.000125065593157271 9.15522776068803e-05
"OM" 1.13517686055487e-06 1.12372520557639e-06
"OO" 1.38258720195786e-06 1.22756430248175e-06
