"Q" "C"
"AA" 0.0144066202202235 0.0119301570913246
"AC" 0.00151174627492206 0.00128943385563843
"AD" 6.11667093967979e-05 6.02455056504783e-05
"AE" 0.000921709268269072 0.000798458205992682
"AF" 4.03575814032265e-05 3.96359774721468e-05
"AH" 0.000126622452453067 0.000118185907171689
"AI" 0.00339140735499255 0.00276714881137977
"AM" 0.000233443775116828 0.000226054694169927
"AQ" 0 0
"AY" 0.000163739841241195 0.000155591216844911
"AZ" 1.89539683094897e-05 1.84366643520773e-05
"BA" 4.34975545595014e-05 4.29399091783496e-05
"BD" 3.29224610198061e-05 3.21308681518966e-05
"BF" 7.55229483164744e-05 7.38004210343954e-05
"BI" 0.00048922128798199 0.000472992346770779
"BK" 4.32980244927148e-05 3.63199423216136e-05
"BM" 7.61842073185597e-06 7.55881950257827e-06
"BP" 0.000196274351237878 0.00017541645518727
"BQ" 3.17184317609582e-05 3.08543725829856e-05
"BU" 0.000619790741112665 0.000605058447737012
"BV" 6.94247261790209e-06 6.80197737014652e-06
"CN" 6.99326208944779e-06 6.83700593315383e-06
"CO" 0.000710562238393377 0.000619045001082641
"CQ" 0.00156669892145917 0.00145056079249506
"CT" 5.38731180324101e-06 5.03755168923426e-06
"CU" 0.000747648767540354 0.000695877628285548
"DA" 0.0021441211649102 0.00189235566783995
"DB" 0.00107936944481455 0.000971430375092167
"DE" 0.00029354774566116 0.000285322394277188
"DI" 0.000198698205812037 0.000196105086966891
"DK" 3.52226996064841e-05 3.50237010178604e-05
"DM" 0.000167430584890501 0.000162837405454432
"DQ" 0.00044717958579152 0.00043947723098094
"DR" 0.00071162696734204 0.000675241096879209
"DS" 0.000125846935372753 0.000123441959298339
"DT" 0.0036223417760012 0.00250005550325863
"DW" 0.00216608808940781 0.00152276200340447
"DX" 0.000341955982735713 0.00030568421121115
"DY" 0.00887156995929029 0.00570697821514485
"EA" 0.00507637958295424 0.00419795227193245
"EC" 0.00197875076014614 0.00154734561415792
"EE" 0.000977766277880273 0.000823103567249668
"EI" 0.0237589158274287 0.0129631710485278
"EN" 0 0
"EO" 0 0
"EP" 0.00341609732934561 0.0030695841828479
"EQ" 0 0
"ER" 0.000114327343149798 0.000102073663693848
"ES" 0.000545826266376193 0.000480092776665158
"ET" 0.000856737734995691 0.00076406251447738
"EU" 1.76426585369296e-06 1.74812477750444e-06
"EV" 0.0057883021370895 0.00435051402256467
"EW" 0.00198275048758171 0.00182206833831716
"EX" 0.00134554472291077 0.00122007011506669
"FA" 0.0223457945618618 0.0159296619993178
"FE" 1.25703942075623e-05 1.25238896459587e-05
"FF" 0.000140123836549309 0.000138180863045644
"FI" 0.00993331621448562 0.00678028018026345
"FS" 0 0
"FU" 0 0
"FY" 0.00247483056648099 0.00242742255992723
"GA" 0.000204000098408787 0.000200688030464088
"GC" 0.00359948651637151 0.00342684931963332
"GM" 3.10562680422129e-05 3.06421142324269e-05
"GU" 0.000401872397829167 0.000390779039919724
"GY" 0.00020556616622488 0.000203406747028895
"HA" 0.000159428151181973 0.000157961318280868
"HB" 0.000249990055178522 0.000233821375865245
"HE" 0 0
"HF" 0 0
"HI" 4.46947349602216e-06 4.4472951959294e-06
"HL" 9.42779565567176e-06 9.25539273538968e-06
"HQ" 0.00638603135734185 0.00411585135017629
"HT" 1.72393977703712e-05 1.67294929415814e-05
"HY" 2.96181313608244e-05 2.85491785264696e-05
"IA" 0.000344769154933576 0.000333795152951119
"ID" 0.00504383362686419 0.00344371990878741
"IF" 0.0136534772260321 0.00672134507626648
"IG" 0.00637264603540178 0.00520204355245577
"IH" 0.00241484906393718 0.00192428493086429
"II" 0.012734089430858 0.0086106289665834
"IJ" 0.00542855466945354 0.00461800114236643
"IK" 0.0116198415005929 0.00738518618966363
"IL" 0.000485735108150044 0.000375445341524108
"IM" 0.0281901671256527 0.0208599467432462
"IO" 0.00033268736381166 0.000291523611132955
"IP" 0.000339196773787464 0.000275115540971966
"IQ" 0.0186196001517913 0.0144996528378379
"IU" 0.0553613021441352 0.0334191004805223
"IX" 0.00506301163920206 0.00450288331250537
"IY" 3.98218245420643e-05 3.89705475237183e-05
"JA" 0.003823327364954 0.00331618117846572
"JB" 0.00049573143477814 0.000472845833111671
"JI" 0.000224457371983518 0.000216092318364634
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 2.19981898632341e-05 2.15869415012922e-05
"JW" 0 0
"JY" 0.00134367003034195 0.00125545646147192
"KA" 0.000691212623714877 0.000672422456003929
"KI" 5.28827233372688e-05 5.20694692618833e-05
"KM" 5.64341917531828e-05 5.40208422188965e-05
"KU" 0.000503342869120636 0.000492679713716346
"KV" 0.000277021622190759 0.000263962346096936
"KY" 0.000208060297990779 0.000200285718502064
"LE" 0.00608888227995876 0.00572312431055067
