"Q" "C"
"AA" 0.0004192716586922 0.000363717326811359
"AC" 0.000563766763065005 0.000496511536876257
"AD" 2.08490983794356e-05 2.05183255080452e-05
"AE" 0.000161463056367706 0.000139227108595626
"AF" 1.40612960015299e-06 1.38975685394928e-06
"AH" 6.77865599582738e-05 6.29121849226337e-05
"AI" 0.000540134851459127 0.000466371439716514
"AM" 7.51920547315517e-05 7.30758251150987e-05
"AQ" 6.3711062597408e-06 6.28725361629362e-06
"AY" 8.88834292987407e-05 8.43760938945314e-05
"AZ" 1.58446798846507e-05 1.54208851188451e-05
"BA" 5.06101265230126e-06 5.00827880714065e-06
"BD" 3.09348512033657e-06 3.0447798405303e-06
"BF" 1.66634552692206e-05 1.63828804417642e-05
"BI" 6.91416014850117e-05 6.72655974532179e-05
"BK" 1.34125743744062e-06 1.18929541679524e-06
"BM" 5.15580853389428e-06 5.13271227523815e-06
"BP" 4.955048175228e-05 4.41593747709937e-05
"BQ" 9.26723533912793e-06 9.03851817346876e-06
"BU" 0.000359502530428535 0.000349611923845232
"BV" 3.36248382645279e-07 3.30979206954681e-07
"CN" 5.36981416517233e-06 5.27245980608717e-06
"CO" 0.000999621397810012 0.000831100116289982
"CQ" 0.0017977791164955 0.00163627416390278
"CT" 5.39722666020697e-06 5.02562657298863e-06
"CU" 0.000217851628377915 0.000201873735033997
"DA" 0.00121006798648421 0.00102958260941963
"DB" 0.00195522505444141 0.00172724988542899
"DE" 0.000228344053742417 0.000221497750133459
"DI" 4.09727049118427e-05 4.07416556186742e-05
"DK" 7.218131947452e-06 7.19912920447316e-06
"DM" 0.000193349035841084 0.000188087114938607
"DQ" 0.000194841650741123 0.000192027256823352
"DR" 0.00046884954623125 0.000442007112438523
"DS" 2.09170499657252e-05 2.05845972077688e-05
"DT" 0.00106406816641283 0.000782318982142999
"DW" 0.00804625410981516 0.0049723290019248
"DX" 0.000208262178673477 0.000178991476725952
"DY" 0.0286460322460829 0.014651811157804
"EA" 0.0106871199676607 0.00814170761281005
"EC" 0.00447813082386421 0.00308370989681741
"EE" 0.00167842562855982 0.00129283792137992
"EI" 0.0849663857097587 0.0329855211159799
"EN" 0 0
"EO" 0 0
"EP" 0.00021444657067781 0.000198477309806377
"EQ" 3.55828907149825e-06 3.54031193010347e-06
"ER" 2.95282815139667e-05 2.72057361406361e-05
"ES" 0.000170813592081819 0.000152013728054907
"ET" 6.58145860353925e-05 5.97733638658431e-05
"EU" 2.10051458788286e-06 2.08892679757239e-06
"EV" 0.000597658022095027 0.000471289315618283
