"Q" "C"
"AA" 0.00477152048814922 0.00410110026246559
"AC" 0.0013392761545938 0.00118101034601166
"AD" 3.63049290615464e-05 3.57927501132338e-05
"AE" 0.00107009353603969 0.000917493560599034
"AF" 0 0
"AH" 0.000137590691750422 0.000128322952994787
"AI" 0.00594369193524698 0.00495044198040387
"AM" 0.000558974409273853 0.000541424368891803
"AQ" 1.75228322504223e-06 1.73274218134256e-06
"AY" 4.50828065760322e-05 4.32317932020883e-05
"AZ" 5.54889687930039e-06 5.42527680658184e-06
"BA" 1.3872242198251e-05 1.37439192391227e-05
"BD" 2.56102932890787e-06 2.50912032639857e-06
"BF" 1.41831102222492e-05 1.39438081765926e-05
"BI" 2.45825512167409e-05 2.39342893237722e-05
"BK" 1.57306822641754e-05 1.31128260088087e-05
"BM" 9.51239465022925e-06 9.45185143279019e-06
"BP" 1.5097507018966e-05 1.34994179604028e-05
"BQ" 4.1616726594753e-06 4.06298094921882e-06
"BU" 0.000116935807983902 0.00011506946579868
"BV" 3.78333878134118e-07 3.72982294653883e-07
"CN" 3.15278231778432e-06 3.10173165441649e-06
"CO" 0.00029058951846687 0.000255929627788296
"CQ" 0.00167314906211743 0.0015561209601189
"CT" 7.39689481416463e-06 6.94695924369713e-06
"CU" 0.000235248209641483 0.000221173613951298
"DA" 0.000848052413406551 0.000753499813521198
"DB" 0.00174372280638171 0.001572230783263
"DE" 0.000248993844535347 0.000242442579401791
"DI" 2.98407343286821e-05 2.94424548817508e-05
"DK" 3.64994105838426e-05 3.63287274945663e-05
"DM" 0.000147408013115639 0.000144269696380358
"DQ" 3.31304947856535e-05 3.27228362790174e-05
"DR" 0.000281470601380727 0.000268851202894071
"DS" 1.62694038376553e-05 1.60410487955821e-05
"DT" 0.00199886450743413 0.00142369948177197
"DW" 0.00339114864942355 0.00229763478126817
"DX" 9.42086084212024e-05 8.42992558371413e-05
"DY" 0.00962113344144769 0.00611907244228052
"EA" 0.00382679638470335 0.00318772713356713
"EC" 0.00122050627605935 0.000952541052995347
"EE" 0.00195467678952907 0.00162424939268243
"EI" 0.028354632408064 0.0153344039513402
"EN" 0 0
"EO" 1.33173525103209e-05 1.3303453632591e-05
"EP" 0.000854066036684378 0.000788395933764345
"EQ" 1.01177288552438e-05 1.00653431960269e-05
"ER" 9.14061950757065e-05 8.4079637648968e-05
"ES" 7.82026071966876e-05 7.14794237789493e-05
"ET" 0.000179689057227188 0.000164994730400984
"EU" 0 0
"EV" 0.00488987937373016 0.00379361442397329
"EW" 0.00115545371695373 0.00108372817687038
"EX" 0.000362969344463616 0.000337463597595906
"FA" 0.0333848311730808 0.0231742546328504
"FE" 0 0
"FF" 1.5931259272583e-05 1.57837072473635e-05
"FI" 0.00274033463507243 0.00189512818878101
"FS" 0 0
"FU" 6.93612109912549e-07 6.89085280824162e-07
"FY" 0.00114574907877977 0.00112688944052491
"GA" 8.78957781989933e-05 8.67275181670898e-05
"GC" 0.000465257855149579 0.000450128133817576
"GM" 0 0
"GU" 4.4211304311671e-05 4.31759078664088e-05
"GY" 5.08107283695434e-05 5.03643751539788e-05
"HA" 0 0
"HB" 2.34934387480744e-05 2.21307412021473e-05
"HE" 0 0
"HF" 8.32334531895059e-07 8.19511182497278e-07
"HI" 0 0
"HL" 4.61464383329574e-06 4.55301387021017e-06
"HQ" 0.00503134363877595 0.00329295570773801
"HT" 1.29474260517009e-05 1.26219214270903e-05
"HY" 3.41422301100099e-05 3.31019515647745e-05
"IA" 0.00024026789011408 0.00023396031040321
"ID" 0.0037661984609769 0.00259216475630248
"IF" 0.0167282275659471 0.00860691932398094
"IG" 0.00474070326827716 0.00388140533706445
"IH" 0.00287762074415372 0.0022779744637642
"II" 0.0132918478807208 0.00865215401679764
"IJ" 0.0043823259967189 0.003727162803814
"IK" 0.0304685414927543 0.0189893710862187
"IL" 0.000114585998712547 9.0566994917678e-05
"IM" 0.0312120788477514 0.0228878166238294
"IO" 0.000118387937610134 0.000105542928830139
"IP" 0.000138382384835613 0.000113040718924684
"IQ" 0.00737218621653939 0.00609701193819845
"IU" 0.0284567818058209 0.0178839914799819
"IX" 0.000773927377764404 0.00069799264910742
"IY" 1.47970583448011e-05 1.45114460674648e-05
"JA" 0.00298662899343824 0.00260229289307137
"JB" 3.1728351494632e-05 3.04177404037788e-05
"JI" 2.63182257289329e-05 2.54274823637694e-05
"JM" 0 0
"JO" 6.93612109912549e-07 6.91111805034869e-07
"JS" 1.62406737930743e-06 1.61753441291843e-06
"JU" 3.10395037132788e-05 3.05407512888152e-05
"JW" 0 0
"JY" 0.00116361410981489 0.00108373892204895
"KA" 0.00148133329606909 0.0014409721937771
"KI" 2.57435185521482e-05 2.54453913511791e-05
"KM" 0.000122343533521652 0.000117786248019668
"KU" 1.74792837390823e-06 1.71725208484039e-06
"KV" 8.32334531895059e-06 8.05525270250065e-06
"KY" 2.21955875172016e-05 2.16857047476973e-05
