"Q" "C"
"AA" 0.00195030991295153 0.00177348930908919
"AC" 0.00085965279184403 0.000798861685418264
"AD" 0.000647784973679266 0.000619751363451746
"AE" 0.00309624453999245 0.0024019310483656
"AF" 2.71365376751794e-05 2.63952672755446e-05
"AH" 0.0017624192268171 0.0014874340466053
"AI" 0.000107050043410903 9.83256518839564e-05
"AM" 0.00208285098835472 0.00192215253839323
"AQ" 0.000436188113094941 0.000421167633411902
"AY" 4.16390996484345e-05 3.77453240455199e-05
"AZ" 7.14172578035728e-06 6.69872117609178e-06
"BA" 1.97694577085678e-05 1.9306787918444e-05
"BD" 5.53735438130737e-05 5.29168838508068e-05
"BF" 7.07734922092419e-05 6.86411002818653e-05
"BI" 0.000176362269737372 0.000171323997042328
"BK" 0 0
"BM" 1.30106687483737e-05 1.28947459811619e-05
"BP" 0.000185838190281588 0.000167236591040829
"BQ" 0.000176590568677343 0.000170261313182404
"BU" 6.02517874180638e-05 5.97062230945465e-05
"BV" 3.39065912836405e-05 3.27005917689363e-05
"CN" 9.76184989134431e-05 9.35565672027091e-05
"CO" 0.00333163004163376 0.00257616342519496
"CQ" 0.0170817375579583 0.0141018033736373
"CT" 5.74642718407115e-05 5.01554155085533e-05
"CU" 0.00080472029371284 0.000684806367057865
"DA" 0.00405576855261302 0.00318338631395716
"DB" 0.0182623873313721 0.0144227396059022
"DE" 0.0034503266390295 0.00316499928553524
"DI" 0.00129601160480519 0.00128082826598598
"DK" 2.7522568506175e-05 2.73959688099832e-05
"DM" 0.00109819230535369 0.00103139665513696
"DQ" 0.000374497414498453 0.000362533738287045
"DR" 0.00153220328839298 0.00133726011260627
"DS" 0.000209104452401955 0.000201279476901641
"DT" 0.00201429597220865 0.00158278090200256
"DW" 0.0367301737512077 0.0192519306840151
"DX" 0.0025832501308893 0.00196199890798626
"DY" 0.0542842453905849 0.0282282883052012
"EA" 0.013371717352988 0.0102000929501323
"EC" 0.00787483910083882 0.00525015137739219
"EE" 0.0301225775588501 0.0202589392516525
"EI" 0.0568681531408228 0.0284208883900411
"EN" 0 0
"EO" 0 0
"EP" 0.00325163715302745 0.00307235143859492
"EQ" 2.81230609099462e-05 2.77446735627909e-05
"ER" 0.000268406891706297 0.000253212022578076
"ES" 0.000137400862743934 0.000129951233688754
"ET" 0.000842597399024396 0.000782127940407232
"EU" 6.84665321667664e-05 6.77724425640604e-05
"EV" 0.00184046685689968 0.00145160624277295
"EW" 0.00437924404396999 0.00419974647457375
"EX" 0.000832568605947104 0.000790261481640482
"FA" 0.00149066072172579 0.00127033627022502
"FE" 0 0
"FF" 6.46293400977242e-05 6.31911057583729e-05
"FI" 0.00524772431012618 0.00330253209682935
"FS" 0 0
"FU" 2.23040035686406e-05 2.20284816569624e-05
"FY" 0.000331387528572549 0.000323394864596138
"GA" 0.00288853717721004 0.00277579883969965
"GC" 0.000191776285018856 0.000186800788294467
"GM" 0 0
"GU" 0.000429848673065535 0.000407406864850695
"GY" 0.000857948213720708 0.000849189372174525
"HA" 0.000127132820341251 0.00012599669853648
"HB" 0.000292963309815359 0.000270944101426232
"HE" 0 0
"HF" 6.13360098137616e-05 5.97302260698872e-05
"HI" 0 0
"HL" 9.94243851386709e-05 9.63677882011656e-05
"HQ" 0.00406295103861326 0.00269133795715752
"HT" 6.75003187656425e-05 6.25528771882359e-05
"HY" 0.000125468705263962 0.000114255918538148
"IA" 0.000341941817638733 0.000316512510415902
"ID" 0.00530654263358036 0.00361405325134406
"IF" 0.00421070680692525 0.00286176270742811
"IG" 0.00784962223789637 0.00618612547911129
"IH" 0.00783571309530966 0.00583120395977013
"II" 0.0434156246893233 0.0251293841159108
"IJ" 0.0024432106204676 0.00224264149940909
"IK" 0.00630428521917079 0.00493773439371928
"IL" 3.39408749957574e-06 3.08178319522361e-06
"IM" 0.00290113785732201 0.00233515680030366
"IO" 0 0
"IP" 0.000158021662774963 0.000124819234582463
"IQ" 0.00549035661552845 0.00490225298487004
"IU" 0.00474947176131805 0.00384616184064505
"IX" 0.000410223501384553 0.000392092239612838
"IY" 0.00050128665998258 0.000474113166525774
"JA" 0.0130991559705363 0.0108314357372536
"JB" 0.000179043283677143 0.000169593227188686
"JI" 0.000875406307584243 0.000847741927295327
"JM" 0 0
"JO" 7.38000118080019e-06 7.31722227132793e-06
"JS" 0 0
"JU" 9.92237079381169e-05 9.54712994724683e-05
"JW" 0 0
"JY" 0.00598066539554122 0.00504223806316862
"KA" 0.0104160729513997 0.00975309406289244
"KI" 0.000164145940170938 0.000158664738102163
"KM" 0.000546793135024369 0.000485500339529431
"KU" 9.79257878678562e-05 9.57531926142244e-05
"KV" 3.51324500656365e-05 3.38924191495353e-05
"KY" 1.51791135397693e-05 1.49097985847987e-05
"LE" 0.000717080420432133 0.000689151198707513
"LI" 8.33509564799658e-05 7.75676131168644e-05
"LJ" 7.00574471066274e-05 6.81211453540647e-05
"LQ" 5.00410336475911e-06 4.8758005969446e-06
"MA" 0.000303528372213369 0.000285137901730266
"MC" 5.3923575509972e-05 4.44352845139226e-05
"ML" 0 0
"MM" 6.50533437418683e-06 6.47943993190129e-06
"MQ" 0 0
"MR" 4.81394743689826e-05 4.76846945347867e-05
"MU" 0.00024425480201774 0.000226786158292103
"MW" 1.20098480754218e-05 1.17896865030134e-05
"MY" 0 0
"NE" 0.00139130172778751 0.00132879125515468
"NI" 0.000531659673899022 0.000499907922047151
"NM" 0 0
"NN" 0.00103219750829863 0.000974886169159712
"NQ" 0.000181826041161579 0.000179996571300813
"NS" 0.00339693092866643 0.00175892482034001
"NU" 0.000414879389881936 0.000406461743908216
"OA" 0.00274630385882484 0.00196246014553008
"OE" 1.62633359354671e-05 1.61334842138873e-05
"OI" 6.91620642156283e-05 6.06933540756084e-05
"OM" 1.73557269148473e-05 1.72603469958771e-05
"OO" 0 0
"OP" 0.000355590009384823 0.000327929422633342
"OR" 0 0
"OT" 0 0
"OU" 4.89505290442059e-05 4.45058244094643e-05
"OX" 0 0
"OY" 0 0
"OZ" 0 0
