"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0.000387146728610143 0.00037578640437523
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 9.16926462497708e-05 8.88854001105686e-05
"BF" 0.0136509933325906 0.0114655222594217
"BI" 0.041392845509724 0.034986925087853
"BK" 0.00553343288534926 0.00486194852825025
"BM" 0.00118783655369021 0.00100089159645139
"BP" 0.0745424629570971 0.0558960256897502
"BQ" 0.0614657023193609 0.0357386178125773
"BU" 0 0
"BV" 0.000561362756484708 0.000511799694583134
"CN" 0.0010499050568737 0.000966468000794877
"CO" 0 0
"CQ" 0.00152439024390244 0.00146807553269215
"CT" 0 0
"CU" 0.0018244289585753 0.00170632139186709
"DA" 0 0
"DB" 0 0
"DE" 0.000807728856509344 0.000790792278742266
"DI" 0 0
"DK" 0 0
"DM" 0.000435540069686411 0.000426990993017208
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0.00083833276571219 0.000814477490853591
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.00204911232785797 0.00137603033508805
"EO" 0.00550452257769331 0.00511639209991327
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0.000290360046457607 0.000280685532641677
"EU" 0.00275842044134727 0.0024911739253023
"EV" 0 0
"EW" 0 0
"EX" 0.000290360046457607 0.000283119767835729
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0.00248880039820806 0.0024080159765781
"GM" 0 0
"GU" 0.001040572606683 0.00100491203726174
"GY" 0.00262869375392433 0.00245695777738944
"HA" 0.00203252032520325 0.00189696712859292
"HB" 0 0
"HE" 0 0
"HF" 0.00261324041811847 0.0023568773154815
"HI" 0.000217770034843206 0.000203192973880405
"HL" 0.00121951219512195 0.0011580716945351
"HQ" 0 0
"HT" 0.00239703498001683 0.00228269546612755
"HY" 0.000638792102206736 0.000614978801279225
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00208782700071899 0.00200215414326749
"JB" 6.96864111498258e-05 6.34696094031657e-05
"JI" 0 0
"JM" 0 0
"JO" 0.000435540069686411 0.000403331668231124
"JS" 0.00156794425087108 0.00133337662687056
"JU" 0 0
"JW" 0.00319396051103368 0.00278095238380513
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.00102593883081688 0.00098268595576857
"KU" 0.000650406504065041 0.000596565848202885
"KV" 0.00196166691673752 0.00184951719430568
"KY" 0.000290360046457607 0.000278797840072541
"LE" 0.00398458355087733 0.0037740631688917
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.180271944944521 0.108049143144927
"MQ" 0.0134742145195107 0.0113747113656128
"MR" 0.00213093367428272 0.0016449310489133
"MU" 0 0
"MW" 0.000871080139372822 0.000784481047555223
"MY" 0 0
"NE" 0.000871080139372822 0.000824786486385389
"NI" 0 0
"NM" 0 0
"NN" 0.000497760079641613 0.000485675896021406
"NQ" 0 0
"NS" 0 0
"NU" 0.000871080139372823 0.000827884962179813
"OA" 0 0
"OE" 0.000871080139372822 0.000804789675571948
"OI" 0 0
"OM" 0 0
"OO" 0 0
"OP" 0.000871080139372823 0.000840959751971147
"OR" 0.00365853658536585 0.00281157967902775
"OT" 0.00188734030197445 0.00168954665702497
"OU" 0 0
"OX" 0.00917537746806039 0.00580754267670715
"OY" 0.0182885977746605 0.0163322389589586
"OZ" 0.00223992035838726 0.00149854954810286
"PA" 0.104606480434007 0.0693936295038721
"PC" 0 0
"PD" 0 0
"PE" 0 0
"PF" 0 0
"PG" 0.0518350503542141 0.0367160204517685
"PH" 0.00319396051103368 0.00261311740985945
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.00348432055749129 0.00332332604074165
"PZ" 0 0
"QA" 0.000580720092915215 0.000554553750637346
"QC" 0.00388114595431669 0.00304240373351746
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.201412468904783 0.104358791646417
"QQ" 0.00319396051103368 0.00311015771092107
"QU" 0.000387146728610143 0.000378976621415834
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0.0342598458452117 0.0301872610510494
"RQ" 0 0
"RT" 0.000580720092915215 0.00054940814985442
"RU" 0.00925465036963294 0.008602521501032
"RX" 0.000387146728610143 0.000361993451035228
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0.000290360046457607 0.000283735579411192
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0.000868857287342525 0.000832587403490471
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0.034866082427058 0.02993934001472
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.00139372822299652 0.00109654152293626
"UU" 0.00314879339269583 0.00288287966607538
"UY" 0 0
"VE" 0 0
"VI" 0.000967866821525358 0.000876660265912235
"VJ" 0.00140340689121177 0.00124836920832806
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.00409384621057095 0.00370593102729304
"VY" 0.000822686798296554 0.000800662841819634
"WC" 0 0
"WE" 0 0
"WF" 0.000290360046457607 0.000284301252925202
"WH" 0 0
"WM" 0 0
"WQ" 0 0
"WU" 0.00282064045130247 0.00239915028190585
"WV" 0 0
"WY" 0 0
"XA" 0.0070681931309109 0.00606532847704223
"XE" 0 0
"XQ" 0.000382052692707378 0.000368508376460873
"XW" 0.000871080139372822 0.000847904640549647
"XY" 0 0
"YA" 0 0
"YE" 0.000290360046457607 0.0002872579556186
"YG" 0.0114305071622145 0.00973019757168347
"YI" 0.0257839721254355 0.0212480007391193
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00210349722544845 0.00187189378217209
"ZM" 0.000947490677914298 0.000903925893927635
"ZQ" 0 0
"ZR" 0.000387146728610143 0.000373092209509568
