"Q" "C"
"AA" 0.000270075745243811 0.000254652758846141
"AC" 0.000439118175985772 0.000420241602920575
"AD" 0.00027509818023578 0.000270913177194971
"AE" 0.000408445729198912 0.000355447481620436
"AF" 1.45342077112692e-06 1.42296204068272e-06
"AH" 0.000248418502289328 0.000228908005055372
"AI" 0.000145445346622015 0.000133972592511981
"AM" 0.000484104622001788 0.000456146491032126
"AQ" 2.05906258155538e-06 2.03653994037931e-06
"AY" 0.000132689314839528 0.000128162864473919
"AZ" 3.05218361936654e-05 2.98697312201284e-05
"BA" 6.44913216583761e-06 6.40659615521301e-06
"BD" 6.86165482866705e-05 6.37373659046361e-05
"BF" 0.000314856922884945 0.000286039897746896
"BI" 0.0010513348418714 0.000877350239303185
"BK" 3.50535836645418e-06 3.14079005493572e-06
"BM" 8.72052462676155e-06 8.62495056174285e-06
"BP" 0.000144109153555646 0.000129712156417813
"BQ" 3.57233610614676e-05 3.46100134584085e-05
"BU" 0.00402866355995638 0.00378536616278156
"BV" 5.81368308450769e-06 5.74591948759044e-06
"CN" 3.39872472871759e-05 3.34611667766461e-05
"CO" 0.000690348323977557 0.000626646356780969
"CQ" 0.00174274994138031 0.00164292179676225
"CT" 6.79865516094063e-06 6.52810867630011e-06
"CU" 0.000690774405481698 0.00064348376460063
"DA" 0.000560465040214 0.000515935272407911
"DB" 0.00366631638409009 0.00335155397121256
"DE" 0.000900608761353174 0.000863965321693838
"DI" 6.34135056099301e-05 6.31453763163386e-05
"DK" 3.14239594309166e-05 3.13453143453951e-05
"DM" 0.000239499427114205 0.000235207567009155
"DQ" 6.0593349915631e-05 6.00434963311775e-05
"DR" 0.000352227442259275 0.000338537459271469
"DS" 1.4298199473464e-05 1.41398676036769e-05
"DT" 0.00118626469095115 0.00103165798774023
"DW" 0.0032293426541539 0.00260675549537568
"DX" 0.000181671874599627 0.000167747694972591
"DY" 0.0130321650114282 0.0102930850987341
"EA" 0.00629860150222183 0.00552864562868941
"EC" 0.00646549837178477 0.00553412701853388
"EE" 0.000971317902355502 0.000868125638474899
"EI" 0.0438011699994169 0.0324934889932922
"EN" 0 0
"EO" 3.27019673503558e-06 3.26380881598701e-06
"EP" 0.000476016065129554 0.000461238058268155
"EQ" 0 0
"ER" 4.28922731580072e-05 4.16077804435542e-05
"ES" 1.09561500310768e-05 1.05994555139288e-05
"ET" 0.000109404637659117 0.000105458371186131
"EU" 1.86868384859176e-06 1.85986494265914e-06
"EV" 0.00128678896873149 0.00111872421250453
"EW" 0.000124751145068302 0.000121921107292507
"EX" 0.000177475493938312 0.000172402777906801
"FA" 0.00277774830491098 0.00243223841989342
"FE" 0 0
"FF" 2.78260395831822e-05 2.76459910422236e-05
"FI" 0.0165376770660992 0.0134828846047892
"FS" 0 0
"FU" 0 0
"FY" 0.000226495685022546 0.000224625872346468
"GA" 6.58676023614594e-05 6.51426318740316e-05
"GC" 0.240473475710721 0.106420397302458
