"Q" "C"
"AA" 0.00182644213434074 0.00168491198639362
"AC" 0.00184447729736165 0.00174106080492018
"AD" 0.00171452462998599 0.00156121089060897
"AE" 0.000790572872220746 0.000677125770353893
"AF" 7.87262801635193e-05 7.5780006809947e-05
"AH" 0.00282264641580088 0.0023100724792565
"AI" 0.0010965038900916 0.00103899255033553
"AM" 0.00316649242581317 0.00275251029963728
"AQ" 0.00061443341743895 0.000530126382085314
"AY" 0.0011153872621924 0.000766524164004159
"AZ" 0.000232910944540692 0.000185214183690393
"BA" 0.000654008210521019 0.00059186465420063
"BD" 0.00227081519598167 0.00199125175664816
"BF" 0.00359436698270433 0.00322388694443895
"BI" 0.00074386159312785 0.000708574035753774
"BK" 0 0
"BM" 3.46547175516448e-05 3.39457031558396e-05
"BP" 4.52945760530476e-05 4.27403194658537e-05
"BQ" 6.82975490471183e-05 6.26417798044482e-05
"BU" 0.00572650743916871 0.00557590290207969
"BV" 0.000610556282682753 0.000502350231126966
"CN" 0.00422172155839913 0.00339269211440468
"CO" 0.00927200141521083 0.00630149285373834
"CQ" 0.0878610011646142 0.0536004363096409
"CT" 0.000524943248963788 0.000355795388780401
"CU" 0.0268665582152415 0.0154049488376886
"DA" 0.00992715950564997 0.00618835111550786
"DB" 0.015949155518159 0.0104592923896433
"DE" 0.0166937425604024 0.0136567826209024
"DI" 0.000580628922005104 0.000572241216682157
"DK" 0.000390992606151388 0.000386890289488282
"DM" 0.0252630163954522 0.0198353496670387
"DQ" 0.00557329756545771 0.00494451519647693
"DR" 0.0414890989580059 0.0258787538549983
"DS" 0.00138241647985053 0.00118986893187636
"DT" 0.00152812591324077 0.00141756365804611
"DW" 0.00193285810688175 0.00154744772925824
"DX" 0.00292203006260106 0.00203709969457842
"DY" 0.0145775726930632 0.0122287203370636
"EA" 0.00383208177542284 0.00332606579150428
"EC" 0.00117278074525596 0.00106549253794974
"EE" 0.00244689227270572 0.00218517651910155
"EI" 0.0101574349195627 0.00871083670068641
"EN" 9.71361353222927e-07 9.38701446922721e-07
"EO" 4.0797176835363e-05 4.06775939837691e-05
"EP" 0.00401413053294384 0.00372588457615335
"EQ" 0.00100544912534617 0.000928869572444112
"ER" 0.000339919172232391 0.00030725766578177
"ES" 0.000944859286289238 0.000892001420629558
"ET" 0.00216396920939245 0.00197886919532897
"EU" 0.00020718420131686 0.000201112897609773
"EV" 0.00370832223101617 0.00289071124504333
"EW" 0.00152255055937972 0.0014497159060396
"EX" 0.0030828753228375 0.00288712116975795
"FA" 0.00194324801312723 0.00184031704096752
"FE" 8.07915900969652e-05 7.85406866805076e-05
"FF" 0.000271863741902191 0.000248900890027439
"FI" 0.00113781245604585 0.000991775751320324
"FS" 8.01373116408916e-06 7.02261712604341e-06
"FU" 0.000384927143293936 0.000366893844112086
"FY" 0.00131553899722343 0.0012502729095525
"GA" 0.00155325532487898 0.00137837129553889
"GC" 0.00918535596541712 0.0087107087463823
"GM" 0.000544908784545584 0.00048522782179065
"GU" 0.0239309108002401 0.0204583608897971
"GY" 0.00336646139057168 0.00329196160383676
"HA" 0.00109622989332731 0.00107061857182187
"HB" 0.000345668629529261 0.000314934492974396
"HE" 0.000106480757711835 9.97436822972075e-05
"HF" 0.000590213757715495 0.000539474934623124
"HI" 0.000526422739555231 0.000509928739779184
"HL" 0.000933039620982955 0.00081670625855434
"HQ" 0.00145859450671197 0.00130586726592421
"HT" 0.00821159300654426 0.00624239646967611
"HY" 0.00867378521854246 0.00605318232703345
"IA" 0.0127202123952651 0.0096155650412215
"ID" 0.00293698903676375 0.00263130667257478
"IF" 0.0019897304501661 0.00172628255620064
"IG" 0.0037673484468066 0.00298399734736895
"IH" 0.00206875080573853 0.00182803033682692
"II" 0.0035566415404546 0.003170186989664
"IJ" 0.00102839978761933 0.000978909503685635
"IK" 0.00134378925402768 0.00124942610505174
"IL" 7.00879246408896e-05 6.50697449713001e-05
"IM" 0.00271564568579142 0.00245274306468309
"IO" 0.000356629953754674 0.000334276586739121
"IP" 0.000105220088930272 9.66015934419509e-05
"IQ" 0.00816512246785258 0.00759791331145679
"IU" 0.00392856272147457 0.00364026313374021
"IX" 0.000615853252844876 0.000586119076291007
"IY" 0.00528688749674214 0.00453917151419935
"JA" 0.014240101263792 0.0122430290897087
