"Q" "C"
"AA" 0.0247125271724769 0.0219067697625908
"AC" 0.000902317210366746 0.000831480127689194
"AD" 0 0
"AE" 0 0
"AF" 1.36165577342048e-05 1.31533607094158e-05
"AH" 8.16993464052288e-05 7.88162819922489e-05
"AI" 0 0
"AM" 0 0
"AQ" 5.44662309368192e-05 5.23004875681014e-05
"AY" 0.000163265975286436 0.000130152784353019
"AZ" 0.00027596223674655 0.000258888933952038
"BA" 0.000347116131153188 0.000307377349871968
"BD" 2.22816399286988e-05 2.18537596309871e-05
"BF" 0.00873258096894211 0.00796005859283105
"BI" 0.000392193170432373 0.000379899617342772
"BK" 3.63108206245461e-05 3.41628414203592e-05
"BM" 0.00365331862592532 0.00345043191922946
"BP" 0.00562788623944619 0.00509971834071224
"BQ" 0.0124916177895672 0.0097143272798196
"BU" 0 0
"BV" 0.00247892278983458 0.0015651743463715
"CN" 0.00513526247827995 0.00343097140731082
"CO" 0.00028504317816121 0.00026138825392737
"CQ" 0.00145260371749653 0.00131203000760374
"CT" 0 0
"CU" 0.00258787339093306 0.00212209851529558
"DA" 0.000247493918855504 0.000225376877862497
"DB" 5.3665772620021e-05 4.99866748319751e-05
"DE" 0.000203340595497458 0.000198550786776385
"DI" 0.00252989789297529 0.00238692914092682
"DK" 9.5666681973336e-06 9.37830883935491e-06
"DM" 0.000460153619929205 0.000434611735360543
"DQ" 0.000829060669101949 0.000786554701103779
"DR" 0.000157366868947094 0.000142218898666452
"DS" 0.000234287317620651 0.00020981525432276
"DT" 0 0
"DW" 3.63108206245461e-05 3.49604446295303e-05
"DX" 0 0
"DY" 7.61931973760967e-05 7.3865814092318e-05
"EA" 1.48544266191325e-05 1.44429512208793e-05
"EC" 8.16993464052288e-05 8.04351340875896e-05
"EE" 0 0
"EI" 0.000163398692810458 0.000159372502608205
"EN" 0.000357521926149377 0.000311811962329076
"EO" 0.000256311674996796 0.000253465279250273
"EP" 0.0133870207330946 0.0116415921806005
"EQ" 0.00429789485749638 0.00343040749312361
"ER" 0.001763415182584 0.00140051603790825
"ES" 0.00111685855778771 0.00100999958843295
"ET" 0.00370848794864821 0.00328110506876024
"EU" 0.00523023426932735 0.00464737116991433
"EV" 0.0314229353629314 0.0263333132731502
"EW" 0.00328622086839695 0.00300127756051812
"EX" 0.00625654864447695 0.00561369923472131
"FA" 5.44662309368192e-05 5.3219856504819e-05
"FE" 0.000363108206245461 0.000324821075551106
"FF" 0.000154926167998063 0.000143398713391425
"FI" 0 0
"FS" 0.000556421776003164 0.000340794507360853
"FU" 0.000108932461873638 0.000100485797043637
"FY" 0.0005528023175082 0.00054047250142841
"GA" 0.000718954248366013 0.000693165057003227
"GC" 1.71998624011008e-05 1.70466404383947e-05
"GM" 0.00074975159254485 0.000617395576098662
"GU" 0.000268637190257583 0.000261523289919481
"GY" 0.00164720773952547 0.00158744331530663
"HA" 0.0417234417331942 0.0350580065637415
"HB" 0.000462843843755032 0.00041197350640222
"HE" 0.00179195684939233 0.0014508461140825
"HF" 0.000179371869106587 0.000154260198453514
"HI" 0.0145038981233116 0.0113268692316515
"HL" 0.000561648906715128 0.000493500714461859
"HQ" 0 0
"HT" 0.000170797212887819 0.000161846693251259
"HY" 0.000166678754415283 0.000147559664506843
"IA" 0.00109221380612601 0.000971833785795986
"ID" 0.000254175744371823 0.000247737559803904
"IF" 0.00174016740878923 0.00159144860606639
"IG" 0.000600692859941455 0.000524212357203618
"IH" 0 0
"II" 0.000335875090777052 0.000328160291892431
"IJ" 0.000767408086566145 0.000706535493373256
"IK" 9.59227026124373e-05 9.05763913352152e-05
"IL" 0 0
"IM" 4.08496732026143e-05 3.94893126644939e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.0153316401151207 0.0140374294798952
"IU" 0.000392156862745098 0.000375428135437762
"IX" 0.000118010167029775 0.000116375918527183
"IY" 1.99570922516589e-05 1.93478946318403e-05
"JA" 0.000145243282498184 0.000140661404941891
"JB" 0.000936696154677987 0.000887171013490946
"JI" 0.00127880994215469 0.00104337367418762
"JM" 0.000682902790745928 0.000564044515596145
"JO" 0.000491813884066864 0.000414863922356079
"JS" 0.00179321951597038 0.00157850593524816
"JU" 0 0
"JW" 0.00111139405257052 0.00103424304604971
"JY" 3.50140056022409e-05 3.38220673425358e-05
"KA" 0 0
"KI" 0.000151270584707117 0.000144875756015771
"KM" 0.00148183673397459 0.00135189950852544
"KU" 0.000841240579802671 0.000805138926003165
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.000803987809891083 0.000612330416851327
"LJ" 0.00136791035033974 0.00111267884488736
"LQ" 0.000789125127078699 0.000691154846193009
"MA" 5.97254196325404e-05 5.58999494762991e-05
"MC" 3.85009971066616e-05 3.28292167795801e-05
"ML" 1.92233756247597e-05 1.70862273412499e-05
"MM" 0.00743468386562389 0.00706475754294164
"MQ" 0.00292908827408586 0.00256969794298279
"MR" 0.000440722585330428 0.000405857119543101
"MU" 0 0
"MW" 0.000202303143479614 0.000172330579495957
"MY" 0.0125015670929498 0.00948506928165813
"NE" 0.00677037135772222 0.00593098087534579
"NI" 0.00019120513702557 0.00018107507302348
"NM" 0.000141706514255534 0.000131797259027666
"NN" 8.16993464052288e-05 7.7233306244848e-05
"NQ" 0.00842079514589316 0.00719906376004348
"NS" 7.26216412490922e-05 7.01934598118977e-05
"NU" 0.00269301476140395 0.00248373183434941
"OA" 1.48544266191325e-05 1.38810479371268e-05
"OE" 0.000192510282980294 0.000186224401904737
"OI" 0.000280259529485536 0.000238650118940517
"OM" 0.00104315800394232 0.000998244686090937
"OO" 0 0
"OP" 0 0
"OR" 0.0025695084183406 0.0023638369481035
"OT" 0.00305871564237147 0.00229079559788036
"OU" 0 0
"OX" 0.001291627762216 0.00117554067178625
"OY" 0.00177532456223344 0.00155903947911363
"OZ" 0.000827607396234847 0.00071853255123996
"PA" 0.00573121871504718 0.00531489106532226
"PC" 0.00170576062752965 0.00159590497157067
"PD" 0.00028322440087146 0.000273445281649192
"PE" 0.000261452802223691 0.000243439885216508
"PF" 0.000599128540305011 0.000581618714802023
"PG" 0 0
"PH" 0 0
"PI" 9.33706816059757e-05 9.13800960566384e-05
"PJ" 0 0
"PK" 0 0
"PM" 0.000167937545388526 0.000163327415412714
"PN" 0.00268010176915479 0.00254234398182374
"PO" 0.0036882486188927 0.00335023672681334
"PQ" 0.00324826226787011 0.00317258587088481
"PS" 0.000534938216320883 0.000499081760024902
"PT" 6.79338027808601e-05 5.67543272235474e-05
"PU" 0.000148874364560639 0.000142106192813656
"PW" 3.43997248022016e-05 3.10530455560614e-05
"PY" 0.0149382728854429 0.012898929107772
"PZ" 0 0
"QA" 0.000623523881568425 0.000536443207643925
"QC" 0.000784313725490196 0.000729781647050698
"QD" 0 0
"QE" 0 0
"QF" 6.5359477124183e-05 6.33139262851361e-05
"QG" 0 0
"QH" 1.48544266191325e-05 1.46062574662532e-05
"QJ" 8.16993464052288e-05 7.98816008349864e-05
"QK" 0.0020174669194277 0.00187026345925903
"QQ" 0 0
"QU" 8.16993464052288e-05 7.87525099854806e-05
"RA" 0 0
"RB" 0.000343997248022016 0.000310820904487504
"RE" 0 0
"RO" 0.00140134931938105 0.00114417152865176
"RP" 0.374315278719456 0.188014142206505
"RQ" 0 0
"RT" 0.00651653846314645 0.00494084391103246
"RU" 0.0475449857893738 0.0323807871624769
"RX" 0.00197242300311003 0.00136751974043654
"RY" 1.86741363211951e-05 1.79929113889367e-05
"RZ" 0.00142688252327206 0.00128820582237039
"SA" 0.000503360588499907 0.000458500768960119
"SD" 0.000165214233841685 0.000154702068017959
"SI" 0 0
"SR" 0 0
"SU" 6.25170463694109e-05 5.89707271480516e-05
"SY" 0.000109356874062756 0.000105494627912831
"TA" 1.48544266191325e-05 1.45451177190255e-05
"TC" 0.00375793261301673 0.00348501817890524
"TD" 0.00987133780339354 0.00869345242947882
"TE" 0 0
"TI" 0 0
"TM" 1.70389011219461e-05 1.51177216034597e-05
"TQ" 0.00180620539509343 0.00158493826534592
"TU" 0.000443049689446006 0.000368949180397835
"UA" 0.00136569926079288 0.00125461011430489
"UB" 0.000158859840232389 0.000153437840391109
"UE" 0.000341246007769812 0.000304956068444976
"UF" 0.000282268852960287 0.000272316508496739
"UH" 0 0
"UI" 0.00150041244010516 0.00145773495322622
"UK" 0.000261437908496732 0.000254989623959889
"UM" 0.00238864356933677 0.00183666051259549
"UN" 0 0
"UP" 8.16993464052288e-05 8.08338297618439e-05
"UQ" 0.000310817465637727 0.000293970447064569
"UR" 0.00049822268088522 0.000475085317241904
"UT" 0 0
"UU" 0.00194343256172335 0.00186641439167522
"UY" 8.02139037433155e-05 7.9014775892816e-05
"VE" 0.00486123643963468 0.00371530153268997
"VI" 0.0233809476019674 0.0142035773406836
"VJ" 0.0237969133095737 0.0154574827159166
"VM" 0.000268141444612033 0.000256041617738413
"VP" 0.000147058823529412 0.000130111818380756
"VS" 0.00209832455752197 0.00140647477651488
"VX" 0.0813733460784605 0.0486828119074231
"VY" 0.0014792967738992 0.00129987120140136
"WC" 0.00944962922932725 0.00735150476699047
"WE" 0.000675009781036933 0.000625426452359871
"WF" 3.63108206245461e-05 3.44694601354038e-05
"WH" 0.000570870601526827 0.000546687584121469
"WM" 0.000882812269100071 0.000716110350934501
"WQ" 0.0163165127479285 0.0134394039153981
"WU" 0.00504631264491057 0.00396596466369439
"WV" 0.000837432009379808 0.000710294177893993
"WY" 0.000421488460704147 0.000364643471579387
"XA" 0.0104192931675545 0.00933709813969858
"XE" 0 0
"XQ" 0 0
"XW" 0.0121732730024002 0.0106625971089745
"XY" 0.00114986115586109 0.00109661067553102
"YA" 0.00211061437021153 0.0019562308169443
"YE" 0.00077163514335115 0.000718276142988998
"YG" 0.00303248916313707 0.00286993386623782
"YI" 0.0011363187612397 0.00100066007476968
"YO" 0 0
"YP" 6.5359477124183e-05 6.09931225774764e-05
"YQ" 4.84144274993948e-05 4.44992675112242e-05
