"Q" "C"
"AA" 0.00117482725416168 0.00101603068304205
"AC" 0.000234643371041385 0.00022681342907247
"AD" 4.21203773673643e-05 4.02106649694942e-05
"AE" 0 0
"AF" 0 0
"AH" 2.53349493446338e-06 2.36599025724969e-06
"AI" 3.89954765247232e-06 3.82015163341145e-06
"AM" 3.50959288722508e-06 3.40906896507948e-06
"AQ" 3.32278787317132e-05 3.03561398929895e-05
"AY" 0.00192395679990351 0.00110036980919064
"AZ" 1.87755998082e-06 1.59441613582162e-06
"BA" 0.00292851082626745 0.00219731234201679
"BD" 3.19153107140522e-06 3.12422262926642e-06
"BF" 0.00020962613418132 0.000191227932675231
"BI" 1.52250281551072e-05 1.49906270093634e-05
"BK" 0 0
"BM" 2.7526218723334e-06 2.72281374312566e-06
"BP" 4.25405198451525e-06 4.05415261550043e-06
"BQ" 3.26473756951171e-06 2.86324482069289e-06
"BU" 3.59861385291977e-05 3.59085177309627e-05
"BV" 0.00206196813210968 0.000940400931725547
"CN" 0.0100650396071568 0.00440312406573725
"CO" 0.00313143405233046 0.00253387916442315
"CQ" 0.00634468860459348 0.00485548044590037
"CT" 9.04708374827594e-06 6.36244528010322e-06
"CU" 0.00672354679633936 0.0042514155451985
"DA" 0.00232675800053572 0.00181734292510533
"DB" 0.000479687845571782 0.000401583579394515
"DE" 2.23312543022726e-05 2.11245183937051e-05
"DI" 9.46575397327448e-05 9.35993247949122e-05
"DK" 1.67225862853707e-05 1.66582311791504e-05
"DM" 0.00736534149884414 0.00598334280767512
"DQ" 0.00517689138636569 0.00441634360180855
"DR" 0.00141945411701408 0.00107456581495138
"DS" 0.00140916729460688 0.00106862820540775
"DT" 1.11296518013644e-05 1.09925724512801e-05
"DW" 6.25288839470208e-06 5.81783919396014e-06
"DX" 0.000273435671574376 0.000215297971152842
"DY" 0.000271609019811237 0.00025814693505561
"EA" 0.000173592477744877 0.000164261221711604
"EC" 4.09647810069323e-05 4.00137000033917e-05
"EE" 5.38273879234627e-05 5.18691564557545e-05
"EI" 0.000121146440480148 0.000117656034002963
"EN" 0 0
"EO" 0 0
"EP" 0.00640151741528176 0.00578646445032905
"EQ" 0.00365598582573705 0.00273375491481024
"ER" 0.000376345175943945 0.000306884424494717
"ES" 0.000100658755147258 9.62711941995429e-05
"ET" 0.000489881051158861 0.000459079976465386
"EU" 6.15061154802935e-05 5.88807557862198e-05
"EV" 0.00348344073358824 0.00295789805442205
"EW" 0.000684422575784182 0.000658329888595065
"EX" 0.00141490042294958 0.00133359284000078
