"Q" "C"
"AA" 0.0103751958416211 0.00903914055534094
"AC" 9.97723530393893e-06 9.85302819449038e-06
"AD" 0.000622388579188536 0.00055973321569039
"AE" 1.55631512756255e-06 1.47586078491494e-06
"AF" 1.40869964503118e-06 1.37799870172498e-06
"AH" 5.69341252845036e-05 5.10066933643412e-05
"AI" 1.75152398401724e-06 1.73186327888318e-06
"AM" 5.13068688470966e-06 4.87951759308725e-06
"AQ" 0.000475555530098211 0.000394043104229865
"AY" 0.000704566263730937 0.000499528211349473
"AZ" 0.00334370887261419 0.00188909729445027
"BA" 0.00819646024208594 0.00689102323615837
"BD" 6.21818351414615e-06 6.03864146119664e-06
"BF" 0.000393858233751373 0.000351130868737474
"BI" 1.57002864229841e-06 1.54605683902686e-06
"BK" 7.23845647154201e-07 7.05780408052546e-07
"BM" 1.07687455384335e-05 1.05701438047256e-05
"BP" 4.1511793858411e-06 4.06925116100316e-06
"BQ" 8.31375468172674e-06 7.7389134437553e-06
"BU" 5.47553749442391e-06 5.47115416611488e-06
"BV" 0.000105829669696944 8.93255385097444e-05
"CN" 0.000566159889766059 0.000479673345754168
"CO" 0.00122492167975204 0.000966432151249325
"CQ" 0.0144215352367993 0.0103957046239892
"CT" 6.29188374747536e-05 4.33449805109313e-05
"CU" 0.00219782717641776 0.00144215111350395
"DA" 0.00119875517782488 0.000891220368474599
"DB" 0.00174310393332238 0.00132948517866371
"DE" 0.000147501803613463 0.000135272761821522
"DI" 4.9060255863191e-05 4.86650936816375e-05
"DK" 1.29414827824539e-06 1.28948118298253e-06
"DM" 0.0863126629146774 0.0537554125547107
"DQ" 0.00784678336333068 0.00628394344145175
"DR" 0.0111078734084809 0.00767214966557912
"DS" 0.00210920964002252 0.00159628757820454
"DT" 2.39527105058299e-06 2.37333852511575e-06
"DW" 0.000100964557890498 9.14515181408554e-05
"DX" 0.00045298867314202 0.000340740625137515
"DY" 0.000257278486386627 0.000243330898421938
"EA" 0.000431129578675397 0.000404818677476164
"EC" 1.55682195461162e-05 1.52146800299955e-05
"EE" 5.64562808974929e-05 5.40805899484815e-05
"EI" 3.83195395925857e-05 3.72655557936962e-05
"EN" 1.97623604468001e-06 1.89476979784585e-06
"EO" 0 0
"EP" 6.21385347723589e-05 6.03466238348332e-05
"EQ" 0.00278689234419814 0.00243245822944251
"ER" 6.51678543683186e-06 6.21547957279465e-06
"ES" 7.60311919301475e-06 7.50241492527814e-06
"ET" 7.88119691070176e-05 7.55226294927183e-05
"EU" 9.94566250058229e-05 9.44463051106452e-05
"EV" 0.000178259618215429 0.000156748260781085
"EW" 1.79899041155019e-05 1.77570116533418e-05
"EX" 2.42977995856953e-05 2.37752289901029e-05
"FA" 8.33743440664367e-06 8.23867184154213e-06
"FE" 8.72774663584651e-05 8.25798548243291e-05
"FF" 0.00120690561341409 0.000944451747694446
"FI" 2.09432921580269e-06 2.02038740132511e-06
"FS" 3.33164631649623e-06 3.02782969103448e-06
"FU" 0.00163234838401001 0.00144694229274026
"FY" 0.0012118200578866 0.0011231023883497
"GA" 0.00356362392943422 0.00298095622393222
"GC" 2.61794221685509e-06 2.6092297221812e-06
"GM" 0.000795148438040169 0.00067013074196344
"GU" 7.93597036408693e-05 7.59512162274758e-05
"GY" 0.000205989415635347 0.000202723360261843
"HA" 0.000204413544241021 0.00019716675450491
"HB" 0.000517533973989413 0.000437253581028542
"HE" 6.15983563365919e-05 5.57624805960449e-05
"HF" 0.000228501583061822 0.000190971337780192
"HI" 0.000163737790034356 0.000157046569702656
"HL" 0.00354798187319188 0.00237616142415239
"HQ" 8.58314146944282e-06 8.40046670664431e-06
"HT" 0.000115820182386191 0.000100947368965371
"HY" 0.00823436417635602 0.00603472189740428
"IA" 0.0419506201785625 0.0269794462609948
"ID" 6.77523112945337e-06 6.65714524016761e-06
"IF" 9.68541613391068e-06 9.43916876928211e-06
"IG" 0.000759327527250158 0.000603104150480753
"IH" 3.91768955979354e-05 3.79717779601094e-05
"II" 1.79523181007439e-05 1.75562930087633e-05
"IJ" 1.45654598594068e-05 1.42587795600555e-05
"IK" 5.81814505506936e-06 5.74389246168908e-06
"IL" 0 0
"IM" 1.34149324697379e-05 1.31426277220079e-05
"IO" 2.35249835325115e-07 2.33471419211642e-07
"IP" 8.12172050527185e-07 8.06279185568104e-07
"IQ" 7.64679482100346e-05 7.53676863801181e-05
"IU" 3.03927791908849e-05 3.00218684404224e-05
"IX" 8.83551274066e-07 8.81107890118364e-07
"IY" 2.37183648460788e-05 2.21464870128875e-05
"JA" 0.00103140102549257 0.000974377827098032
"JB" 2.96093441125019e-05 2.89139412453992e-05
"JI" 2.01296470167951e-05 1.7753932592069e-05
"JM" 1.92967266317386e-05 1.69501542631606e-05
"JO" 0.00212092656649329 0.00186213147104527
"JS" 4.64041832033463e-06 4.53028188096758e-06
"JU" 1.50776516578201e-05 1.42823415601198e-05
"JW" 0 0
"JY" 0.000393827843422196 0.000352282557547424
"KA" 2.34129598014043e-06 2.29588421824872e-06
"KI" 0.00526603139519278 0.00423414163331044
"KM" 0.0221910607149631 0.015760019719304
"KU" 1.6395757148162e-05 1.61002645542235e-05
"KV" 0 0
"KY" 5.12519014798231e-06 5.10852915452613e-06
"LE" 1.00048814931508e-05 9.92595204972475e-06
"LI" 0.00287326931365697 0.00187952281173674
"LJ" 0.00060006363850242 0.000463055971283809
"LQ" 0.00149376421779526 0.00105811402056084
"MA" 0.00904652023559877 0.00624703977488329
"MC" 0.000135268036102558 0.0001004652116317
"ML" 4.62055564181999e-05 3.04730322161496e-05
"MM" 5.69536981345387e-05 5.64647480853921e-05
"MQ" 6.80584850634377e-05 6.02215371102819e-05
"MR" 5.30309008749802e-06 5.18106650038905e-06
"MU" 6.70676636893573e-06 6.29128840658253e-06
"MW" 7.48918214546012e-06 7.14787001760593e-06
"MY" 0.00193381329470166 0.00172865586132609
"NE" 0.0275879285349384 0.0188954050215557
"NI" 0.00935400966369078 0.00722094982872569
"NM" 1.80613275890628e-05 1.74203150082876e-05
"NN" 0.00705068157907357 0.00549475710986094
"NQ" 0.000233245732105353 0.000223870895027146
"NS" 3.38007895244646e-05 3.26519273291337e-05
"NU" 7.28392556284447e-05 6.96802901129154e-05
"OA" 1.70404627834764e-05 1.63616448460802e-05
"OE" 2.89594807232387e-05 2.86142281399669e-05
"OI" 0.000556856528348756 0.000369053358288314
"OM" 0.00012192202469369 0.000118474938670595
"OO" 0.000236413047955038 0.000157099663551823
"OP" 0.00025535146552617 0.000208185166034273
"OR" 3.85823472728093e-06 3.79436289167514e-06
"OT" 3.5397995164911e-05 3.36724775103276e-05
"OU" 1.71090789327357e-07 1.67087190357093e-07
"OX" 0 0
"OY" 4.92924211635619e-06 4.85076979576258e-06
"OZ" 5.37377838121228e-06 4.84925513624972e-06
"PA" 1.0204212942521e-05 1.00791479071294e-05
"PC" 5.47415044576527e-05 5.42066220111085e-05
"PD" 0 0
"PE" 5.83310689123887e-06 5.76535550813104e-06
"PF" 2.96557368167418e-06 2.96159650670389e-06
"PG" 0 0
"PH" 3.45955640183993e-06 3.44902907737321e-06
"PI" 2.55074152468803e-05 2.42986650180761e-05
