"Q" "C"
"AA" 0.000260675662231936 0.000248899467324131
"AC" 4.78063731293913e-05 4.71848351721808e-05
"AD" 6.8131953601752e-05 6.50645125783714e-05
"AE" 1.0666788741655e-06 1.02328828677403e-06
"AF" 1.20441296911885e-06 1.19325755224015e-06
"AH" 4.26253356658215e-05 3.96749500743518e-05
"AI" 4.02961917723172e-05 3.98676325839213e-05
"AM" 7.97365993444425e-06 7.6695924873275e-06
"AQ" 0.00107537252251499 0.00096333354389026
"AY" 0.000885082201309995 0.000663248560709473
"AZ" 2.18909852088173e-05 1.89423069267946e-05
"BA" 0.00153960800077546 0.00136658111694883
"BD" 7.99568744694374e-06 7.81336736755693e-06
"BF" 0.000194220701488365 0.00018214712344979
"BI" 4.37968352406855e-07 4.33127893301845e-07
"BK" 0 0
"BM" 8.60294977942037e-07 8.54131372819319e-07
"BP" 8.09158685539943e-06 7.90272470035133e-06
"BQ" 4.10073939485704e-06 3.84928866781661e-06
"BU" 2.8113191493876e-05 2.80708934063235e-05
"BV" 0.000169566024506499 0.00013642607851751
"CN" 0.0010985022157622 0.000874360813960585
"CO" 0.00216913629870123 0.00180045377645367
"CQ" 0.0272729349245899 0.0212003457248856
"CT" 9.61492975983542e-05 7.35789678905702e-05
"CU" 0.00346642332193766 0.00253037343122828
"DA" 0.00289117550106139 0.00229363211692709
"DB" 0.00218007431057444 0.00180360169994378
"DE" 9.22489267194933e-05 8.60685965834933e-05
"DI" 8.17143196822341e-06 8.13097363784381e-06
"DK" 1.64727272065053e-06 1.64437015958784e-06
"DM" 0.00971317111240224 0.00826892052520423
"DQ" 0.00214505184409307 0.00193716513438575
"DR" 0.0126985011214375 0.00984822152023779
"DS" 0.000669731693205123 0.000568047458810471
"DT" 9.5059576703322e-06 9.42053321358489e-06
"DW" 8.09714138619283e-05 7.52783571915942e-05
"DX" 0.000453846282857241 0.000375428098989655
"DY" 0.000719408988131975 0.000685491529012561
"EA" 0.000390579745954966 0.00037174036172712
"EC" 2.27452437546106e-05 2.22670823185655e-05
"EE" 0.000136115237941754 0.000131330678427613
"EI" 0.000342837993608202 0.000333050370759601
"EN" 0 0
"EO" 8.7593670481371e-07 8.73663466854245e-07
"EP" 0.000989156514481426 0.000952410689704945
"EQ" 0.000235357743588021 0.000216566669795227
"ER" 0.000137183938590308 0.000127422409270567
"ES" 3.50199591023686e-05 3.44264920561728e-05
"ET" 6.79762815113042e-05 6.56433465860782e-05
"EU" 1.8744512014339e-05 1.83221803714028e-05
"EV" 0.000278640600166077 0.000252063868268011
"EW" 0.000182425664095105 0.000179620311441476
"EX" 0.000125528382286684 0.000122635611345581
"FA" 5.19874380359518e-05 5.15565196110943e-05
"FE" 2.4088259382377e-07 2.34749939094028e-07
"FF" 0.000560309012545902 0.000494302651880941
"FI" 1.58664507709619e-05 1.53279324268079e-05
"FS" 7.77040625237969e-07 6.70439942102187e-07
"FU" 1.85797007070233e-05 1.79719480860552e-05
"FY" 0.00102771496584722 0.000982231528282514
"GA" 0.0065319351197533 0.00584274860689834
"GC" 2.50830369590184e-05 2.50163079466651e-05
"GM" 7.48606224841887e-05 6.70153055673694e-05
"GU" 9.8540764874855e-05 9.51519966497962e-05
"GY" 6.93148594065858e-05 6.88300799318287e-05
"HA" 0.000118525154936604 0.000116328323295254
"HB" 0.000189253861127329 0.000175341968273304
"HE" 4.97701436476196e-05 4.62380950988858e-05
"HF" 2.09015561523769e-05 1.92807094183013e-05
"HI" 7.61695914520807e-05 7.35960132272501e-05
"HL" 0.00142590494493698 0.00123751067026169
"HQ" 1.83937089405463e-05 1.80103163803203e-05
"HT" 0.00012576534165704 0.000112722500155787
"HY" 0.00308945737112207 0.00249102487890263
"IA" 0.00927180624470389 0.00759038214715318
"ID" 1.33682707212119e-05 1.31530498160268e-05
"IF" 6.85764939592459e-05 6.68612324364134e-05
"IG" 0.00226536488177072 0.00188610673177687
"IH" 3.32100875651635e-05 3.25561343504746e-05
"II" 0.000291037186603595 0.000285188880130794
"IJ" 4.39559914591605e-05 4.3234147802434e-05
"IK" 2.58645227730778e-05 2.55441933420779e-05
"IL" 0 0
"IM" 0.000114971956485006 0.000113426868145921
"IO" 8.60294977942037e-07 8.55393306332283e-07
"IP" 5.04337402733125e-07 5.00817590356579e-07
"IQ" 0.000707609874537679 0.00069492425918873
"IU" 0.000266336902963782 0.000263375443799755
"IX" 1.68435328863136e-05 1.68082117701908e-05
"IY" 4.58304906480035e-05 4.3279031973275e-05
"JA" 0.000227420490251424 0.000220377288193211
"JB" 1.22224511046536e-05 1.20878242862619e-05
"JI" 0.000114697480434044 0.000105513485835476
"JM" 9.12277845523053e-07 8.72272295564397e-07
"JO" 4.21528878753554e-06 4.03068556882057e-06
"JS" 4.32905958752661e-06 4.25548534814456e-06
"JU" 3.50296588978009e-05 3.37027257425898e-05
"JW" 0 0
"JY" 0.000214519330734677 0.000199799258039668
"KA" 0 0
"KI" 0.00148758688319909 0.00132845795595748
"KM" 0.0176866003838611 0.014099446939202
"KU" 1.94481655753541e-05 1.93046728091683e-05
"KV" 1.52072344585714e-06 1.50621933388684e-06
"KY" 4.10754897547447e-06 4.09715588877391e-06
"LE" 3.68480899330123e-05 3.66379734462359e-05
"LI" 0.00117767626991426 0.000896765168022939
"LJ" 0.000408965342561075 0.000355971907623741
"LQ" 0.000433156351152867 0.000385324123596586
"MA" 0.00402541060876818 0.00339792679384083
"MC" 0.000145544770643455 0.000114302283561871
"ML" 1.08076067339083e-05 9.41949575269334e-06
"MM" 1.20441296911885e-06 1.19936985758109e-06
"MQ" 1.44730924663775e-05 1.34258156619729e-05
"MR" 1.84963420257538e-06 1.8239452963647e-06
"MU" 2.41710614310606e-06 2.30071749332066e-06
"MW" 4.29572916629384e-06 4.18230949273697e-06
"MY" 0.00052101822450735 0.000479449668170831
"NE" 0.00552801297623939 0.00487882765342605
"NI" 0.00980213044417039 0.0083901961915893
"NM" 1.98707863591999e-06 1.96121575001176e-06
"NN" 0.00270177079151574 0.00238833351248513
"NQ" 0.00011449703118481 0.000111467055350651
"NS" 6.15070841257511e-05 5.94980136094827e-05
"NU" 4.56555416349359e-05 4.47298667722336e-05
"OA" 0.000279032179641166 0.000268101059856943
"OE" 8.02941979412567e-07 7.98793070037621e-07
"OI" 7.53578376774999e-05 6.00407708879847e-05
"OM" 1.35209787747363e-05 1.33343929230248e-05
"OO" 2.65662714295567e-05 2.2728589312861e-05
"OP" 0.000153680693551955 0.000136664334102347
