"Q" "C"
"AA" 0.00187491190411253 0.00158174510689804
"AC" 0.00130317673658047 0.00103432281086277
"AD" 4.46201502133756e-05 4.39914283115603e-05
"AE" 0.00024545650195146 0.000228312536374661
"AF" 1.63212561408776e-06 1.61740054230796e-06
"AH" 0.000136112721454464 0.000129498725610228
"AI" 0.00190637328605078 0.00159315083104162
"AM" 0.000139484039640158 0.000136398780374352
"AQ" 1.42933692681927e-05 1.40483517990767e-05
"AY" 0.00021977944662223 0.000205739609264733
"AZ" 5.14550547660679e-06 4.97144628657159e-06
"BA" 0.000212626356951912 0.000208661163572666
"BD" 1.47636026871196e-05 1.45361790642704e-05
"BF" 3.10153499697791e-05 3.03956133639473e-05
"BI" 5.86501682804684e-05 5.73390552019794e-05
"BK" 1.38093831874154e-05 1.28835964544573e-05
"BM" 1.40127216129996e-06 1.39490075625077e-06
"BP" 5.49399268968471e-05 5.05650575362016e-05
"BQ" 6.26136751786842e-06 6.08149440866937e-06
"BU" 0.0122539552620518 0.0113488130455282
"BV" 2.74719944428864e-05 2.65786891651839e-05
"CN" 0.00010081487730554 9.73237081696337e-05
"CO" 0.00541679373721511 0.00467028852575093
"CQ" 0.00430886580941092 0.00396415999176061
"CT" 8.00869316379763e-06 7.46159504271125e-06
"CU" 0.000970008211618064 0.000889397687676876
"DA" 0.00406695959092482 0.00358551045970002
"DB" 0.00206647884427767 0.00188973178404778
"DE" 0.00034370090615931 0.000334217829367817
"DI" 4.26214777619352e-05 4.22954375772702e-05
"DK" 4.21130205917581e-06 4.19388374043976e-06
"DM" 0.00335682155928668 0.00321587325290824
"DQ" 0.000903726375787325 0.000882866074260767
"DR" 0.00196998575541589 0.00184329949022905
"DS" 0.000186909845563647 0.000181981621048356
"DT" 0.000595613626703582 0.00049525206105007
"DW" 0.000561490168318865 0.00045716426072598
"DX" 0.000213526059326965 0.000193506126938849
"DY" 0.0120976082627567 0.00904332579028363
"EA" 0.00629476233634275 0.00541391701002576
"EC" 0.00142580501579462 0.0012105906731497
"EE" 0.000770100292942101 0.000686055433105455
"EI" 0.0175084498245324 0.0117454955787739
"EN" 0 0
"EO" 0 0
"EP" 0.0115982752996562 0.00964285580111956
"EQ" 1.95865796270689e-05 1.93652743919436e-05
"ER" 0.000513396404692756 0.000420017146570996
"ES" 0.00170473454096429 0.00130109613563496
"ET" 0.00283421719708996 0.00229413017625935
"EU" 1.9743478725118e-05 1.95581857365949e-05
"EV" 0.00243011464088326 0.00183123459005883
"EW" 0.00408273406699728 0.00355610206567008
"EX" 0.00359723778869631 0.00301046372755138
"FA" 0.000465895667538749 0.000418220075826651
"FE" 5.46555394917864e-06 5.44264732335881e-06
"FF" 3.30853095752892e-05 3.2469160208471e-05
"FI" 0.00531599236977356 0.0040349394401608
"FS" 6.39228017108299e-07 6.21988668322791e-07
"FU" 5.24433319035933e-06 5.20897633254417e-06
"FY" 0.00122910833171002 0.00120931866128941
"GA" 0.00128048360895346 0.00125101349980131
"GC" 0.00184575924338959 0.00177902899773822
"GM" 1.12369383190458e-05 1.10416459919672e-05
"GU" 0.00025015781110746 0.000245217519070431
"GY" 5.48590412110015e-05 5.44736208692188e-05
"HA" 4.53645321111124e-05 4.49213508738152e-05
"HB" 0.000248991975594873 0.000228326328412385
"HE" 5.7581253922057e-07 5.69907264367548e-07
"HF" 1.57845123636836e-06 1.55252042638679e-06
"HI" 8.93109931586345e-06 8.87911002105397e-06
"HL" 7.82819210835127e-05 7.64161175500932e-05
"HQ" 0.00292449961098575 0.00220305304217163
"HT" 3.52885561927744e-05 3.41574788708648e-05
