"Q" "C"
"AA" 0.000456238123861524 0.000442415079683565
"AC" 2.1655437921078e-05 2.1357203126246e-05
"AD" 0.00238127378893567 0.00217497922677632
"AE" 4.81196092228463e-05 4.16742250119481e-05
"AF" 1.37012916593457e-05 1.2885380790795e-05
"AH" 0.00171281953580411 0.00135400165546343
"AI" 7.7774861220482e-05 7.64830035468649e-05
"AM" 0.000573820184244058 0.000460235032838608
"AQ" 1.50384985563041e-06 1.42223058301984e-06
"AY" 0.000682685005530905 0.000531988224400739
"AZ" 3.35143682111921e-05 2.99060748341087e-05
"BA" 0 0
"BD" 0.0313703401740872 0.0110835647396609
"BF" 0.000412959553946592 0.000346256359565879
"BI" 0.000193390299033377 0.000179201753149033
"BK" 8.36925137046491e-06 7.68764679673139e-06
"BM" 0 0
"BP" 3.4373710985838e-06 3.30091519249627e-06
"BQ" 2.6948989412897e-05 2.49178406033145e-05
"BU" 4.69082832645345e-05 4.66671159831517e-05
"BV" 0.000539734597691445 0.000452065387536099
"CN" 0.0311692652612168 0.023698461482423
"CO" 0.0010735279735357 0.000892993824823117
"CQ" 0.0131549490698947 0.0103337825311813
"CT" 0 0
"CU" 0.0544207701906965 0.0338102799459776
"DA" 0.000293703061835593 0.000238649969803048
"DB" 0.00132838914925622 0.00104491361909462
"DE" 0.00295171593253612 0.00233526739089972
"DI" 1.38677595289101e-05 1.37640758078629e-05
"DK" 0.000124459221668076 0.000123727862701069
"DM" 7.31438232150226e-05 6.75404464238799e-05
"DQ" 1.28935382314468e-05 1.24149991462205e-05
"DR" 0.000485739852506652 0.000394429281439611
"DS" 4.91925997219549e-05 4.66178170816949e-05
"DT" 2.40615976900866e-05 2.35832245902171e-05
"DW" 0.000154043810593735 0.000140375935110141
"DX" 2.03971517734752e-05 1.75739527690033e-05
"DY" 0.000131517703727664 0.00012526774018569
"EA" 0.000419544670081076 0.000393130176941039
"EC" 0.000326073418059318 0.000318804224946472
"EE" 4.12401201621606e-05 3.98919018524365e-05
"EI" 0.000166640886383427 0.000160886375153753
"EN" 0 0
"EO" 0 0
"EP" 0.000145463726370552 0.000141245100593912
"EQ" 1.88718413255581e-05 1.81875168872082e-05
"ER" 0 0
"ES" 1.11914407860868e-06 1.10491026630929e-06
"ET" 3.63676108877943e-06 3.51588412982642e-06
"EU" 1.21948165795556e-05 1.1997646619056e-05
"EV" 0.000762197491724254 0.000676857403592942
"EW" 2.62889138465333e-06 2.59190932724001e-06
"EX" 6.6903871812794e-05 6.55060413607423e-05
"FA" 0 0
"FE" 1.50384985563041e-06 1.4830812291455e-06
"FF" 5.20250760866737e-06 5.08338224484657e-06
"FI" 7.40356852002665e-06 7.15428451721813e-06
"FS" 0 0
"FU" 3.34770054818597e-06 3.23496704882696e-06
"FY" 6.66616718439925e-06 6.53639447213433e-06
"GA" 5.27942219153648e-05 5.03601300355115e-05
"GC" 0.00033710520629086 0.000323652801436343
"GM" 2.49990625351549e-06 2.36382901783834e-06
"GU" 0.227459616929077 0.0779693729479298
"GY" 0.000199057511759173 0.000194486354876102
"HA" 0.000104027368363751 0.00010283906562463
"HB" 1.48071370400533e-05 1.43548552858566e-05
"HE" 0 0
"HF" 7.12936227854418e-06 6.77843280335953e-06
"HI" 6.47532907058469e-05 6.36184427212106e-05
"HL" 5.20618170245157e-05 5.01629348590732e-05
"HQ" 7.73063379601176e-07 7.49207858668712e-07
"HT" 0.028839388352681 0.0133974146127427
"HY" 0.000285557739914929 0.000234388590586871
"IA" 0.00459231695485768 0.00399461534738168
"ID" 0.000111530048378511 0.00010498626374433
"IF" 3.10127259116672e-05 2.99189636944104e-05
"IG" 1.7335754823724e-05 1.59099284403684e-05
"IH" 0.000974920284866871 0.000817926589632349
"II" 4.40063439481485e-05 4.18177886008358e-05
"IJ" 0 0
"IK" 0 0
"IL" 4.18462568523246e-06 3.89975120713214e-06
"IM" 5.64839740737963e-05 5.04431047627583e-05
"IO" 3.2903147749665e-05 3.04772588340205e-05
"IP" 0 0
"IQ" 0.000172233418706617 0.000170289106299658
"IU" 4.0102662816811e-05 3.9450032625393e-05
"IX" 2.91655729576808e-06 2.81108725066374e-06
"IY" 0.00244250456186133 0.00169104760214981
"JA" 0.0330254393188617 0.0231318114420727
"JB" 0.000632924353824392 0.000483519328288349
"JI" 0 0
"JM" 0 0
"JO" 0 0
"JS" 1.39994750196868e-05 1.38455831054282e-05
"JU" 0.00304497231167906 0.00222581995731339
"JW" 0 0
"JY" 0.000227299086784106 0.00020774344644345
"KA" 0.0072494668721861 0.00459649627228791
"KI" 2.44091541011657e-05 2.33927891886568e-05
"KM" 0.0191090800569676 0.0136784963032554
"KU" 0.00143051827825258 0.00124874958460407
"KV" 0.00539298593624561 0.00392343360620229
"KY" 0.000260422971231189 0.00024466623322977
"LE" 0.00349149973210684 0.00303644090694603
"LI" 0.000304066957318921 0.000264709159441166
"LJ" 4.48843793688951e-06 4.25446406357843e-06
"LQ" 6.89938285020404e-06 6.67018974832235e-06
"MA" 3.64732095493279e-05 3.34199704908617e-05
"MC" 0.000660723233929055 0.000485119295105794
"ML" 0 0
"MM" 7.21232544572417e-05 7.11981292291154e-05
"MQ" 9.33072607752754e-05 8.33206534224248e-05
"MR" 4.81231953801733e-06 4.71278398699306e-06
"MU" 3.68297098452612e-05 3.15776542904639e-05
"MW" 2.2915807323892e-06 2.20772087608221e-06
"MY" 1.04738719356848e-05 1.00269927528665e-05
"NE" 0.000689360185912491 0.000640162673643034
"NI" 0.000915032533458043 0.000827020695529655
"NM" 0 0
"NN" 0.000802900125089883 0.000735552594899381
"NQ" 1.73416920288912e-06 1.71123039747015e-06
"NS" 1.24737933761592e-06 1.21054199118532e-06
"NU" 3.6717734950642e-05 3.58936302556123e-05
"OA" 3.44181692095001e-05 3.31413172226689e-05
