"Q" "C"
"AA" 0.000568910997881267 0.000521420031364862
"AC" 3.2936150047778e-05 3.25052043628084e-05
"AD" 5.22949914302869e-05 5.0274869848851e-05
"AE" 0 0
"AF" 5.17575840387892e-07 5.11817441943056e-07
"AH" 6.44327557035958e-06 6.08467282243128e-06
"AI" 1.30301920787778e-05 1.2878208930547e-05
"AM" 3.55833390266676e-07 3.47649539399755e-07
"AQ" 0.00020271200368599 0.000179509979389904
"AY" 0.00305810993428465 0.00225048785805871
"AZ" 1.02832551442467e-05 8.70266546363887e-06
"BA" 0.0083200573556672 0.00661299008339527
"BD" 1.17029648354373e-06 1.15512446370883e-06
"BF" 0.000268389234651244 0.000248021101331522
"BI" 1.62401475259598e-05 1.60606434191109e-05
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 2.48251756231801e-06 2.33728557544846e-06
"BU" 4.02764025501621e-06 4.0249715297345e-06
"BV" 3.29737143598037e-05 2.69950256596577e-05
"CN" 0.00018993365084688 0.000155114434073358
"CO" 0.000503672022684676 0.000438448930079842
"CQ" 0.00699023471654211 0.00585034386018455
"CT" 0.000173768973356938 0.000129260460079804
"CU" 0.00106769082634539 0.000829941420222156
"DA" 0.00706778873769351 0.00590120117289509
"DB" 0.00173295130502129 0.00149076480413606
"DE" 3.64148009924604e-05 3.48731407261899e-05
"DI" 2.07270592232834e-05 2.05936568155143e-05
"DK" 1.98292077571954e-05 1.97829021656394e-05
"DM" 0.00795334588760356 0.0064279943745504
"DQ" 0.00293635356110612 0.00242705426233761
"DR" 0.00658604327335673 0.00538979275157432
"DS" 0.0111591849721224 0.00748289659400302
"DT" 6.05073464046266e-06 5.99579525435664e-06
"DW" 4.19781910191738e-05 3.95425550034855e-05
"DX" 0.000137034762124822 0.000116614701158307
"DY" 0.000219534711839864 0.000211197947124379
"EA" 0.000153372247570055 0.000147392264422223
"EC" 1.72487052154913e-05 1.69570217791375e-05
"EE" 5.44297221766861e-05 5.2930525622485e-05
"EI" 0.000126594704935577 0.000123651878265164
"EN" 0 0
"EO" 0 0
"EP" 0.000135069032346258 0.000130668822274507
"EQ" 0.000790086928462374 0.000699992121036529
"ER" 5.48294868319398e-05 5.13777248345639e-05
"ES" 1.2935798235722e-05 1.27573498429891e-05
"ET" 6.57998200784205e-05 6.36075470074853e-05
"EU" 3.73209438538427e-05 3.60744198611894e-05
"EV" 0.000376821685451162 0.000339757799429504
"EW" 5.7081195511141e-05 5.62769721020688e-05
"EX" 9.19934335823005e-05 8.99617515610863e-05
"FA" 3.31517898541125e-06 3.28215856713082e-06
"FE" 8.98432242514591e-06 8.65062722335317e-06
"FF" 0.00915914599435875 0.00609815638560272
"FI" 9.27467151761748e-06 9.04700100506828e-06
"FS" 0 0
"FU" 6.91967780092682e-06 6.55151605294678e-06
"FY" 0.00268375382923135 0.00244990800195365
"GA" 0.00233258552211784 0.00199248601762702
"GC" 1.1186520703678e-05 1.11639703878871e-05
"GM" 0.000164349346217134 0.000143923944528044
"GU" 2.57122378778776e-05 2.51802880372844e-05
"GY" 0.000130816732090035 0.000129475241023401
"HA" 0.000124739164933941 0.000120823174334856
"HB" 0.000277664291447787 0.000239581724185034
"HE" 6.28847814690851e-05 5.5337068606537e-05
"HF" 3.55133919192355e-05 3.13936362220303e-05
"HI" 4.6016361129653e-05 4.41569959340312e-05
"HL" 0.00300879570543984 0.00228770451142832
"HQ" 8.47933464241508e-06 8.32577248762318e-06
"HT" 0.000153790282387078 0.000144182280631281
"HY" 0.00115165157901856 0.000984709607672784
"IA" 0.0172612105356827 0.013565675092298
"ID" 4.60984333266665e-06 4.54825445946222e-06
"IF" 3.84745370139266e-05 3.74219197159522e-05
"IG" 0.0176910694697825 0.0123835812596446
"IH" 1.62229331517928e-05 1.5935836258793e-05
"II" 3.15192445124768e-05 3.09672286066752e-05
"IJ" 0.000423515087197349 0.000410981639025969
"IK" 3.03968307347279e-05 2.98684180152173e-05
"IL" 0 0
"IM" 2.17167796239397e-05 2.14309380023431e-05
"IO" 3.46089422160448e-07 3.44387971970847e-07
"IP" 0 0
"IQ" 0.000156548046478185 0.000154026988607046
"IU" 0.000857569131391012 0.000842653381583778
"IX" 8.75897576041048e-07 8.74001465875371e-07
"IY" 1.03256380157384e-05 9.93821243208589e-06
"JA" 0.000157333724156816 0.000152630112059751
"JB" 9.61276007751929e-06 9.4899196650409e-06
"JI" 0.000513431904942382 0.000437027773515347
