"Q" "C"
"AA" 4.203799063671e-05 4.0944384549939e-05
"AC" 2.94414140589369e-05 2.90112006966206e-05
"AD" 0.000176195395295186 0.000170048546490309
"AE" 1.34226386223004e-05 1.20939856775017e-05
"AF" 2.76348442223831e-06 2.6758803188281e-06
"AH" 5.98772311785287e-05 5.22846524652397e-05
"AI" 4.61590454898779e-05 4.41332129365318e-05
"AM" 0.000302303108553647 0.000259120157993488
"AQ" 8.35186403165357e-06 8.13854721656537e-06
"AY" 0.00610764359608952 0.00544566118172196
"AZ" 0 0
"BA" 0 0
"BD" 0.00864994325561913 0.0065085127308238
"BF" 0.0119133430571573 0.00957363054783426
"BI" 0.00664973555270019 0.00496458851702222
"BK" 0 0
"BM" 7.51847556646792e-05 7.35545336918047e-05
"BP" 2.9333406318279e-05 2.667463611099e-05
"BQ" 0.000184495798025659 0.000174021443832947
"BU" 0.00276195510273184 0.00262352520333279
"BV" 3.33435163735804e-05 3.16232134622267e-05
"CN" 0.000311574545227368 0.000288157125423861
"CO" 0.000266285795200557 0.000241212683007394
"CQ" 0.00514849680345258 0.00457621578561639
"CT" 0 0
"CU" 0.0174700794585263 0.0143648348593722
"DA" 0.000308451737687791 0.000277803021280095
"DB" 0.000625472012631746 0.000549276970047357
"DE" 0.0348626299143871 0.0296585345485633
"DI" 5.21991501978347e-06 5.19986494379606e-06
"DK" 3.94697055134698e-05 3.93700051322489e-05
"DM" 0.000245475672626013 0.000235888698470251
"DQ" 0.000220108632782934 0.000216024152447219
"DR" 0.000762468160554781 0.000688095279760113
"DS" 1.02128772126199e-06 9.97104063270352e-07
"DT" 1.46490408053324e-05 1.42478965861797e-05
"DW" 4.28029442960549e-05 4.01779182043341e-05
"DX" 7.22782865158544e-05 6.68925500105711e-05
"DY" 0.000746529727203097 0.000718961517395315
"EA" 0.000704231366878875 0.000668882926232869
"EC" 0.000306622763521356 0.000300254451790521
"EE" 7.15934412113595e-05 6.99879101190262e-05
"EI" 0.000412610523891317 0.000398996281096411
"EN" 0 0
"EO" 0 0
"EP" 0.000139963680596042 0.000137074920801399
"EQ" 6.21915589499918e-06 6.1431939722664e-06
"ER" 3.39462860641403e-06 3.31313979143497e-06
"ES" 2.92688092180716e-06 2.8886826849482e-06
"ET" 3.12558477687726e-05 3.04968319321432e-05
"EU" 1.29124213647275e-05 1.28051757398983e-05
"EV" 0.000483463881457155 0.000435683466592048
"EW" 8.85800825376875e-05 8.7373084853226e-05
"EX" 6.03415422674205e-05 5.93119605783234e-05
"FA" 1.02239688921323e-05 9.72755386312096e-06
"FE" 1.56597450593504e-06 1.55748552142405e-06
"FF" 1.87916940712205e-05 1.85825696356699e-05
"FI" 0.000109059200199165 0.000105983031662107
"FS" 0 0
"FU" 9.20010022236838e-06 9.03042757292183e-06
"FY" 0.000293983141344276 0.000290655840267094
"GA" 4.46290700640471e-05 4.35905948398652e-05
"GC" 0.0469291305191631 0.0265387918696854
"GM" 1.20694238893995e-05 1.18235144967367e-05
"GU" 0.0241576074873189 0.017965964725024
"GY" 1.47080896486448e-05 1.45562115666899e-05
"HA" 2.41077654203158e-05 2.39744229820799e-05
"HB" 5.05924564299973e-06 4.96533790665358e-06
"HE" 0 0
"HF" 2.42726048419932e-06 2.37306646386469e-06
"HI" 0 0
"HL" 6.77762269197678e-06 6.66255144911642e-06
"HQ" 3.60425515595166e-05 3.49779250069469e-05
"HT" 0.0258330701470738 0.019792650723236
"HY" 0.00118497614707666 0.0010776660269237
"IA" 0.000274703828792225 0.000259045663450463
"ID" 0.00141761910183092 0.00131778937732974
"IF" 5.88749195354643e-05 5.60642396910292e-05
"IG" 0.000199029929396383 0.000190210190069169
"IH" 0.000210006008191357 0.000180093880395945
"II" 0.000145764277612651 0.000138813647802087
"IJ" 5.21991501978347e-06 5.14896752032503e-06
"IK" 4.61308004899161e-06 4.53812216608977e-06
"IL" 0 0
"IM" 0.000144305284500617 0.000118865525627136
"IO" 2.64844048789411e-05 1.95472436540506e-05
"IP" 0.00132427418187858 0.000795944804527009
"IQ" 0.000127910553026284 0.000125428058109066
"IU" 5.39859239256063e-05 5.25025346016215e-05
"IX" 0.000236517681594869 0.000143350011343152
"IY" 0.00549381175209683 0.00482795228632194
"JA" 0.00716243305363778 0.00551069600242381
"JB" 9.18094443574244e-05 7.90057188635071e-05
"JI" 0 0
"JM" 0 0
"JO" 1.95746813241881e-06 1.94237780105601e-06
"JS" 3.47994334652232e-06 3.45737366474439e-06
"JU" 0.00108053219055327 0.00093588201918547
"JW" 3.7583388142441e-05 3.6802640769768e-05
"JY" 0.000127145540565125 0.000120674510495307
"KA" 0.00297708451896392 0.00247507708470075
"KI" 5.25746320143089e-05 5.14909128003042e-05
"KM" 0.0064774143474579 0.00559494270659612
"KU" 0.000827987901301169 0.000748058684357848
"KV" 0.0388521773731241 0.0141676542259546
"KY" 0.0943875336441286 0.0373038200298643
