"Q" "C"
"AA" 6.64232219835694e-05 6.38498920687444e-05
"AC" 1.07679819352049e-05 1.06253991618371e-05
"AD" 0.00362586547017783 0.00305545489823778
"AE" 0.000308270975325099 0.000262984081652763
"AF" 4.63001817239952e-06 4.48059465086855e-06
"AH" 0.0010018175869198 0.000801882590647601
"AI" 6.83177467426852e-06 6.74446316806747e-06
"AM" 0.000776320766719043 0.000679212109744046
"AQ" 0.00103319707482343 0.000745158764593771
"AY" 0.000451135551853426 0.000317625675890164
"AZ" 2.16136255486324e-05 1.67576349002858e-05
"BA" 0.000109700575554279 9.95928098351469e-05
"BD" 0.00186797964434234 0.0016416966768026
"BF" 0.000216849380614048 0.000194093442521224
"BI" 5.77034456688377e-05 5.60503004396923e-05
"BK" 0 0
"BM" 6.37758109825997e-06 6.26145935772023e-06
"BP" 0 0
"BQ" 1.38152721194422e-05 1.28336263620164e-05
"BU" 3.04242276478691e-05 3.03645994612846e-05
"BV" 7.79837406941387e-05 6.85531844938767e-05
"CN" 0.00059318332360304 0.000507889021178183
"CO" 0.00731044574469846 0.00475886614398449
"CQ" 0.0761529127780057 0.042980499210633
"CT" 4.50063772281113e-06 3.0201497807824e-06
"CU" 0.0139586709837442 0.00705453480540852
"DA" 0.00395928744057217 0.002362335554393
"DB" 0.0115108919362043 0.00646328716238869
"DE" 0.00506219040275466 0.00414551417248488
"DI" 1.61345398111545e-05 1.60401174481515e-05
"DK" 2.0863077639161e-06 2.08014610824121e-06
"DM" 0.00367971127368344 0.00288248561302848
"DQ" 0.00119400510723881 0.00104302164239418
"DR" 0.0232601432617087 0.0135859063117158
"DS" 0.000568160585975443 0.000463567337343934
"DT" 1.99837571192631e-05 1.96687584223939e-05
"DW" 0.000653974743304753 0.000545429983219086
"DX" 0.00383876209505365 0.00256762475489689
"DY" 0.00150455219603624 0.00135955929111827
"EA" 0.00149455609850754 0.00133357656444833
"EC" 0.000153112236337289 0.000146230421719661
"EE" 0.000907434145235916 0.00083717857951343
"EI" 0.000296465151456728 0.000279862006496209
"EN" 0 0
"EO" 0 0
"EP" 7.45665245001779e-05 7.24930823349185e-05
