"Q" "C"
"AA" 0.00321723151513528 0.0027219966897444
"AC" 0.000889334192379004 0.000739507336474926
"AD" 3.21905101588752e-05 3.173449845033e-05
"AE" 0.00014082972646237 0.000126786214747141
"AF" 2.37376786765e-06 2.35112844990741e-06
"AH" 7.66542632280204e-05 7.2258550949463e-05
"AI" 0.00120788162463655 0.00101901569801859
"AM" 7.52700971621375e-05 7.34881584114855e-05
"AQ" 1.03665685102207e-05 1.02142457091898e-05
"AY" 9.32977113000923e-05 8.80829537412545e-05
"AZ" 2.67386195084958e-06 2.59453714885813e-06
"BA" 5.96570797721413e-05 5.88642236403016e-05
"BD" 3.10822794608569e-06 3.06445360729794e-06
"BF" 1.86720001008481e-05 1.83383529408293e-05
"BI" 5.1861355554287e-05 5.05846220157425e-05
"BK" 5.41059137599706e-06 4.91976479201268e-06
"BM" 2.62545527483984e-06 2.61428279309519e-06
"BP" 2.43576177281172e-05 2.20629774438959e-05
"BQ" 1.07390410107959e-05 1.04514492466333e-05
"BU" 0.00799723874664737 0.00754029584435041
"BV" 7.80657805464846e-06 7.63429939856051e-06
"CN" 3.91607171955713e-05 3.82024600218671e-05
"CO" 0.00220619971643336 0.00187429071858688
"CQ" 0.00373590588831836 0.00341210418323436
"CT" 1.51613413806798e-05 1.41345676817774e-05
"CU" 0.000646553402294617 0.000596193882190175
"DA" 0.00279787052518338 0.00241585444706617
"DB" 0.00225273384131267 0.00202562413188498
"DE" 0.000258494850259512 0.000251149053794583
"DI" 3.10524695879316e-05 3.08669101496526e-05
"DK" 2.04180553104245e-05 2.03453754937987e-05
"DM" 0.00137665632929546 0.00133081304161671
"DQ" 0.000430692142149175 0.000423148496722737
"DR" 0.00126207882892328 0.00118512956688065
"DS" 6.62157566228058e-05 6.49409551637085e-05
"DT" 0.00280069465679865 0.00216264753435533
"DW" 0.00115383099103564 0.000813768026849554
"DX" 0.000267602403459002 0.000234501991745286
"DY" 0.0357394437362329 0.0214740826472231
"EA" 0.007831736510323 0.00635828912111743
"EC" 0.00312834437191983 0.00233756781352169
"EE" 0.00120626681683543 0.000982016201824241
"EI" 0.0476933920604539 0.0240391224568025
"EN" 0 0
"EO" 1.02641583800695e-06 1.02538538182218e-06
"EP" 0.00163107101623423 0.00143621730093961
"EQ" 9.35352916645973e-06 9.28445949739878e-06
"ER" 0.000163164491078326 0.000142037125708451
"ES" 0.0010119789727113 0.000833197997544938
"ET" 0.000656626174613364 0.000563766162450211
"EU" 4.75691327447797e-06 4.72343665211706e-06
"EV" 0.00173562966423142 0.0013239296976442
"EW" 0.000855377613939063 0.000777889294594004
"EX" 0.000984349556338275 0.000870317889622207
"FA" 0.000304437275269929 0.000255280719468077
"FE" 6.7572376002124e-07 6.73819823862708e-07
"FF" 2.09158785058119e-05 2.06594397586812e-05
"FI" 0.0112389697587974 0.00709964899823589
"FS" 3.73242122911617e-07 3.6643419141005e-07
"FU" 5.97802630927123e-07 5.94608105600543e-07
"FY" 0.000726540544919816 0.000715702020949977
"GA" 0.000317927173863609 0.000312069735412188
"GC" 0.00142823886585271 0.00137949793929436
"GM" 3.6932597423348e-06 3.64301196575706e-06
"GU" 0.000121056233984483 0.000118823112545458
"GY" 0.000103626977112644 0.000102982469459457
"HA" 4.03066251519635e-05 3.99816512007774e-05
"HB" 0.000134440085005348 0.000123189812828132
"HE" 7.49140046369403e-07 7.44089123579157e-07
"HF" 3.99401164112684e-06 3.94337651626847e-06
"HI" 7.33343372531843e-06 7.30573822147826e-06
"HL" 2.63813121680767e-05 2.59339607647086e-05
"HQ" 0.00966028081236443 0.00605210749084248
"HT" 2.31344504773414e-05 2.24442000502793e-05
"HY" 8.78281266532499e-05 8.40695339630485e-05
"IA" 0.000325240665827116 0.000313658031783838
"ID" 0.00594208316314925 0.00421745232326658
"IF" 0.00482278481525785 0.00255127256855277
"IG" 0.00453949655443497 0.00372287029324453
"IH" 0.000971738401297288 0.000816316024470118
"II" 0.00497335098583032 0.00358000534028302
"IJ" 0.000829700709053778 0.000740006979299698
"IK" 0.00226016654862526 0.00162816742633975
"IL" 8.36222040395815e-06 7.20735022520143e-06
"IM" 0.000759142856870249 0.000645004226932104
"IO" 9.23783733893356e-05 8.60189310123175e-05
"IP" 5.76185286037435e-05 4.89255180615164e-05
"IQ" 0.0706917102719499 0.0476843260266526
"IU" 0.00621185643144351 0.00460115314641879
"IX" 0.000213404158176088 0.000202995905106656
"IY" 4.70223408267913e-05 4.60480011067191e-05
"JA" 0.00214367398580855 0.00193088530892012
"JB" 5.07550107558174e-05 4.95164867314032e-05
"JI" 3.02706603291026e-05 2.95573093775079e-05
"JM" 1.19422295314513e-08 1.1877244199044e-08
"JO" 1.62998344189479e-06 1.62367948432626e-06
"JS" 4.46345876105909e-06 4.44286987511032e-06
"JU" 2.27229557238128e-05 2.23850963587997e-05
"JW" 5.15220499077996e-07 5.14092914592379e-07
"JY" 0.000469995209923991 0.000441934933799854
"KA" 6.58836719493775e-05 6.47980017575947e-05
"KI" 0.000185870034524742 0.000182688097522006
"KM" 0.000366528727838179 0.000348425300476161
"KU" 1.39449153601521e-05 1.37949058838289e-05
"KV" 4.14888578532536e-05 4.05531889831804e-05
"KY" 4.46668869032513e-05 4.39347799059115e-05
"LE" 0.0010143184381296 0.000981693579168486
"LI" 1.83637134816454e-05 1.77154447519456e-05
"LJ" 3.73626197050584e-06 3.68357758946419e-06
"LQ" 4.76950630079984e-06 4.71252661400923e-06
"MA" 0.000201071442379332 0.000194998460921446
"MC" 0.000107357660133428 9.52107740355071e-05
"ML" 2.66121579558596e-07 2.62786260074845e-07
"MM" 8.77057999135057e-06 8.74790539235186e-06
"MQ" 2.97698985171733e-05 2.80232571082561e-05
"MR" 5.23657017174175e-07 5.20783633908784e-07
"MU" 2.55180059995729e-05 2.4994714191714e-05
"MW" 9.15628096761752e-07 9.07928159734016e-07
"MY" 1.14374570170005e-05 1.13546421698608e-05
"NE" 0.000222728407410109 0.000218168345643947
