"Q" "C"
"AA" 0.00194486251493744 0.00167303657336823
"AC" 0.00140885060663286 0.00123267375687836
"AD" 1.04945605937884e-05 1.03318626464691e-05
"AE" 9.35559080332457e-05 8.58536890871446e-05
"AF" 3.0315928500187e-06 2.98952872252901e-06
"AH" 3.60233241914984e-05 3.41682201950807e-05
"AI" 0.00864311376258383 0.00700751092871691
"AM" 9.22376330938437e-05 8.97399138117996e-05
"AQ" 1.62290909218219e-06 1.59784935371376e-06
"AY" 4.79973236820628e-05 4.51451377388849e-05
"AZ" 5.10191379610708e-06 4.94095140526504e-06
"BA" 3.06942677871211e-05 3.02667409014224e-05
"BD" 4.40802075016583e-05 4.29890173316009e-05
"BF" 6.42125814395335e-05 6.26747883135508e-05
"BI" 8.71996615337465e-06 8.49735109176411e-06
"BK" 0 0
"BM" 4.36623260492931e-07 4.33919477541163e-07
"BP" 4.50408080574207e-06 4.2049945309782e-06
"BQ" 3.21421892532103e-06 3.11306431980762e-06
"BU" 0.0200329026474418 0.0175369204887882
"BV" 9.08697906207641e-06 8.82726181087339e-06
"CN" 0.000106067633161363 0.000102647593396126
"CO" 0.00328522839055262 0.00289182625457097
"CQ" 0.00651383604691085 0.00596669287026964
"CT" 1.36111067352647e-05 1.27209940743029e-05
"CU" 0.00414869574508263 0.0037699405692244
"DA" 0.00652842993419845 0.00576171231944692
"DB" 0.00159349535857047 0.00145191627095755
"DE" 0.000345104447337674 0.000334031369027719
"DI" 4.18499390647681e-05 4.15414355489897e-05
"DK" 0.000122766122786025 0.000121788604655173
"DM" 0.000671572859451246 0.000650283099239299
"DQ" 0.000516331197530953 0.000507376405342417
"DR" 0.0025927544220947 0.00241612063830928
"DS" 3.56134518111737e-05 3.49261031664363e-05
"DT" 0.00927704793916693 0.00685909882924445
"DW" 0.000406829232751851 0.000337854565469558
"DX" 9.12964936369957e-05 8.34324108401717e-05
"DY" 0.00807695839703931 0.00635402343549352
"EA" 0.00569594494849305 0.00502870597359174
"EC" 0.000227177555321439 0.000199284168148033
"EE" 0.000250241195907801 0.000227811137681307
"EI" 0.0198218271392942 0.0140893960264731
"EN" 0 0
"EO" 0 0
"EP" 0.0018636341895022 0.00168025442119769
"EQ" 1.53613540135439e-05 1.52267910556783e-05
"ER" 0.000228548073272622 0.000203406490133698
"ES" 0.000252401660128421 0.000224359642195626
"ET" 0.000457122388552665 0.000409702312842477
"EU" 1.0129659643436e-06 1.00548967493838e-06
"EV" 0.0122008791498846 0.00874433672357584
"EW" 0.0010561125654654 0.000963155612080126
"EX" 0.00105967145417868 0.00093868846845794
"FA" 0.00017009625651398 0.000150238351805492
"FE" 4.11517423014587e-06 4.10024828358975e-06
"FF" 2.532414910859e-06 2.5050993686589e-06
