"Q" "C"
"AA" 0.000145647244257038 0.000130901881615716
"AC" 0.000161212593471004 0.000149172030963975
"AD" 5.51527314257069e-05 5.38920118880267e-05
"AE" 0.000173409129895835 0.000150628791352143
"AF" 1.32677302748777e-06 1.31110260481287e-06
"AH" 0.000188859485240737 0.000172767314018212
"AI" 0.000281818434077694 0.000253117948459424
"AM" 7.58317537206101e-05 7.30003439711721e-05
"AQ" 2.07456618379267e-05 2.03009088542134e-05
"AY" 2.53615775158545e-05 2.34061591197971e-05
"AZ" 7.23781836196766e-06 6.90167079943168e-06
"BA" 3.96395583441959e-05 3.90331118105112e-05
"BD" 3.44810662380947e-06 3.37029629682176e-06
"BF" 2.90559600466278e-05 2.8388378225414e-05
"BI" 9.34580439533252e-05 9.09343978911744e-05
"BK" 4.53493761286326e-07 4.20700994659397e-07
"BM" 0 0
"BP" 2.90537779952879e-05 2.6451098957642e-05
"BQ" 1.09851250070614e-05 1.06231492402141e-05
"BU" 0.00763324136815412 0.00708461248017028
"BV" 6.48363376902683e-07 6.3161573513798e-07
"CN" 9.30751323349783e-06 9.02450682171809e-06
"CO" 0.00462259627358347 0.00365582897034072
"CQ" 0.0186120280105948 0.0158802194344184
"CT" 5.86691049509176e-07 5.33176290940983e-07
"CU" 0.00087793870363276 0.0007709238049048
"DA" 0.00941610206371419 0.00747210393901358
"DB" 0.00243315553988969 0.00207606578672354
"DE" 0.000716685888077996 0.000680547988251938
"DI" 8.03277046351644e-06 8.00402429109048e-06
"DK" 1.84595267423727e-06 1.83969723814513e-06
"DM" 0.00086163632812661 0.000820553259280433
"DQ" 0.000110012422726373 0.000107629882730476
"DR" 0.00200836113059483 0.00179781211322793
"DS" 1.75678561613659e-05 1.71581049248359e-05
"DT" 0.00185483891698677 0.0014516908190805
"DW" 0.00197775390525228 0.00121109967650181
"DX" 0.00151017710519454 0.00121657652784349
"DY" 0.0884586237822934 0.0449808516999041
"EA" 0.00920271540050109 0.00709931222442753
"EC" 0.00996512594990631 0.00656888091967832
"EE" 0.00873228887803854 0.00627656100159332
"EI" 0.146449445001597 0.0611062229619319
"EN" 0 0
"EO" 0 0
"EP" 0.000170082122803611 0.000160493504715886
"EQ" 4.69651977868766e-06 4.65940226018757e-06
"ER" 2.82227863985842e-06 2.65143013629596e-06
"ES" 8.19682009978421e-05 7.61885215960018e-05
"ET" 0.000580713239532562 0.00053618204597077
"EU" 1.24522456379784e-06 1.23853556897159e-06
"EV" 0.00236628331299285 0.00181328784572929
"EW" 0.000197010005792295 0.000188693321020292
"EX" 0.000924076796262841 0.000860373524330033
"FA" 7.87794971743298e-05 7.0142469488373e-05
"FE" 5.9778723078652e-07 5.96146892516393e-07
"FF" 3.97338382748102e-06 3.92682039636755e-06
"FI" 0.00405545012765898 0.00241637889680831
"FS" 0 0
"FU" 2.4354294587599e-07 2.42064402542961e-07
"FY" 9.94767852554974e-05 9.81094633785951e-05
"GA" 0.000119270673687621 0.000116210285297014
"GC" 0.00204523852956204 0.00197179931493721
"GM" 5.07727483725508e-06 4.9887318968267e-06
"GU" 9.60983883577306e-05 9.33234460854025e-05
"GY" 1.9948604355105e-05 1.98232677716829e-05
"HA" 2.53479632501771e-05 2.51504907277645e-05
"HB" 0.000245141379439425 0.000221360675867446
"HE" 0 0
"HF" 0 0
"HI" 9.10783893481442e-07 9.07534017167221e-07
"HL" 3.28565527873768e-06 3.22916744982487e-06
"HQ" 0.00760351542287861 0.00484659851262305
"HT" 1.80643829613514e-05 1.71203257307109e-05
"HY" 6.73581825637721e-05 6.24536273018259e-05
"IA" 0.000355265621805808 0.00033509851989069
"ID" 0.00770327195746763 0.00541101987482123
"IF" 0.0010252869790086 0.000662547184778234
"IG" 0.000840842655970105 0.000697876316508958
"IH" 0.00172206169840465 0.00137479230857778
"II" 0.00825941273505697 0.00547161454042004
"IJ" 4.34800291683813e-05 4.0896141790787e-05
"IK" 7.56770064158725e-05 6.25600067072482e-05
"IL" 5.83091846710996e-07 5.3770513368641e-07
"IM" 0.00022385938095082 0.000190841265659749
"IO" 6.79023944746052e-06 6.45947353737721e-06
"IP" 4.49575862255477e-05 3.64960071985176e-05
"IQ" 0.00318139216572363 0.00267696472715763
"IU" 0.00097129392889039 0.000802192886045008
"IX" 9.52862376442122e-06 9.18244500521824e-06
"IY" 9.94070045062535e-05 9.58910335850314e-05
"JA" 0.00670772911701308 0.00583761022145047
"JB" 6.67315908423081e-05 6.47473020894816e-05
"JI" 0 0
"JM" 0 0
"JO" 1.88745783053892e-06 1.88008756128497e-06
"JS" 1.01163992902334e-06 1.00805957511677e-06
"JU" 2.31126206755273e-05 2.25556086415614e-05
"JW" 0 0
"JY" 0.00157423105368322 0.00143856409658451
"KA" 3.70064254921108e-05 3.61583031114805e-05
"KI" 6.31160472702919e-05 6.1673958959437e-05
"KM" 0.000617262276505221 0.000564365761391037
"KU" 5.11053613440144e-06 5.04609258383914e-06
