"Q" "C"
"AA" 0.0023999146153917 0.00213069029423044
"AC" 0.00108152933692396 0.000969577314015633
"AD" 2.5070997152078e-05 2.47815526697843e-05
"AE" 1.56287591439808e-05 1.46628158434175e-05
"AF" 8.14598403690031e-06 8.05937814712812e-06
"AH" 4.67084618072376e-05 4.48539453112922e-05
"AI" 0.000819103564920439 0.000706596379178778
"AM" 2.68022714335038e-05 2.62989363709766e-05
"AQ" 1.21191717454171e-05 1.19745232010468e-05
"AY" 4.11068803349782e-05 3.91560381823845e-05
"AZ" 2.79367065975326e-08 2.72548395605551e-08
"BA" 2.38842376408995e-05 2.36275503808279e-05
"BD" 3.37667174158484e-05 3.32653661974646e-05
"BF" 6.26841251392909e-05 6.15609401566895e-05
"BI" 4.33834636740191e-05 4.25122392117968e-05
"BK" 1.39171871694668e-06 1.31208348352509e-06
"BM" 1.53430166392798e-06 1.52633378340402e-06
"BP" 8.35703813983866e-06 7.82103843428694e-06
"BQ" 2.46266803389952e-05 2.39024782219195e-05
"BU" 0.0345898795407239 0.0286008168027129
"BV" 1.51857580999873e-05 1.48641183307801e-05
"CN" 0.000106486839813483 0.000103968421821474
"CO" 0.000916571185983934 0.000819267771857722
"CQ" 0.00520506051695811 0.00483917904209225
"CT" 1.24682854281169e-05 1.1811613749683e-05
"CU" 0.00216222249797317 0.00200437196377521
"DA" 0.00406976873142338 0.00363283206357438
"DB" 0.000866638350304708 0.000803717991017924
"DE" 0.000272333367745643 0.000265737335452504
"DI" 7.54041006752242e-05 7.49683489032475e-05
"DK" 0.000328447844009124 0.000325927065734249
"DM" 0.000528298322188157 0.00051491937825179
"DQ" 0.000280425743469389 0.000276687151556672
"DR" 0.00174646965064801 0.00165282828049924
"DS" 2.23795183559177e-05 2.20423666827401e-05
"DT" 0.00134156790048755 0.0011018780776732
"DW" 0.000397650439745463 0.000326152764571875
"DX" 0.000143124186758749 0.00013131711485877
"DY" 0.0139570450650364 0.0104644054551441
"EA" 0.00162505593660847 0.0014435261286977
"EC" 0.00150635639850722 0.00127852098482908
"EE" 0.00067345634522647 0.000600722963644125
"EI" 0.0247097205268506 0.0164042303612727
"EN" 0 0
"EO" 0 0
"EP" 0.00171783172177376 0.00157669093579964
"EQ" 5.66266784352915e-06 5.62319315950158e-06
"ER" 0.000175836298443789 0.000159572979741472
"ES" 0.000361267128191954 0.000323992974627947
"ET" 0.000953246913903703 0.000865385784536558
"EU" 1.41841727799131e-05 1.4095231730305e-05
"EV" 0.00333652358095543 0.00257389842267465
"EW" 0.000738434413562151 0.000686435072554393
"EX" 0.00159127393423149 0.0014291579136391
"FA" 9.94453419859642e-05 9.02278580147349e-05
"FE" 5.85699000883578e-06 5.8384993563871e-06
"FF" 1.11876389783092e-05 1.10900190648338e-05
"FI" 0.00436768740403248 0.00336005442823214
"FS" 6.71106990981624e-07 6.58106923162333e-07
"FU" 8.48522495391565e-06 8.42832298721978e-06
"FY" 0.000118483657017035 0.000117403833155855
