"Q" "C"
"AA" 5.07503438335794e-06 4.96311341257032e-06
"AC" 0.000141195917545198 0.000136580701983873
"AD" 0.000300785905436057 0.000294972673265691
"AE" 0.000431277595181537 0.000400052312455248
"AF" 0.00603079573508396 0.0032073186353249
"AH" 0.00295114485950076 0.00272033905604322
"AI" 9.375872172952e-05 9.19706560134367e-05
"AM" 0.00159818668825727 0.00151601055168644
"AQ" 2.66162258908841e-05 2.58814839048161e-05
"AY" 3.40398647664253e-06 3.27777703503959e-06
"AZ" 0 0
"BA" 3.17189648959872e-05 3.09476855471656e-05
"BD" 0.00125843570039141 0.00113368222085859
"BF" 0.0113412099013165 0.0102334575765655
"BI" 0.000184306419840503 0.000176692286765756
"BK" 0.000616987147191205 0.000504083493089947
"BM" 0.0189128847958074 0.0125239201186581
"BP" 9.93746738781151e-05 9.25858740900197e-05
"BQ" 0.00127253166741254 0.00103657371899649
"BU" 0.000168153879466892 0.000167391793593189
"BV" 6.12861726575583e-05 5.83542829412662e-05
"CN" 0.000184752202610718 0.000176460103694905
"CO" 0.00011397796830262 0.000109604795963922
"CQ" 0.00066843984547952 0.000644385266378751
"CT" 1.21333387823176e-05 1.17434558410672e-05
"CU" 0.0016028549425903 0.00148939644640436
"DA" 5.22627088483282e-05 5.04874168062922e-05
"DB" 0.00126709043883283 0.00120146489655687
"DE" 0.0010296573897874 0.000991975923987596
"DI" 0.0343842154951663 0.0253112839764644
"DK" 0.015504215868102 0.0103472343560703
"DM" 0.000279637890509074 0.000271084344039965
"DQ" 0.000229068436138546 0.000222804402691887
"DR" 0.000296704314723022 0.000287173818749048
"DS" 6.47086769618934e-05 6.21734854658941e-05
"DT" 0.000232709720585035 0.000224666737583358
"DW" 0.000102259183505112 9.79917658556301e-05
"DX" 6.31326216038731e-05 6.09055276720746e-05
"DY" 0.000638860936063714 0.000624134365597856
"EA" 8.98026855891137e-05 8.72194389984636e-05
"EC" 7.32863356757633e-06 7.23995086974506e-06
"EE" 2.02981987414827e-05 2.00523413753769e-05
"EI" 0.00038666169405106 0.000376971225908808
"EN" 0.000161713727569828 0.000123782297146424
"EO" 6.66098262815732e-06 6.62478345420156e-06
"EP" 0.00108139152175418 0.00102969260570646
"EQ" 0.000998872292415245 0.000939152578127467
"ER" 0.000146690200311034 0.000136492622477958
"ES" 0.000355133257695712 0.000343475254903668
"ET" 0.0023072661447971 0.00212875563365676
"EU" 0.00361419529824124 0.00309252854516368
"EV" 0.00223983466373538 0.00200156526542806
"EW" 0.000939959628313326 0.000901891620589071
"EX" 0.00109786497875871 0.00104908500607969
"FA" 0.00149091631333287 0.00142591840494901
"FE" 0.00130870206862661 0.00120401816607301
"FF" 0.00028642059510658 0.000275100771820518
"FI" 3.02813342352935e-05 2.98221685993016e-05
"FS" 0 0
"FU" 0.00749172363563281 0.00537862724049455
"FY" 1.07471316353462e-05 1.06382511828053e-05
"GA" 7.39014618282088e-05 7.24919207827128e-05
"GC" 0.00127919930358519 0.00124805117443211
"GM" 0.000194623545123405 0.00018266398940112
"GU" 0.009688470012727 0.00869802295924886
"GY" 0.213111744656944 0.107462772133103
"HA" 0.00526352851668896 0.00482935627486526
"HB" 0.000181229345391047 0.000169767737165647
"HE" 5.75395713845073e-05 5.52346408362002e-05
"HF" 0.00138455070588131 0.00103352468719074
"HI" 0.000404627058506611 0.000382184755136348
"HL" 0.00240150760812989 0.00211833407185398
"HQ" 0.000190613630083224 0.000185545876037018
"HT" 0.000248714842059408 0.000232620577019522
"HY" 2.47784168983007e-05 2.40977312297047e-05
"IA" 0.000211623716693394 0.00020314096545679
"ID" 0.00375181068592748 0.00347828356001239
"IF" 0.000687181724617721 0.000645985294589748
"IG" 9.7447031837191e-05 9.43128141427794e-05
