"Q" "C"
"AA" 0.00203933591447796 0.00179421472449312
"AC" 0.00283101118401119 0.00242597951094349
"AD" 1.19295444623954e-05 1.17712034935939e-05
"AE" 2.64568899509802e-05 2.49958702578457e-05
"AF" 3.28342412810536e-06 3.23029117682072e-06
"AH" 1.78502019566106e-05 1.71500467179862e-05
"AI" 0.0016708191489899 0.00142272344477769
"AM" 2.16747806825641e-05 2.12126828984601e-05
"AQ" 4.32163696693688e-07 4.26128635089798e-07
"AY" 4.29838744559956e-05 4.05778983633019e-05
"AZ" 0 0
"BA" 1.82138713865773e-05 1.79629719937544e-05
"BD" 6.46208903237658e-05 6.33005932463867e-05
"BF" 0.000100574129743377 9.84666952371923e-05
"BI" 1.41700104501614e-05 1.39087190858801e-05
"BK" 2.54865769844995e-07 2.40897415162469e-07
"BM" 9.46644287995698e-07 9.39512670934263e-07
"BP" 5.21995437805628e-06 4.93428177493277e-06
"BQ" 7.60349546704237e-06 7.34921117564728e-06
"BU" 0.0170455529067578 0.0147558279856806
"BV" 2.28760556642726e-05 2.21820930435848e-05
"CN" 0.000151491524317722 0.000146394576028586
"CO" 0.00101588619890282 0.000916807224348045
"CQ" 0.00681972014672584 0.00630312951098289
"CT" 5.11725074539481e-06 4.82026942118342e-06
"CU" 0.00470874166220642 0.00430434587955155
"DA" 0.00571428013230956 0.00512212028237774
"DB" 0.000743438258883962 0.000688846901216458
"DE" 0.000188981118223665 0.000183721069327873
"DI" 9.17180995401499e-05 9.07227240442285e-05
"DK" 0.000316904674867327 0.00031285911440497
"DM" 0.000452228372290711 0.00043942103702611
"DQ" 0.000504482682270586 0.000496520190913037
"DR" 0.00242282987963336 0.00227063274159565
"DS" 3.28537929129372e-05 3.22596354230084e-05
"DT" 0.00206857223536143 0.00169800052880363
"DW" 0.00013959163260735 0.000121674977539101
"DX" 4.85968545607183e-05 4.5036599483701e-05
"DY" 0.0050014413797767 0.00414116353486532
"EA" 0.000775246939860228 0.00071156604676407
"EC" 0.000311277328806227 0.000280712948021612
"EE" 0.000179402228714193 0.000166640293101657
"EI" 0.0127806693390924 0.00974315255661316
"EN" 0 0
"EO" 0 0
"EP" 0.00455442257493956 0.00397810457091944
"EQ" 1.00410517736845e-05 9.94405146758568e-06
"ER" 0.000448104031947987 0.000385763652598539
"ES" 0.000765668273084674 0.00066048894254279
"ET" 0.00240528376251618 0.00208352285292108
"EU" 1.70502110744243e-05 1.68911391945302e-05
"EV" 0.0174146353721034 0.0121226213084822
"EW" 0.00284956478640522 0.00248768932987391
"EX" 0.00477105898429551 0.00401030457097592
"FA" 0.000125620447923728 0.00011560951845626
"FE" 9.7504361663557e-06 9.70698669988143e-06
"FF" 5.43418899608959e-06 5.38003643209889e-06
"FI" 0.00224822430329821 0.00189445144379917
"FS" 0 0
"FU" 2.31126179305057e-05 2.28751449767865e-05
"FY" 7.09580862968978e-05 7.0313167958926e-05
"GA" 1.53466254033302e-05 1.51097525162e-05
"GC" 0.00309290192440266 0.00297331993921233
"GM" 9.93976502395484e-07 9.78852730549156e-07
"GU" 0.00199073050331428 0.00193923972644709
"GY" 0.00129359077784496 0.00127065924597926
"HA" 2.34743703158036e-05 2.31779477650361e-05
"HB" 0.000531844905958352 0.000485891117677352
"HE" 1.65662750399247e-06 1.64126575755529e-06
"HF" 6.02410001451808e-07 5.92770621553138e-07
"HI" 0 0
"HL" 1.42096201898082e-05 1.39683426878106e-05
"HQ" 0.000588659284609925 0.00050032444404415
"HT" 0.000272978346983702 0.000261871875446784
"HY" 0.000358482413228604 0.000340942759615854
"IA" 0.000141128478681617 0.000136112641619449
"ID" 0.000635144405386867 0.000548779023585455
"IF" 0.00418468843792344 0.00271625006162323
"IG" 0.00181943120801394 0.00162309754426905
"IH" 0.000189927299009217 0.000175116135867654
"II" 0.00323877036440598 0.00280628473089231
"IJ" 0.00033799366443211 0.000308855926340426
"IK" 0.000423603894168986 0.000360007348968492
"IL" 1.245195087549e-05 1.08490150103316e-05
"IM" 0.000853367894439641 0.000769491530790373
"IO" 0.00013430175881123 0.000123159861171713
"IP" 0.000204149233165428 0.000186203398724552
"IQ" 0.0215159159725521 0.0174662520006132
"IU" 0.00529438795612105 0.00427351903718907
"IX" 0.000201320357624106 0.000192041111894528
"IY" 6.41324647579193e-05 6.26348028834817e-05
"JA" 0.00076379610751617 0.000719810158626326
"JB" 0.000206853968905963 0.000201284992851804
"JI" 5.07206388048657e-06 4.93178278510324e-06
"JM" 0 0
"JO" 2.05823417162701e-06 2.04680337247173e-06
"JS" 8.11747476956311e-06 8.07070932614101e-06
"JU" 1.9952869035396e-05 1.96081832200456e-05
"JW" 0 0
"JY" 0.000139268452322332 0.000134269044874725
"KA" 5.09245534106141e-05 5.00573072734383e-05
"KI" 3.62847103380245e-05 3.57663481066246e-05
"KM" 0.00133770267174047 0.00126356579150921
"KU" 5.27983963995786e-05 5.19716301576393e-05
"KV" 6.83851779418716e-05 6.63291397458805e-05
"KY" 9.11514417759305e-05 8.92254207102238e-05
"LE" 0.00195802990126821 0.00187863951985431
"LI" 2.44650531423329e-05 2.35211483684323e-05
"LJ" 1.08955116608736e-06 1.07228010192901e-06
"LQ" 2.93537474851991e-06 2.89813600618746e-06
"MA" 0.000183874236716352 0.000178596450017601
"MC" 0.00148925964378639 0.00128824367745264
"ML" 0 0
"MM" 5.641139370738e-06 5.61482737118751e-06
"MQ" 0.000212576613532417 0.000191181942657481
"MR" 1.8406972266583e-07 1.81439878634361e-07
"MU" 3.06249934816641e-06 3.00221134334222e-06
"MW" 4.22203352446082e-06 4.16610862731383e-06
"MY" 6.04635415621345e-06 5.98284195117227e-06
"NE" 0.000131187909099537 0.000128701692829574
"NI" 0.000266420679874027 0.000259447784542636
"NM" 0 0
"NN" 8.83650398177412e-05 8.65806421471138e-05
"NQ" 6.63728799636092e-06 6.58785215495602e-06
"NS" 0.00177316202824183 0.00126260007548344
"NU" 0.000137860104245661 0.000133165857884153
"OA" 0.00171337778312448 0.0012039335424783
"OE" 3.19586864535371e-05 3.17224477792004e-05
"OI" 3.72741188398306e-06 3.56331959725584e-06
"OM" 3.97590600958193e-06 3.95945599377107e-06
"OO" 6.02410001451808e-07 5.91243212027743e-07
"OP" 4.21687001016266e-06 4.09541596021779e-06
"OR" 1.98795300479097e-06 1.97532032501928e-06
"OT" 2.44678073603677e-05 2.41255586820996e-05
"OU" 0.000178151940747148 0.000171249429904485
"OX" 0 0
"OY" 3.19796624338206e-05 3.17138250560754e-05
"OZ" 1.41996643199355e-06 1.3975453023404e-06
"PA" 5.71142053757405e-06 5.68718511478629e-06
"PC" 0.000142451615289526 0.000140281550065659
"PD" 0 0
"PE" 0.00163546146147249 0.00147000061446632
"PF" 0 0
"PG" 5.52209167997491e-07 5.50861901331015e-07
"PH" 0 0
"PI" 0.000164998844973225 0.000161013260837863
"PJ" 1.82065801383213e-05 1.69747891310126e-05
"PK" 0.00116070549455429 0.000944498715476567
"PM" 0.0127704773355721 0.00929049483802172
"PN" 0.0799547256781244 0.0553817955561794
"PO" 0.0130163817896389 0.00786954061890262
"PQ" 0.0616422312411747 0.0491548555727324
"PS" 0.000283389299343125 0.000268826159402591
"PT" 6.34693744884617e-05 5.92826499390277e-05
"PU" 0.028233401912169 0.0194842494632171
"PW" 1.59966580879366e-05 1.53210091478934e-05
"PY" 0.000204664909756629 0.000199939183498715
"PZ" 0.00199998733000676 0.00164340254524243
"QA" 0.000131481417838858 0.000123645421127027
"QC" 6.62651001596989e-06 6.60696521710491e-06
"QD" 0 0
"QE" 0.000213344098667995 0.000189823854637418
"QF" 0.000292848512303199 0.00023312281978025
"QG" 0.000651187714039087 0.000495304332661225
"QH" 0.000536216107914677 0.000467825883752375
"QJ" 8.86159874644119e-05 7.72271329856023e-05
"QK" 0 0
"QQ" 0.00282510118583856 0.00272435259186004
"QU" 0.000602959105569078 0.000581709698542064
