"Q" "C"
"AA" 9.76332064482731e-06 9.64747925218725e-06
"AC" 4.67975157398248e-05 4.61609306561617e-05
"AD" 2.65929261867161e-05 2.63518672789474e-05
"AE" 3.37407951937072e-05 3.28725522511741e-05
"AF" 0.000306964342625776 0.000209875880606821
"AH" 0.000174029576137362 0.000168209411198269
"AI" 4.25758678824488e-05 4.22418269643298e-05
"AM" 0.000147552835722377 0.000144926619878619
"AQ" 2.07940397685294e-05 2.03986031832521e-05
"AY" 1.98162636038649e-06 1.92804646663237e-06
"AZ" 1.271543581248e-05 1.241099686089e-05
"BA" 6.68887121353414e-05 6.54907421731522e-05
"BD" 0.000146596578580373 0.000141187087777791
"BF" 0.00557802508671613 0.0051335618768952
"BI" 0.000186711689885915 0.000181946479493364
"BK" 5.65119456100515e-05 5.06303610130183e-05
"BM" 0.0230911068180533 0.0116255428072378
"BP" 0.000252336526205216 0.000240282599794868
"BQ" 0.00354715798715784 0.0027367999165911
"BU" 2.95860076685499e-05 2.95339660860695e-05
"BV" 0.000140010673773107 0.000132968949386986
"CN" 0.000408661345842452 0.000391902401768891
"CO" 8.19237529082813e-05 8.03416897877113e-05
"CQ" 0.000421202845230459 0.000412811574311493
"CT" 3.84668646427967e-06 3.76613943350005e-06
"CU" 0.000772103626652485 0.000739428725269878
"DA" 1.58848069386684e-05 1.55965873119497e-05
"DB" 0.000365963635954002 0.00035712682151488
"DE" 0.000133956379374558 0.000132256687138325
"DI" 0.00652292975489067 0.00560242858515944
"DK" 0.00719384032029342 0.00556606259388892
"DM" 0.000264156631888287 0.000258601006785325
"DQ" 0.000124798674001388 0.000122350445347817
"DR" 0.000175736861217421 0.000172385163545323
"DS" 5.78453934772442e-05 5.60782453032714e-05
"DT" 2.75085828365362e-05 2.71574487790305e-05
"DW" 3.04180916592635e-05 2.99524179514593e-05
"DX" 3.77600452197895e-05 3.70117732613994e-05
"DY" 0.000138066974148906 0.000136878286488685
"EA" 5.83386044058583e-05 5.76877106489059e-05
"EC" 2.30905424989991e-05 2.29915146730958e-05
"EE" 3.36304858277131e-05 3.34660032496584e-05
"EI" 4.28867195644659e-05 4.25413987124021e-05
"EN" 0.000128566780217247 9.17147627767624e-05
"EO" 0.000309761953104878 0.000306666153351049
"EP" 0.000365181352179026 0.000356135572495347
"EQ" 0.0014529245867455 0.00135067985817557
"ER" 5.54108602794053e-05 5.30640101219818e-05
"ES" 0.000142459297127363 0.000140248072960673
"ET" 0.00113762950212636 0.00109156912762309
"EU" 0.0167288591955676 0.0132530064378643
"EV" 0.000636843689032874 0.000601709118823812
"EW" 0.000407684991196392 0.000399059282253021
"EX" 0.00135494209964769 0.00132259413156772
"FA" 4.66198935835217e-05 4.5871818966977e-05
"FE" 0.00320775582523444 0.00285235211799287
"FF" 4.40608814268244e-05 4.26738322804958e-05
"FI" 2.18741063627279e-05 2.17556080056501e-05
"FS" 2.37618232321345e-05 2.2343233563578e-05
"FU" 0.00549817456435209 0.00413199590611598
"FY" 4.342710577997e-05 4.31191569222519e-05
"GA" 8.27368744660608e-05 8.16422782889262e-05
"GC" 3.00007642538165e-05 2.97794264109594e-05
"GM" 0.000340223116748043 0.00031945961294382
"GU" 0.001359099047002 0.00130485312736981
"GY" 0.103229450499433 0.0663635577395423
"HA" 0.00420567865825798 0.00389070969976741
"HB" 7.48849123214116e-05 7.11111302055605e-05
"HE" 3.1161411483667e-05 2.9785389913822e-05
"HF" 0.00590584949595749 0.00478595094626829
"HI" 0.000393043883812643 0.000368312447694375
"HL" 0.00128095326047463 0.00115918377691021
"HQ" 2.68840642892435e-05 2.66496026685419e-05
"HT" 0.000105239973000532 0.000102273582671382
"HY" 2.10180281115204e-05 2.06390034308399e-05
"IA" 0.000137829937644646 0.000133989434676917
"ID" 0.00105334221488936 0.00102133331211891
"IF" 8.0412650475137e-05 7.84050728738394e-05
"IG" 6.12691311337642e-05 6.00597487149194e-05
"IH" 0.000354028340434011 0.00033933440931948
"II" 6.80127798565294e-05 6.70156750405965e-05
"IJ" 0.000116330825445472 0.000108773009321001
"IK" 2.9676669422942e-05 2.88786385755477e-05
"IL" 0 0
"IM" 0.000203130665675266 0.000195262773454345
"IO" 9.08245415177144e-07 8.93271516472611e-07
"IP" 3.31055453832069e-05 3.26417198642131e-05
"IQ" 0.000267395951619882 0.00026444497766159
"IU" 5.83543783955088e-05 5.78143933383463e-05
"IX" 6.4142116401984e-06 6.3569239148093e-06
"IY" 2.7049496728532e-05 2.66080206379087e-05
"JA" 0.00487520295085462 0.0045759378311198
"JB" 0.0122057091104527 0.00850749902196139
"JI" 4.61848672659016e-05 4.17293163891192e-05
"JM" 0.0034083985174188 0.00238856023538513
"JO" 0.0010552515773145 0.000929855991629151
"JS" 0.000310201221434427 0.000269884539724043
"JU" 8.62443835726106e-05 8.43543004364359e-05
"JW" 4.91710094770519e-05 4.57790626818536e-05
"JY" 0.00014509186197949 0.000142670998509573
"KA" 0.000227638619382053 0.000221048701371485
"KI" 8.28415615243242e-05 8.16066524172774e-05
"KM" 0.000569090434351791 0.000554527682834495
"KU" 0.0164877476228837 0.0127600375623524
"KV" 8.7706811324574e-05 8.50659785793948e-05
"KY" 1.62672353281371e-05 1.6116034010681e-05
"LE" 0.000370487785859875 0.000363130568503879
"LI" 9.48865197189545e-05 8.94811376530927e-05
"LJ" 0.000388805063386526 0.00036024425866525
"LQ" 0.00149841704665003 0.00131234575890757
"MA" 4.27754442371738e-05 4.18798414021772e-05
"MC" 6.68708420663317e-05 6.4420322553261e-05
"ML" 0 0
"MM" 0.0100122862062086 0.00846080221535874
"MQ" 0.00116591583587355 0.00104706148901418
"MR" 0.000784523592051396 0.0005178344622915
"MU" 3.2345256075986e-06 3.19949212757168e-06
"MW" 9.94545974629495e-05 7.99859252174649e-05
"MY" 0.000892992043660681 0.000832891646011954
"NE" 0.00410699353996249 0.00371481263234305
"NI" 0.000356152720097762 0.000349301038968532
"NM" 0.00298371483561365 0.00208281004503477
"NN" 0.000307831917347946 0.00029759503803483
"NQ" 0.00130039208093576 0.00117164641069725
"NS" 3.912612417209e-05 3.88089286970624e-05
"NU" 0.00227355218309281 0.00206962240946429
"OA" 1.93421340916763e-05 1.9112585241208e-05
"OE" 0.114553181204617 0.0521512694083618
"OI" 6.84181906389597e-05 6.56148525941294e-05
"OM" 0.0191132886751419 0.0160953903924575
"OO" 0.000116000668188016 0.000104576346342442
"OP" 0.000176539272326629 0.000170134418206629
"OR" 0.000495455137289314 0.000412803407712392
"OT" 0.000233163998516107 0.000223469637142654
"OU" 4.89097442620784e-05 4.69267048596614e-05
"OX" 9.17457618673941e-05 8.63714162693433e-05
"OY" 0.000180205622971674 0.000173936206005145
"OZ" 0.00112408525705608 0.000805325333603592
"PA" 0.000802743381583801 0.000742814263432374
"PC" 0.00619859313951152 0.00527834360506225
"PD" 7.31486884377285e-05 6.93448211241946e-05
"PE" 0.00060132748806727 0.000560386746735677
"PF" 5.44947249106287e-05 5.25439853141484e-05
"PG" 2.72473624553143e-05 2.67461223329183e-05
"PH" 3.48766239428023e-05 3.37706170075249e-05
"PI" 0.000104871020818275 0.000101849666435103
"PJ" 1.30787339785509e-05 1.29491033421718e-05
"PK" 1.49371438280672e-05 1.48735293147218e-05
"PM" 0.000160371778160999 0.000159255290782164
"PN" 0.0003525064355818 0.000347589903946177
"PO" 0.00167463685811405 0.00152405095399571
"PQ" 0.000102427755353612 0.000101888901779884
"PS" 0.00440167799078928 0.00300586222239624
"PT" 0.000131082817138054 0.0001204795000411
"PU" 4.16756309099814e-05 4.12884920839238e-05
"PW" 1.08135300527987e-05 1.04511610769563e-05
"PY" 0.00367800100119224 0.00344434173088259
"PZ" 4.15127451947935e-05 4.13270386713642e-05
"QA" 0.000188831521931878 0.000181902505164382
"QC" 2.61574679571017e-05 2.51532889109012e-05
"QD" 3.43104449826919e-05 3.26568228206829e-05
"QE" 4.78023902724813e-06 4.72254617881615e-06
"QF" 4.35957799285029e-06 4.32947973805451e-06
"QG" 1.34140861318471e-05 1.33451162702395e-05
"QH" 8.1742087365943e-06 8.14197252665454e-06
"QJ" 2.52362476074221e-05 2.50085341068342e-05
"QK" 1.4386607376406e-05 1.38726756257424e-05
"QQ" 0.000924960436997439 0.00090641951687886
"QU" 0.000168650538713253 0.000165836166586823
"RA" 0 0
"RB" 2.17483493052418e-05 2.14844827027134e-05
"RE" 2.47568795521589e-05 2.45841636214673e-05
"RO" 0.00102713470205059 0.0009772239775422
"RP" 0.000165400472750721 0.000159036753456347
"RQ" 6.35771790624001e-06 6.25840668644843e-06
"RT" 0.000296491938409581 0.000286461355147512
"RU" 0.00145022568262327 0.00140583783966697
"RX" 4.82450267465605e-05 4.68691809317603e-05
"RY" 3.32442480201401e-05 3.28224869604924e-05
"RZ" 0.000213250879898308 0.000201785153519909
"SA" 0.000350412854084551 0.000336985643661584
"SD" 0.000159493737935105 0.000154791684853206
"SI" 8.59724164370874e-05 8.40253717278979e-05
"SR" 2.93253717192181e-05 2.85794580133229e-05
"SU" 3.72734813171505e-05 3.69619146973191e-05
"SY" 3.35373324517975e-05 3.3356674989768e-05
"TA" 2.46410930030669e-05 2.41211976172837e-05
"TC" 1.91050432812146e-05 1.88538048333932e-05
"TD" 2.93424327617524e-05 2.88654547139959e-05
"TE" 1.58034702240823e-05 1.56273582806865e-05
"TI" 1.27434282986684e-05 1.24570077641877e-05
"TM" 3.22586360220417e-05 3.14332585446572e-05
"TQ" 0.00047956567173116 0.00045916361984126
"TU" 0.000280698448451143 0.000270898662733275
"UA" 0.00522839863869137 0.00491175808907814
"UB" 5.77374907089791e-05 5.73884543053753e-05
"UE" 1.63395491597623e-05 1.59050140764872e-05
"UF" 2.72423713233888e-05 2.70191881610971e-05
"UH" 0 0
"UI" 0.000362099159001647 0.0003593529487009
"UK" 4.84847443224372e-05 4.82143107752841e-05
"UM" 4.95686347454914e-05 4.80249098341878e-05
"UN" 2.33548821045551e-06 2.32681571309839e-06
"UP" 4.80786197991273e-05 4.7942779426612e-05
"UQ" 0.0150977332354512 0.00924691200988515
"UR" 0.000138779976081313 0.000137280915685368
"UT" 2.63391170401372e-05 2.58738532241246e-05
"UU" 0.399416581533653 0.156450648082577
"UY" 9.36338512229587e-06 9.32401840882438e-06
"VE" 0.00103542766548901 0.000982245886248135
"VI" 0.00174647974342138 0.00163146534820732
"VJ" 0.00533420343209229 0.0046492111339343
"VM" 0.0380050824113124 0.0230021324203357
"VP" 3.2965361650295e-05 3.17313955199854e-05
"VS" 0.000168615158776766 0.000156982046110173
"VX" 0.00105853626705191 0.00100804497758679
"VY" 0.000121352142954738 0.000119303047975049
"WC" 0.000180237088056536 0.000172067371544973
"WE" 6.15856824148704e-05 5.9842976067413e-05
"WF" 3.77172307027953e-05 3.70009478425583e-05
"WH" 7.32618922060537e-05 7.21712284791741e-05
"WM" 0.00857744440173631 0.00596075594361507
"WQ" 0.0130660421760395 0.0115673411744296
"WU" 0.0186008071436534 0.0125174860535638
"WV" 0.00101015007166746 0.000876796763579637
"WY" 0.00135515085190567 0.00118300670548816
"XA" 0.0407636505925226 0.0289069466099833
"XE" 3.87504282514746e-05 3.78998358342028e-05
"XQ" 4.17792890981486e-06 4.12876939713249e-06
"XW" 0.000135531852362129 0.0001325399585364
"XY" 0.00413774266273688 0.00386545039146933
"YA" 0.000150509196715479 0.00014779272990748
"YE" 0.000189897335485156 0.000187708629085578
"YG" 8.37189350791234e-05 7.93057381954761e-05
"YI" 0.0012879682975598 0.00109865265474226
"YO" 0.000237455672056687 0.000227151820137211
"YP" 6.35771790624001e-06 6.21470131773705e-06
"YQ" 0.000172213106789639 0.000148283421537095
"YR" 9.10188204731934e-05 8.68408897987144e-05
"YU" 4.04017320845957e-05 3.8583178881508e-05
"YY" 0.00530171212531043 0.00375335595170127
"ZA" 7.99281323958099e-05 7.87179647835148e-05
"ZC" 0.000124771948327491 0.000123134992717462
"ZD" 4.80890463651339e-05 4.67606224176523e-05
"ZE" 7.00818570816408e-05 6.90220949241866e-05
"ZK" 0.0058598014350728 0.00466004190465819
"ZM" 7.35224145329e-05 7.12873182326161e-05
"ZQ" 3.72031295062946e-06 3.68158395547738e-06
"ZR" 0.000590611276470884 0.000566515976049441
