"Q" "C"
"AA" 0.000496400027118134 0.000452793624663901
"AC" 0.000242566369004292 0.00022848280240378
"AD" 0.00012891783778187 0.000124551749062597
"AE" 0.00111730857984576 0.000912993223837872
"AF" 1.11425608181633e-06 1.09703760541263e-06
"AH" 0.000741314031298947 0.000653745737074722
"AI" 0.000267853614311747 0.000246179232515714
"AM" 0.000499466261447778 0.000474341340831743
"AQ" 3.6179483227696e-05 3.50457093690809e-05
"AY" 9.02426693534663e-05 8.19149167746187e-05
"AZ" 3.89138322450494e-06 3.66190188482025e-06
"BA" 2.83830041424127e-05 2.7710053908218e-05
"BD" 2.4668942276282e-06 2.40835134136258e-06
"BF" 4.33830675383612e-06 4.23284499403973e-06
"BI" 1.883489347428e-05 1.83767816771137e-05
"BK" 4.26459236893842e-07 3.91582199049689e-07
"BM" 8.28746695178315e-07 8.24839201320855e-07
"BP" 1.39097390224167e-05 1.25776955318574e-05
"BQ" 1.14925028897264e-05 1.1136861019936e-05
"BU" 8.34965443807767e-05 8.23489676696942e-05
"BV" 2.52145087965395e-06 2.43254339945948e-06
"CN" 1.23692861379958e-05 1.1862312297853e-05
"CO" 0.00336533868830776 0.00264281911334607
"CQ" 0.018616952486543 0.01549847657227
"CT" 9.86019527437964e-05 8.60277804535654e-05
"CU" 0.000635083865397997 0.000547571805634717
"DA" 0.00560220658203803 0.00440774694889475
"DB" 0.00976662862127681 0.0079640548660465
"DE" 0.00112599779420333 0.00105678995644295
"DI" 6.4002155968063e-06 6.37602685282525e-06
"DK" 2.40045929546694e-06 2.39638521480627e-06
"DM" 0.00128571749252308 0.0012083727356068
"DQ" 0.000385456392727396 0.000373080137980204
"DR" 0.0029588817552756 0.00259418863718478
"DS" 7.57914393237041e-05 7.31206877223764e-05
"DT" 0.000725676378355189 0.000575793545744939
"DW" 0.01236762868097 0.00666182608658998
"DX" 0.0016770541413357 0.00128905432665153
"DY" 0.0797165521691358 0.0401245004866093
"EA" 0.0114151864740161 0.00878108739633736
"EC" 0.00656928416451629 0.00435526132178063
"EE" 0.0195684406212491 0.0134421268351844
"EI" 0.0772173898572604 0.0363783894158587
"EN" 0 0
"EO" 0 0
"EP" 0.000149896997360347 0.00014393530573035
"EQ" 4.04029223151494e-06 3.99007165033371e-06
"ER" 1.79440582213771e-05 1.71983210836541e-05
"ES" 3.20319741345569e-05 3.06774091243056e-05
"ET" 5.81522306247972e-05 5.4865097855372e-05
"EU" 1.62336993702218e-06 1.61375879355877e-06
"EV" 0.000578309204122967 0.000464286554920401
"EW" 0.000104042885090722 0.000101306989040186
"EX" 7.22870661860202e-05 6.95374069568506e-05
"FA" 0.000718422410356355 0.000616572201570745
"FE" 8.33617516945505e-07 8.30536905675112e-07
"FF" 2.58222258496652e-05 2.53040870968664e-05
"FI" 0.00313688630181838 0.00192875111284379
"FS" 0 0
"FU" 1.33268511529325e-07 1.32290750966579e-07
"FY" 0.00109852425742013 0.00106836832377034
"GA" 0.000396514773849612 0.000382869588154233
"GC" 0.000194767133091694 0.000190399159552291
"GM" 6.10520908550922e-06 5.94290564099643e-06
"GU" 7.37206310962061e-05 7.14323445548251e-05
"GY" 1.78471231448928e-05 1.77611959496011e-05
"HA" 3.15655292243949e-06 3.13617412292428e-06
"HB" 6.91090761728232e-05 6.38106872816308e-05
"HE" 0 0
