"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0.000294608117044751 0.000275306653305738
"AY" 2.47936689280104e-05 2.03091125606689e-05
"AZ" 0 0
"BA" 0.00063223537210898 0.00054560632287213
"BD" 0 0
"BF" 0.000789526900498947 0.000718598223589618
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0.000108436347863804 0.000104309323607401
"BQ" 0.00600266862465952 0.00505852209377766
"BU" 0 0
"BV" 0.00103313687229334 0.000626705978180703
"CN" 0.00245161478319531 0.00159091998595532
"CO" 4.49236298292902e-05 4.16599337926532e-05
"CQ" 0.00128623013663483 0.00116685067440511
"CT" 0 0
"CU" 0.00190586613197576 0.00157344856491021
"DA" 5.96807568694019e-06 5.49884963578889e-06
"DB" 3.94437215354587e-05 3.68132209541132e-05
"DE" 1.80727246439673e-05 1.7714122366459e-05
"DI" 0.000266901283492045 0.000259420147612068
"DK" 0.000250759054435047 0.000248822362193863
"DM" 0.00484096854500223 0.00444508523571805
"DQ" 0.00296790119768593 0.0027243224023079
"DR" 0.000138310598991597 0.000125385752911971
"DS" 9.23727468945426e-05 7.94084205474682e-05
"DT" 0 0
"DW" 2.85358810167905e-06 2.76830962426763e-06
"DX" 1.54909068376863e-05 1.39301438083772e-05
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 2.50237725839548e-05 2.4837789129749e-05
"EN" 0 0
"EO" 0.000212702066963615 0.000211328283564576
"EP" 0.000117847522144026 0.000113754817003752
"EQ" 0.109943110733479 0.0405511887905645
"ER" 6.50618087182824e-05 5.92083449445647e-05
"ES" 0 0
"ET" 5.57161805200383e-05 5.41841833073901e-05
"EU" 0.000972543324806929 0.000872435659192463
"EV" 2.64712260961639e-05 2.49177891227698e-05
"EW" 0 0
"EX" 1.79337036851676e-05 1.75982219037703e-05
"FA" 0 0
"FE" 0.00135307410557133 0.0010099535300095
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.000100578641496862 9.10342720657347e-05
"FY" 0.000961717651124058 0.0009349183349474
"GA" 0.0011756470210513 0.00111336716862335
"GC" 8.13272608978529e-05 8.12160594948269e-05
"GM" 0.00267510528587004 0.00144643281691695
"GU" 0.00017977605040578 0.000176948151524675
"GY" 0.000350981608365267 0.000344060517587661
"HA" 0.000679922198797809 0.000625673737327226
"HB" 0.000464998035877691 0.000412764437511162
"HE" 0.000255641762495687 0.000179152963363703
"HF" 0.000180469064659045 0.00014943388478054
"HI" 0.00263490116666716 0.00210510869484421
"HL" 0.00308831708644453 0.00236610112619673
"HQ" 0 0
"HT" 7.80284442911529e-05 7.48594234803559e-05
"HY" 0.000125908939749581 0.000112849852172504
"IA" 0.00400020130613754 0.00343159498270011
"ID" 0 0
"IF" 0 0
"IG" 3.97599942167281e-05 3.57092467181955e-05
"IH" 0 0
"II" 2.85358810167905e-06 2.83491701831811e-06
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 4.64727205130588e-06 4.6101461318417e-06
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 3.25309043591412e-05 3.17760173705803e-05
"JB" 0.000162654521795706 0.000158185862971871
"JI" 2.80438830682252e-06 2.3186178133663e-06
"JM" 6.22504959958874e-05 4.67987949697343e-05
"JO" 0.00185151023940311 0.0011582666282356
"JS" 0.000189270716271367 0.000172482289325628
"JU" 0 0
"JW" 0 0
"JY" 4.20870442163398e-05 4.05674382026024e-05
"KA" 0 0
"KI" 0.00242334167577733 0.00226162982495718
"KM" 0.00054462259978827 0.000491024612588952
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.000945632841303349 0.000597939293464628
"LJ" 0.00115492823812348 0.000715817498862358
"LQ" 0.00164668412567081 0.00116158286717771
"MA" 0.000551144707247426 0.000502370701722694
"MC" 3.35586664474108e-05 2.97210959381468e-05
"ML" 5.13645858302229e-05 3.91497634915622e-05
"MM" 0.000873687145645506 0.00085731069355191
"MQ" 0.000664779092854313 0.00058879416318007
"MR" 0.000365525820958482 0.00034012875305864
"MU" 0 0
"MW" 0 0
"MY" 0.023142339876005 0.0136784109370332
"NE" 0.0103866294582059 0.00784817394157395
"NI" 0.00134695834646119 0.00124831725263492
"NM" 2.7109086965951e-05 2.57353403695327e-05
"NN" 0.000290919230411748 0.000263639226996726
"NQ" 0.00403010696529225 0.00340298129246183
"NS" 0 0
"NU" 4.78395652340312e-06 4.57390758783917e-06
"OA" 0 0
"OE" 0.000262054507337526 0.000257437545393715
"OI" 0.000550234269160337 0.000432198675403445
"OM" 0.00085191975069255 0.000792556991924689
"OO" 8.48753730877713e-05 6.17806348511002e-05
"OP" 0.00012742079156341 0.000112321715575571
"OR" 8.1327260897853e-05 7.89514990752e-05
"OT" 0.000778182062771804 0.000658777866342196
"OU" 0 0
"OX" 0.000346996313164173 0.000328197498217066
"OY" 0.000521095886502806 0.000491720652687153
"OZ" 0.000425474228528306 0.000359073670758631
"PA" 0.000784574711054867 0.000756489576780315
"PC" 0.000533626533951843 0.000516295975984184
"PD" 0.000108436347863804 0.000106991216248583
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 2.45237519658105e-05 2.43912944767243e-05
"PO" 0.000312968847275166 0.000304912491317395
"PQ" 0.000130123617436565 0.000129944199069742
"PS" 0.00012565865864107 0.000120308370895583
"PT" 0.000273762504028353 0.000214741445688791
"PU" 0 0
"PW" 6.22863545765302e-05 5.31384981412821e-05
"PY" 0.0271866641573507 0.0202136978596865
"PZ" 0 0
"QA" 0.00128154401757267 0.00105649809917842
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 2.85358810167905e-06 2.83006239801198e-06
"QK" 0 0
"QQ" 2.82877429209923e-05 2.8192137736637e-05
"QU" 6.23033402199926e-05 5.96322313651866e-05
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.000419432742856325 0.000345105150914184
"RP" 2.95735494174011e-05 2.55213583966555e-05
"RQ" 0 0
"RT" 0.0132547525276694 0.00864317425876291
"RU" 0.0228091508167525 0.0156341016470809
"RX" 0.000779493416892616 0.000534791315885919
"RY" 0 0
"RZ" 0.001349088697223 0.00105269830952436
"SA" 0.00122081994090983 0.00105322183839086
"SD" 0.00119661080191245 0.00107043865096099
"SI" 0 0
"SR" 0 0
"SU" 8.99727541751174e-05 8.55137361056747e-05
"SY" 0 0
"TA" 0 0
"TC" 0.000164261196251162 0.000153009196060441
"TD" 0.00115341219765423 0.00103248937218458
"TE" 0 0
"TI" 1.08436347863804e-05 1.02318040465954e-05
"TM" 2.85549049374684e-05 2.47170989051711e-05
"TQ" 0.00404022229242557 0.00317240026570168
"TU" 0.00325435852906391 0.00245906969757003
"UA" 0.00124376859742163 0.00117455909165525
"UB" 0 0
"UE" 0 0
"UF" 1.71215286100743e-05 1.69885523704798e-05
"UH" 2.50237725839548e-05 2.48778171678429e-05
"UI" 0.000394313992232015 0.000392277084680091
"UK" 0 0
"UM" 0.000549592663596339 0.000436145751785111
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0.000125557876473878 0.000124300389263919
"UT" 0 0
"UU" 0.000531439210684494 0.000520303281704961
"UY" 0 0
"VE" 0.19007317409302 0.0682454531372567
"VI" 0.0270108770588856 0.0125392929665097
"VJ" 0.0243450303232487 0.0119369874128146
"VM" 8.16461913327465e-05 7.9283112358648e-05
"VP" 0.425398459253853 0.139932604098726
"VS" 0.000204388866839945 0.000162677805959263
"VX" 0.00604268419564296 0.00423051548152751
"VY" 0.000862049038125209 0.00076483333924013
"WC" 0.00212814420645913 0.00153381997406289
"WE" 0.000605887491998144 0.000539253910956736
"WF" 0.000317372702595186 0.000296261062772715
"WH" 0.00215601587383335 0.00201392214158364
"WM" 0.000826215606635724 0.000568289313692085
"WQ" 0.0134970827184618 0.0105182774683361
"WU" 0.00252414862591468 0.0017893840270857
"WV" 0.00174231795862058 0.0012191491736434
"WY" 0.00241507432887825 0.00162967184570434
"XA" 0.00129282148864827 0.00117556624888424
"XE" 0 0
"XQ" 0 0
"XW" 0.000589982891757973 0.000533174591078963
"XY" 0.000353545237593846 0.000344212581046419
"YA" 0.00124387656443568 0.00112870324084216
"YE" 4.64727205130588e-06 4.63150255374798e-06
"YG" 0 0
"YI" 0.000101280222422481 8.53822046193968e-05
"YO" 0.000118400811944036 0.000102911667176831
"YP" 0.000518928899374365 0.000469724005729319
"YQ" 2.80438830682252e-06 2.56268829039408e-06
"YR" 0 0
"YU" 5.7071762033581e-06 5.10863037814126e-06
"YY" 0 0
"ZA" 0.00210930533236929 0.00197800506128969
"ZC" 3.71346931631834e-05 3.57316690281677e-05
"ZD" 0.000722750892652819 0.000633299566927169
"ZE" 0.000341058132209726 0.000324394391480677
"ZK" 0.000516233140885652 0.000351560101905856
"ZM" 0.000265819478969417 0.000244656388378152
"ZQ" 0 0
"ZR" 0 0
