"Q" "C"
"AA" 0.0138009116752782 0.0110640547039463
"AC" 0.000350490048622688 0.00032867531187095
"AD" 5.58658797753295e-05 5.34959744611281e-05
"AE" 1.78673197754285e-05 1.69526970383129e-05
"AF" 2.37396726489059e-07 2.34400627572014e-07
"AH" 4.65626537254499e-05 4.29834228821654e-05
"AI" 0.000121352858644781 0.000116441387736419
"AM" 4.02207481416654e-05 3.88575330857767e-05
"AQ" 0.000168427065204865 0.000151782234948435
"AY" 0.00211182612454593 0.00151795624604985
"AZ" 8.39210422526926e-05 6.81286524014085e-05
"BA" 0.00178331498352684 0.00151553574904356
"BD" 8.39530793823719e-06 8.20230414697305e-06
"BF" 0.000114198769222045 0.000106252891337538
"BI" 2.03050519596812e-05 1.99608245553974e-05
"BK" 0 0
"BM" 1.24904813610257e-06 1.23668800928975e-06
"BP" 1.03251696386768e-05 9.93186271729519e-06
"BQ" 1.09695523941619e-05 1.02661684527545e-05
"BU" 0.000490641962547143 0.000486289193670469
"BV" 0.000241160672842045 0.000188085155263224
"CN" 0.00121813071616122 0.000945074307339181
"CO" 0.00529555719688399 0.00427021619194353
"CQ" 0.00918537718153638 0.00721852141137033
"CT" 3.96036282164512e-05 2.91417481842051e-05
"CU" 0.00456616762672853 0.00326166689021193
"DA" 0.00701483122944848 0.00548943670457683
"DB" 0.00251927206746657 0.00206655698758704
"DE" 0.000295109230310289 0.000278127882918607
"DI" 3.27647231705826e-05 3.25189023251404e-05
"DK" 6.92157042222178e-06 6.90028439262919e-06
"DM" 0.0815642162796941 0.0559917562415954
"DQ" 0.0348495901993638 0.0277096648436764
"DR" 0.00547112286504034 0.00420501038297132
"DS" 0.00199574814659031 0.0015832871945292
"DT" 6.19143594302843e-05 5.97163822660098e-05
"DW" 0.000110763408771945 0.000100067553950049
"DX" 0.00113413238061432 0.000895480144637034
"DY" 0.00340022119378591 0.00311818379394202
"EA" 0.00228792100540826 0.00211282637334512
"EC" 0.00291344502768327 0.00277048536502331
"EE" 0.000704081239069761 0.000665532148522222
"EI" 0.00194928002121448 0.00181728547872915
"EN" 0 0
"EO" 0 0
"EP" 0.00772972941790943 0.00700154205224495
"EQ" 0.000375823735441346 0.000337348465390137
"ER" 0.000166030694874225 0.00014569604758724
"ES" 0.000194391077568054 0.000180501081246686
"ET" 0.00150629124355762 0.00137430544452518
"EU" 3.08860214306187e-05 2.99545688149794e-05
"EV" 0.00516518559453132 0.00420788661917288
"EW" 0.00210663193792805 0.00198864664114305
"EX" 0.00318896693706388 0.00294895809772988
"FA" 7.04245163693843e-05 6.8651318325301e-05
"FE" 5.92913630620049e-06 5.74536367168247e-06
"FF" 0.00155268612853456 0.00127451219148801
"FI" 0.000234976751827439 0.000220390429038373
"FS" 0 0
"FU" 3.36870951859639e-05 3.22414780359211e-05
"FY" 0.00468040825954511 0.00434395551254591
"GA" 0.00266036616558558 0.0023426200014011
"GC" 0.000461450898544995 0.000456431942634277
"GM" 0.000153500592963526 0.000134345403338145
"GU" 0.000114560633437258 0.000110870218174826
"GY" 8.20407954296318e-05 8.11536557280585e-05
"HA" 5.95530346306958e-05 5.81801658328311e-05
"HB" 0.000269417823536528 0.000241799941560122
"HE" 1.35595222499135e-05 1.24671212682977e-05
"HF" 1.98621096450161e-05 1.78411717575443e-05
"HI" 4.16023627141405e-05 4.01740008371707e-05
"HL" 0.00126037461079765 0.00100512426063391
"HQ" 0.000184145233601035 0.000174174591412129
"HT" 8.10487842029767e-05 7.44558340939217e-05
"HY" 0.000713297881427629 0.000582395331939789
"IA" 0.00964896932728918 0.00760278053151609
"ID" 8.56003356304068e-05 8.18304065758019e-05
"IF" 0.000444718710215436 0.000404570490560054
"IG" 0.0226791920487862 0.0152699200919802
"IH" 0.000178625046723591 0.000170854124318547
"II" 0.000358674903505768 0.000342125323539604
"IJ" 6.56781834280729e-05 6.30478049749296e-05
"IK" 8.26182436397873e-05 7.8520396089724e-05
"IL" 0 0
"IM" 0.000108716819087354 0.000104581692030219
"IO" 1.99824343769301e-05 1.94728680200775e-05
"IP" 1.38090397047406e-05 1.34669055572596e-05
"IQ" 0.0168437194246397 0.0153093546210519
"IU" 0.000469533518292015 0.000448110244421284
"IX" 2.25108736974846e-05 2.22614155232664e-05
"IY" 4.29453864091581e-05 4.08766162547872e-05
"JA" 0.00607515461992096 0.0057326461075415
"JB" 0.00025236602654044 0.00024704316146094
"JI" 3.75123843352185e-05 3.4103943335294e-05
"JM" 2.30799792015195e-07 2.17191778657042e-07
"JO" 1.85019582525549e-05 1.74889724465869e-05
"JS" 9.62168653953472e-06 9.44614553527642e-06
"JU" 2.24342868764804e-05 2.16686144272749e-05
"JW" 0 0
"JY" 0.000300535446891149 0.000277338478232477
"KA" 2.4733827485335e-05 2.43152103786758e-05
"KI" 0.0157138748512265 0.0129309260761975
"KM" 0.0041562780468484 0.00333866188102072
"KU" 4.75981027749644e-06 4.69835761252504e-06
"KV" 2.610791576932e-05 2.5661464384393e-05
