"Q" "C"
"AA" 0.00343105677657778 0.00316025731119687
"AC" 0.000547792909313147 0.000537062280213759
"AD" 2.22193093050279e-05 2.13518731481915e-05
"AE" 1.44399119165373e-06 1.4058632127629e-06
"AF" 0 0
"AH" 8.96720614481724e-06 8.46013235537449e-06
"AI" 1.54832913071253e-05 1.52654197466388e-05
"AM" 1.05170622991313e-05 1.0276968212056e-05
"AQ" 0.000151416999410952 0.000134889081961353
"AY" 0.00063110255471824 0.000457127194344523
"AZ" 2.96032659945116e-05 2.51009748665167e-05
"BA" 0.00598172079426079 0.00473368556975378
"BD" 3.31651264830573e-06 3.26456406248479e-06
"BF" 0.000527113931527286 0.00047598357511987
"BI" 1.0447466366861e-05 1.03094334381727e-05
"BK" 3.35875728935831e-05 3.2467920532666e-05
"BM" 3.88529480146139e-05 3.7838578771166e-05
"BP" 3.13988744009321e-05 3.01785478143563e-05
"BQ" 8.9323979913801e-05 7.79954917456687e-05
"BU" 9.72694884006174e-06 9.7182249284714e-06
"BV" 0.000416467968451193 0.000270659182285305
"CN" 0.00298059432984779 0.00196405830865225
"CO" 0.00060911056903541 0.000530964719893615
"CQ" 0.00196122966592981 0.00164123880628146
"CT" 1.17571632910592e-05 9.1653413858894e-06
"CU" 0.00151760620658719 0.00112523826402318
"DA" 0.00234167715858747 0.00198419316162578
"DB" 0.000212431148783838 0.000185466863108928
"DE" 4.26563613442439e-05 4.09931492417958e-05
"DI" 0.000290451552328944 0.000283437452026601
"DK" 4.15480214635793e-05 4.11936363319045e-05
"DM" 0.0222427595076045 0.0184474931009931
"DQ" 0.00464958787989253 0.00395474968734136
"DR" 0.00118928891771771 0.000981426379875339
"DS" 0.003697559877136 0.00277127419582689
"DT" 1.03883287252119e-05 1.02998898591811e-05
"DW" 1.37774185064358e-05 1.30241740049779e-05
"DX" 8.37123017295399e-05 7.06806143004917e-05
"DY" 9.61985804382055e-05 9.29991392427258e-05
"EA" 8.93748454249173e-05 8.60523181678942e-05
"EC" 5.34334042149644e-06 5.27109109010101e-06
"EE" 1.65838366273672e-05 1.61757485028425e-05
"EI" 2.34702040178026e-05 2.30462264819174e-05
"EN" 6.01662996522388e-06 5.62663288780189e-06
"EO" 0 0
"EP" 0.00126259556106627 0.00119509093524747
"EQ" 0.0215436408350436 0.0154026925049586
"ER" 0.000610602424798844 0.000539899920486689
"ES" 7.25137966267562e-05 7.08185573750126e-05
"ET" 0.00033971204293652 0.000323971163302924
"EU" 0.00363545965074927 0.00332288195035199
"EV" 0.000814692310355168 0.000728876037514824
"EW" 0.000297047490435555 0.000290426548499518
"EX" 0.000345180567643634 0.00033384038893091
"FA" 1.47937593035845e-05 1.46030774671733e-05
"FE" 0.000362200312583438 0.00031978478625159
"FF" 0.00165141628909567 0.00128453279112296
"FI" 0 0
"FS" 1.21838593373917e-05 8.31020642201037e-06
"FU" 0.000137667254873945 0.000123888498206127
"FY" 0.00293019573696386 0.00275655122212459
"GA" 0.00110651427762599 0.000996061703184594
"GC" 7.96593522789657e-06 7.94680001233285e-06
"GM" 0.000893597083648609 0.000664650589341408
"GU" 5.6497235694876e-05 5.50966595494566e-05
"GY" 0.000698978755526342 0.00068306126628015
"HA" 0.008099612241064 0.00730146474717795
"HB" 0.00118677487028715 0.000998971868431729
"HE" 0.031188401520719 0.0208549218585942
"HF" 0.000310193498730352 0.00025485685900773
"HI" 0.0114593976073071 0.00949295346832415
"HL" 0.0133634617436121 0.00940030272467618
"HQ" 2.02508748187926e-05 1.99374592596148e-05
"HT" 5.83569444911273e-05 5.43775850670287e-05
"HY" 0.000361515157744922 0.000302252238062724
"IA" 0.00692516546799259 0.00541439073192062
"ID" 1.44073556391084e-05 1.42372708791703e-05
"IF" 7.24637040896796e-05 7.03171608890961e-05
"IG" 0.0114948225165153 0.0089125018405998
"IH" 2.24940108095571e-05 2.20456246724911e-05
"II" 3.05784998891144e-05 3.01264758912554e-05
"IJ" 0.000877081601509131 0.000839268323855237
"IK" 0.000153756736679243 0.000150869594233933
"IL" 5.9629100548201e-06 5.86800961210544e-06
"IM" 4.49894299130589e-05 4.42573806923283e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.00124681939298223 0.00122060035314245
"IU" 0.000394184324960925 0.000388202678357825
"IX" 1.44399119165373e-06 1.44007344075522e-06
"IY" 1.39327509613535e-05 1.33607672523434e-05
"JA" 0.000225721422538652 0.000217274991604425
"JB" 0.000255940982707862 0.000248227366863381
"JI" 0.00124122521965988 0.000974232211617532
"JM" 4.20318277885899e-05 3.45915495944043e-05
"JO" 0.00132549841670331 0.0010504399159234
"JS" 4.01785461742929e-05 3.75148615166803e-05
"JU" 1.53514539751784e-05 1.49356326741818e-05
"JW" 3.00831498261194e-06 2.92037788713127e-06
"JY" 7.28500497552664e-05 6.83599754575615e-05
"KA" 1.2637494136357e-05 1.25102517832145e-05
"KI" 0.00168329308341957 0.00147686668349711
"KM" 0.00495650381926668 0.00416698035269728
"KU" 0.000344433394521922 0.000336191691395907
"KV" 4.17663206434901e-06 4.14227017246922e-06
"KY" 5.51524413478856e-06 5.50301025895511e-06
"LE" 1.59631166768938e-05 1.58798907040301e-05
"LI" 0.0111236237728151 0.00649522990290463
"LJ" 0.00890911798445419 0.00591120472259549
"LQ" 0.0061574346926084 0.00439116726093569
"MA" 0.00225547799028978 0.00186663001462365
"MC" 0.000159011485412591 0.000129349171115497
"ML" 9.20418048334351e-05 6.47501939372211e-05
"MM" 6.28905170634213e-05 6.20063708365492e-05
"MQ" 0.000132852137645668 0.000116071039978422
"MR" 4.35560764625051e-05 4.1497830939315e-05
