"Q" "C"
"AA" 0.000200068400929467 0.000183706889057345
"AC" 6.0067900594659e-06 5.94095555660155e-06
"AD" 6.24378714075102e-05 5.8492143591302e-05
"AE" 1.31908719166337e-06 1.24331961381849e-06
"AF" 2.74809831596535e-07 2.7009247412425e-07
"AH" 2.7961656945756e-05 2.51277697159656e-05
"AI" 1.53044675898049e-05 1.51467642740135e-05
"AM" 2.4101471605681e-06 2.30169121767928e-06
"AQ" 0.0129174668971537 0.00911549358750795
"AY" 0.000543538453588008 0.000390379121803347
"AZ" 4.86570748936694e-05 3.69267354022235e-05
"BA" 0.0131110507743917 0.0100795176396345
"BD" 4.44892962227489e-06 4.33215716241679e-06
"BF" 8.85460949993074e-05 8.04244805833525e-05
"BI" 2.01860312663637e-06 1.99174952703642e-06
"BK" 0 0
"BM" 4.20851627816408e-06 4.14037395546562e-06
"BP" 3.37429420189543e-06 3.30688796145464e-06
"BQ" 1.18422940699909e-05 1.10665556163253e-05
"BU" 1.35940938608126e-05 1.35819747024562e-05
"BV" 6.21760262862308e-05 5.24370344922082e-05
"CN" 0.000287167141317035 0.000242470257096077
"CO" 0.00157423624688879 0.00122487136043403
"CQ" 0.0227489246710517 0.0161933853558568
"CT" 5.20183324654093e-05 3.48550958024503e-05
"CU" 0.00349921567615043 0.00225536578750753
"DA" 0.00200640086638901 0.00146509584348953
"DB" 0.00164620309093381 0.00122928107105787
"DE" 9.78041309743527e-05 8.97799277531499e-05
"DI" 1.98795900530056e-05 1.97557023424115e-05
"DK" 3.38227485041889e-07 3.37351354507001e-07
"DM" 0.0592065088727445 0.0398299130408142
"DQ" 0.110215225014117 0.0668386296068087
"DR" 0.0142942684714545 0.00979553978451568
"DS" 0.0472560177139698 0.0270545439469378
"DT" 8.32304823577719e-06 8.24726343088616e-06
"DW" 6.51467845449481e-05 5.86709542867788e-05
"DX" 0.000598784615571428 0.000441361368836799
"DY" 0.000519082505474274 0.000487997018402079
"EA" 0.00078112091073431 0.000729789098754487
"EC" 2.04319371208744e-05 1.99171412990406e-05
"EE" 0.000119547148408572 0.000113965798105228
"EI" 0.000145808770569964 0.000141255024035148
"EN" 0 0
"EO" 7.75933642154923e-07 7.74122326275632e-07
"EP" 5.06918787311088e-05 4.92314584520378e-05
"EQ" 0.000920086073718745 0.000818403394672805
"ER" 2.73111841551171e-06 2.59776401913323e-06
"ES" 1.12099424957451e-06 1.10818283713864e-06
"ET" 7.76862570836724e-05 7.43774223050129e-05
"EU" 2.70165774394229e-05 2.58260658185468e-05
"EV" 0.000257409432195833 0.000224465220127547
"EW" 9.33650658217876e-06 9.22243959792584e-06
"EX" 3.13690867433454e-05 3.07025880409614e-05
"FA" 0.000113083964375077 0.000111626647680939
"FE" 1.17252194814521e-06 1.12348253941916e-06
"FF" 0.00234786671967036 0.00158362643047068
"FI" 1.25728331144641e-05 1.20749276280328e-05
"FS" 2.02359966902903e-06 1.8153347357153e-06
"FU" 3.03894233699675e-05 2.78378164656547e-05
"FY" 0.00168304433594204 0.00154852617702307
"GA" 0.001718908753289 0.00141056401550118
"GC" 1.71584305256535e-05 1.70948234196466e-05
"GM" 0.000563105828190775 0.000476455584604694
"GU" 7.65781105434955e-05 7.35061304862309e-05
"GY" 0.00011208779482539 0.00011049149301601
"HA" 0.000159710995557707 0.000154657801122219
"HB" 0.000285738604519018 0.00023776704482504
"HE" 1.03897123512216e-05 9.52672715283132e-06
"HF" 5.75390951519316e-05 4.81595382464786e-05
"HI" 1.72365360887182e-05 1.66920453493653e-05
"HL" 0.00297292836787172 0.00196015795740622
"HQ" 4.05773115273122e-05 3.9605879304523e-05
"HT" 5.89703934643994e-05 5.23265990904072e-05
"HY" 0.00126064034936251 0.000980821513963089
"IA" 0.00645750300253558 0.00460657439341531
"ID" 1.1690363153635e-05 1.14641850273509e-05
"IF" 2.27171168150244e-05 2.21356461879451e-05
"IG" 0.00264861665277211 0.00196733928317023
"IH" 0.000218850448798248 0.000211494142124429
"II" 0.000120377750655892 0.0001173439027641
"IJ" 1.54834392693754e-05 1.51678102104017e-05
"IK" 9.55825052831389e-06 9.43724136679488e-06
"IL" 0 0
"IM" 8.14165696384315e-06 7.97351150948676e-06
"IO" 3.29771797915842e-07 3.2775314380277e-07
"IP" 0 0
"IQ" 0.000100375877631443 9.91302873378043e-05
"IU" 0.000194134160336606 0.00019198267994082
"IX" 0 0
"IY" 1.0092152240357e-05 9.39748935975353e-06
"JA" 0.002015021652162 0.00190271004944298
"JB" 6.96479624102998e-06 6.82164681490009e-06
"JI" 2.09115366702185e-05 1.84881702797893e-05
"JM" 5.35656659991525e-06 4.80411921496358e-06
"JO" 4.09848821304639e-05 3.74018706294852e-05
"JS" 4.43356035539638e-06 4.35267166034225e-06
"JU" 3.09019755607777e-05 2.92107525099196e-05
"JW" 0 0
"JY" 0.00017945784430518 0.00016003225114466
"KA" 7.59852628096646e-06 7.46389563833762e-06
"KI" 0.00684883037204465 0.00530812056528903
"KM" 0.00703999448994255 0.00519514402987254
"KU" 8.62216107215504e-06 8.49082097219771e-06
"KV" 1.43409980151891e-06 1.4168182748656e-06
"KY" 2.23123092426179e-06 2.22338187234067e-06
"LE" 3.76543836426091e-05 3.73296017837896e-05
"LI" 0.00117716300930672 0.00075960368160737
"LJ" 0.000506266180618208 0.000386981436243886
"LQ" 0.00113597394046422 0.000802331519499177
"MA" 0.0143915934304902 0.0091649425834071
"MC" 0.000166161955221061 0.00012230345389615
"ML" 0.000119218618879921 7.51768191845372e-05
"MM" 7.82959007833468e-06 7.77683331001699e-06
"MQ" 2.5920235471991e-05 2.30020771201378e-05
"MR" 1.31908719166337e-06 1.29342757602567e-06
"MU" 0 0
"MW" 6.32242226941048e-07 6.0356162291364e-07
"MY" 0.000515396376800654 0.000470896250445597
"NE" 0.0182661809695307 0.0129165248076854
"NI" 0.0364301919129721 0.0250272376611531
"NM" 1.02165070861209e-05 9.90324157431286e-06
"NN" 0.0195152177371749 0.0136550196318645
"NQ" 6.75069591905564e-05 6.51680650763782e-05
"NS" 8.35060878083617e-05 8.03480595758899e-05
"NU" 9.21074334416785e-05 8.80943754701994e-05
"OA" 8.74657738211187e-05 8.38446736162744e-05
"OE" 1.53524739520486e-05 1.51832934352429e-05
"OI" 0.00014683020582961 9.5108088475667e-05
"OM" 6.86696847965244e-05 6.68733379953125e-05
"OO" 5.13249435652776e-05 3.45806797348241e-05
"OP" 0.000151308363484153 0.000121468656574193
"OR" 2.19847865277228e-06 2.16522884907167e-06
"OT" 4.44674553419011e-05 4.22646023920533e-05
"OU" 2.34343328921881e-06 2.28370041970392e-06
"OX" 0 0
"OY" 1.88441027380482e-06 1.8580794239354e-06
"OZ" 1.35905953080468e-06 1.2467475514433e-06
"PA" 2.73889367526631e-05 2.70948365647503e-05
"PC" 3.82971013753456e-05 3.80025604759016e-05
"PD" 0 0
"PE" 1.13257017018287e-05 1.12043204235237e-05
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 7.51426826292898e-05 7.13910716050752e-05
"PJ" 5.99116006503132e-06 5.80505435986726e-06
"PK" 1.26676394075175e-05 1.25663903131113e-05
"PM" 0.000113493900003673 0.000111044269020079
"PN" 6.14618964280486e-05 6.09869617738034e-05
"PO" 0.000152200631737617 0.000146562797974027
"PQ" 8.80691190281091e-05 8.79191507609597e-05
"PS" 3.38701847541401e-05 3.30616823364002e-05
"PT" 0.000544682111552597 0.00035637611185111
"PU" 0.000108715139627124 0.000107547328266815
"PW" 0.00223199122821417 0.0012320991726287
"PY" 0.0792410535623798 0.0400983217319563
"PZ" 2.02244034782652e-05 2.01016620167329e-05
"QA" 0.0108489752564777 0.00558494269520884
"QC" 3.29771797915842e-06 3.27425860241118e-06
"QD" 0 0
"QE" 0.000252723751390273 0.000212621195219813
"QF" 5.78456850716447e-06 5.7133641903664e-06
