"Q" "C"
"AA" 0.000354123906085408 0.000333060328225127
"AC" 9.23776911219023e-06 9.15408444937712e-06
"AD" 3.56794509744144e-05 3.36208546956708e-05
"AE" 0 0
"AF" 0 0
"AH" 1.39001270801058e-05 1.27403273729664e-05
"AI" 2.99490865528601e-06 2.970463739761e-06
"AM" 4.35849492453266e-06 4.18148228635805e-06
"AQ" 0.00147252779613045 0.00110403298918611
"AY" 0.000859712237420585 0.000655822579769781
"AZ" 4.88167324557808e-05 3.88748823596281e-05
"BA" 0.00378420773143708 0.00321629144852312
"BD" 1.89261588632658e-06 1.85028122115713e-06
"BF" 0.000163969000673528 0.000150949535673455
"BI" 5.24990342892932e-05 5.1847449846504e-05
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 2.09643605870021e-06 1.97864359249593e-06
"BU" 1.68010752688172e-06 1.67909800530255e-06
"BV" 3.66620621055397e-05 3.15851305618416e-05
"CN" 0.000203665831761729 0.000175157003321223
"CO" 0.00152758120721422 0.00124238601031924
"CQ" 0.0237125469207203 0.0178745722619328
"CT" 8.19756800618417e-05 5.91776247485655e-05
"CU" 0.00203477049597013 0.0014238774894794
"DA" 0.00289023867974651 0.00222880828296028
"DB" 0.00209298964572353 0.00165028727983827
"DE" 8.20031760536818e-05 7.60177800357509e-05
"DI" 1.56082487897041e-05 1.55235700328229e-05
"DK" 6.81533700401625e-06 6.79845269099024e-06
"DM" 0.00839275383788837 0.00662617841849769
"DQ" 0.00972980314089696 0.00795527096313319
"DR" 0.0141220262133711 0.0103660321282684
"DS" 0.00193466197663202 0.0014830627844823
"DT" 4.99151442547668e-07 4.9574884550189e-07
"DW" 3.78870524631357e-05 3.47891739015899e-05
"DX" 0.000535040316299678 0.000422611750176786
"DY" 0.000277512678748244 0.00026385066311647
"EA" 0.000336294686847001 0.00031822188913657
"EC" 1.41972501362392e-05 1.39010897086356e-05
"EE" 9.9204968465971e-05 9.53755997210684e-05
"EI" 7.75473510143584e-05 7.5533096631818e-05
"EN" 0 0
"EO" 1.67714884696017e-06 1.6738505879746e-06
"EP" 6.57526340413106e-05 6.41668491762895e-05
"EQ" 0.00149005270081842 0.00134516393034285
"ER" 4.26006077274714e-06 4.08156466434811e-06
"ES" 3.99711903904776e-06 3.95815787850106e-06
"ET" 4.33776313789346e-05 4.18657173545485e-05
"EU" 2.80985170286357e-05 2.71199968162463e-05
"EV" 0.000214311486382144 0.000191998420948189
"EW" 6.80485251949057e-06 6.73511631707441e-06
"EX" 3.1832664150225e-05 3.12797490993234e-05
"FA" 5.29808475917737e-06 5.25149368438415e-06
"FE" 2.77936598691316e-06 2.68028312345797e-06
"FF" 0.000711061524948756 0.000571131092657908
"FI" 1.40328154094561e-05 1.35590124163992e-05
"FS" 1.99660577019068e-06 1.79927546299686e-06
"FU" 1.18481053473463e-05 1.10630793962238e-05
"FY" 0.0027334443830006 0.00255710368153929
"GA" 0.015728704934995 0.0129258413112801
"GC" 2.47574409995863e-06 2.46976977423778e-06
"GM" 0.00011100991497478 9.69525338921762e-05
"GU" 1.93997262819007e-05 1.87301785403397e-05
"GY" 0.000218781407428432 0.000216149612688519
