"Q" "C"
"AA" 5.92547278367102e-05 5.64730564505688e-05
"AC" 8.24921253815159e-05 8.0771480625245e-05
"AD" 0.000104568004219143 0.000101066136071332
"AE" 1.30589705800048e-05 1.25870106081209e-05
"AF" 0.000118832800113808 0.000102950683530396
"AH" 0.000236786791099672 0.000222808029043458
"AI" 5.70034430079577e-05 5.62133811089482e-05
"AM" 2.75047781717185e-05 2.67268503070431e-05
"AQ" 6.48006996765462e-05 5.77831737510775e-05
"AY" 9.50768286132989e-05 8.17163011793954e-05
"AZ" 3.41350029306476e-05 2.95517326970564e-05
"BA" 0.00165532316842176 0.00144524566291488
"BD" 7.8474141936075e-05 7.59067235560704e-05
"BF" 0.00482123238903459 0.00421250991918287
"BI" 0.000261165258720817 0.000254160275746385
"BK" 9.12055088127323e-05 8.33923423675282e-05
"BM" 0.00448509684426712 0.00371818674790583
"BP" 0.000156078657920169 0.000147208375324492
"BQ" 0.00180826774429043 0.00142722689545733
"BU" 0.000211032150349638 0.000210211010243733
"BV" 0.00047515893115061 0.000381555190262853
"CN" 0.00130971974475149 0.00108233643922972
"CO" 0.00014739618768008 0.000134579462372152
"CQ" 0.00262094650614661 0.00234651722654207
"CT" 0.000137663186651345 0.000120361872745032
"CU" 0.00211512508726901 0.00174401618569259
"DA" 0.000152226788422523 0.000137918333464661
"DB" 0.00238723319036661 0.00214735086711169
"DE" 6.38491711752537e-05 6.16934195290259e-05
"DI" 0.0086095722659489 0.00751667528895556
"DK" 0.00180153186996929 0.00165042969860306
"DM" 0.00559298225076456 0.00483586868072521
"DQ" 0.00143614025717668 0.00124954233347036
"DR" 0.00270690691984291 0.00240920231762019
"DS" 0.00296094215554444 0.00240404369545008
"DT" 3.74675119064974e-05 3.70018293290296e-05
"DW" 0.0001160427232662 0.000110629331366483
"DX" 6.60676168576846e-05 5.89110636603418e-05
"DY" 0.000519110732561802 0.000505246361764024
"EA" 0.000104533075969698 0.000101237228475624
"EC" 6.67754618093219e-05 6.59979733082397e-05
"EE" 5.15745436738665e-05 5.06004979002051e-05
"EI" 0.000120492279643545 0.000118455230347613
"EN" 0.000130309007027661 0.000103792669296308
"EO" 0 0
"EP" 0.00146404179467377 0.00139886130717887
"EQ" 0.0146690310927556 0.010707893519717
"ER" 0.000826050171521834 0.000755129229450462
"ES" 0.000618997508817728 0.000602456233411707
"ET" 0.00290248833090501 0.00271366039791126
"EU" 0.00646364178263085 0.00527105762928329
"EV" 0.0010509908756305 0.000946018603667875
"EW" 0.00142855360692342 0.00138446830616557
"EX" 0.00292832127041001 0.00281691451002664
"FA" 0.000197136907069187 0.00019279627350591
"FE" 0.00567474174197505 0.00461258677534184
"FF" 0.00103468452355608 0.000841740864950545
"FI" 2.85017215039788e-05 2.80313873777698e-05
"FS" 0 0
"FU" 0.00537383947393747 0.004046263169688
"FY" 0.000782486043126394 0.000750510479450962
"GA" 0.000274368987209378 0.000252284608678797
"GC" 0.000323780809108123 0.000321214717807316
"GM" 0.0158600092916153 0.0116837507620323
"GU" 0.000925438762642866 0.00088811667394504
"GY" 0.0223549369086975 0.019194454393852
"HA" 0.0120892184682605 0.0105824471522074
"HB" 0.00219242090783631 0.00176263765858234
"HE" 0.000806875483260619 0.000665024600054942
"HF" 0.0288522275135948 0.0198193771917464
"HI" 0.00441603066174589 0.00372073694001023
"HL" 0.0191897186823455 0.0122809977501251
"HQ" 2.20658489063062e-06 2.17250661889728e-06
"HT" 0.000159639473393024 0.000149304925710121
"HY" 0.000305158600410634 0.000275704004739072
"IA" 0.00168296743173135 0.0014143846555056
"ID" 0.000482355722011609 0.000470575402613743
"IF" 0.000126513439411038 0.000122155149984354
"IG" 0.000518962148363652 0.00046284490581205
"IH" 0.000386700001185636 0.000369937710639303
"II" 0.000188053998938706 0.00018435662542053
"IJ" 0.00066202993120973 0.000607449369584067
"IK" 4.40680463253827e-05 4.26127061790436e-05
"IL" 0 0
"IM" 0.000340767832062855 0.000328395469296917
"IO" 0 0
"IP" 4.8935263382216e-05 4.8280050513113e-05
"IQ" 0.000756809582446607 0.000741067002469353
"IU" 0.000200529023106358 0.000197804518889659
"IX" 0 0
"IY" 6.41288733839524e-05 6.1790940371209e-05
"JA" 0.00355681175874557 0.00330652231611813
"JB" 0.00566063708025857 0.00478293688811426
"JI" 0.000617072385066102 0.000464845891688765
"JM" 0.0026070212169545 0.00167955694095585
"JO" 0.0053823846793498 0.00384767726623664
"JS" 0.000286358395388916 0.000249505876118219
"JU" 4.56027544063662e-06 4.42663933476426e-06
"JW" 0 0
"JY" 0.000368703768350953 0.000348590104157259
"KA" 1.14006886015915e-05 1.1130667276458e-05
"KI" 0.000765891979158519 0.000689285133181211
"KM" 0.00662958389221629 0.00582835766748151
"KU" 0.00522056834427025 0.00459580977543265
"KV" 0.000113117455670946 0.000110290724562064
"KY" 0.000122557402467109 0.000121494069591118
"LE" 0.000750179539242123 0.000736990738644931
"LI" 0.00227101461127483 0.00159617598229018
"LJ" 0.00672802845368285 0.00467935664371987
"LQ" 0.0166601435115791 0.0102054791361297
"MA" 0.000866638652526987 0.000747903247686382
"MC" 6.8390254529968e-05 5.94871824137277e-05
"ML" 0.000154369499183661 0.000102156192984763
"MM" 0.00256581773802295 0.00238179109399637
"MQ" 0.0142875066639055 0.0116079165426045
"MR" 0.000793957568055938 0.00065680956871503
"MU" 4.4932125665096e-05 4.36586023138782e-05
"MW" 0.000147929625128744 0.000115909804153209
