"Q" "C"
"AA" 0.000131887507761355 0.000127358591352199
"AC" 1.47959400947366e-05 1.45879345816372e-05
"AD" 6.72725553098914e-05 6.59608512820613e-05
"AE" 3.24464633354964e-06 3.20249158535688e-06
"AF" 3.02279017399069e-05 2.82831918268308e-05
"AH" 4.68252279051225e-06 4.54749779422379e-06
"AI" 7.75344058926148e-06 7.67856091711192e-06
"AM" 4.43134568702382e-06 4.37870282066527e-06
"AQ" 1.04253127995157e-05 9.95554892935917e-06
"AY" 3.488696033275e-05 3.00809443421367e-05
"AZ" 9.7994010668049e-06 9.17282483039243e-06
"BA" 0.00019886670463467 0.000180247204265294
"BD" 2.65421477533537e-05 2.61107537424982e-05
"BF" 0.00223202442758894 0.00202663388654282
"BI" 2.10608746950085e-05 2.07433292838219e-05
"BK" 6.11004829045063e-06 5.7402705097437e-06
"BM" 0.00028803858026615 0.000264826792125651
"BP" 3.30539490908753e-05 3.09597642909862e-05
"BQ" 0.000356674512290823 0.000263150803101361
"BU" 6.84980892638258e-06 6.84276730130571e-06
"BV" 0.00302227538982159 0.00201228266493883
"CN" 0.00712589721779135 0.00519287399761549
"CO" 3.56392729646661e-05 3.37231298705441e-05
"CQ" 0.000857353796991184 0.000800163427100688
"CT" 0 0
"CU" 0.00343858550397007 0.00296649908535038
"DA" 2.77652807599258e-05 2.61658805230592e-05
"DB" 5.01303993326881e-05 4.76511560594378e-05
"DE" 3.03215633358398e-05 2.98408995875655e-05
"DI" 0.0162620592256933 0.0137264753540129
"DK" 0.00071630326245139 0.000686535082458426
"DM" 0.00328857606893465 0.00309092410994898
"DQ" 0.000274383677349095 0.000260995536285731
"DR" 7.12507138564717e-05 6.64200674122189e-05
"DS" 0.000116806997554144 0.000105842480323733
"DT" 0 0
"DW" 1.36329677880237e-05 1.33246575797746e-05
"DX" 9.12839357773338e-06 8.53567086716847e-06
"DY" 3.77243510352615e-05 3.72356089299866e-05
"EA" 1.08875910303555e-05 1.07173630598641e-05
"EC" 1.70163674381715e-05 1.69288715678765e-05
"EE" 6.38327272510022e-06 6.32378623656005e-06
"EI" 4.547927467298e-06 4.51565755169333e-06
"EN" 2.37277832040591e-05 1.99875859675443e-05
"EO" 8.11161583387411e-06 8.05918954845882e-06
"EP" 0.000449044156127116 0.000428910309070198
"EQ" 0.0515356730158771 0.0300396717976611
"ER" 0.000412592451426449 0.000362877446204487
"ES" 8.67326846859043e-05 8.50697453420623e-05
"ET" 0.000828474274100027 0.000786356782799195
"EU" 0.0173567129569412 0.0129412125808685
"EV" 0.000585989749687251 0.000543286633000756
"EW" 0.000421594587072011 0.000411037299043575
"EX" 0.000266899613630126 0.000258749204863145
"FA" 1.18970365563487e-05 1.17493548098623e-05
"FE" 0.00668808527362991 0.00489448983533188
"FF" 0.000281795633578263 0.000258953028331952
"FI" 1.28072230603055e-05 1.27152087611067e-05
"FS" 0 0
"FU" 0.0015619454072088 0.00132342934928589
"FY" 0.000277189886876706 0.000271670530114546
"GA" 0.000166258028436448 0.000160490265976137
"GC" 1.05111558713116e-05 1.04875069099152e-05
"GM" 0.00453511301024871 0.0032121864417366
"GU" 0.000479854633806034 0.00046912132106105
"GY" 0.00627710986416211 0.00584425432128512
"HA" 0.00919466630931508 0.00782199399857016
"HB" 0.000396334033640045 0.000351265238085075
"HE" 0.000630488039365756 0.000475234891032118
"HF" 0.000986830645745671 0.000738800294094121
"HI" 0.0142880966152161 0.00976384276559624
"HL" 0.00184859150530633 0.00151535195143378
"HQ" 2.31760452396403e-06 2.30213118715643e-06
"HT" 0.000263088218184027 0.000252711298660329
"HY" 0.000115866858512845 0.000106627488306025
"IA" 0.00190955952110923 0.00172119496864482
"ID" 2.88606162170883e-05 2.85988474488038e-05
"IF" 7.90441990532388e-05 7.7002828768415e-05
"IG" 7.32736343314173e-05 6.78213631901841e-05
"IH" 3.06123918168509e-05 3.01225985834634e-05
"II" 5.4679248101884e-05 5.42688831785594e-05
"IJ" 0.00021074358720527 0.000193495534633708
"IK" 4.58380303157017e-05 4.45590291190723e-05
"IL" 0 0
"IM" 3.4855347389376e-05 3.42773565291116e-05
"IO" 8.11161583387411e-07 8.0590880543387e-07
"IP" 0 0
"IQ" 0.000153336885791474 0.000151363787885249
"IU" 1.71837796500524e-05 1.70409219614054e-05
"IX" 0 0
"IY" 1.68928963014692e-05 1.6506955366653e-05
"JA" 0.00030456774356036 0.000295363280717088
"JB" 0.00147331065461763 0.00134260741355507
"JI" 0.000465878685992283 0.000342962904355989
"JM" 0.000891086339537411 0.000546808125550818
"JO" 0.0122737349493698 0.00754808893911262
"JS" 0.000311168907872393 0.000241906418745226
"JU" 9.89907480397836e-06 9.75079938254396e-06
"JW" 0 0
"JY" 0.000116278875956215 0.000112915778968904
"KA" 2.85340350830757e-05 2.82320153646002e-05
"KI" 0.000137052520008086 0.000131568638353069
"KM" 0.00135042301210817 0.00125391903493932
"KU" 0.000472879360632757 0.000444707944407743
"KV" 4.48878087539003e-06 4.44356968770876e-06
"KY" 8.53854298302538e-07 8.51665402524353e-07
"LE" 2.95811985809205e-05 2.94099661661628e-05
"LI" 0.000818868105267006 0.000620018663002879
"LJ" 0.00331738850479143 0.00240132115610838
"LQ" 0.00233517014494002 0.00181216775821715
"MA" 0.000200854827510229 0.000188901837963201
"MC" 2.73330180174713e-05 2.47409801698921e-05
"ML" 1.99011692818651e-06 1.68312556554082e-06
"MM" 0.000424455712306199 0.00040796060799104
"MQ" 0.00047198549648136 0.000414965443157614
"MR" 9.82258187802117e-05 8.7211939569164e-05
"MU" 4.43134568702382e-06 4.37489701413411e-06
"MW" 0.000448613755491396 0.000324286387551509
"MY" 0.0342262744970334 0.0211716290846001
"NE" 0.0152533403160638 0.0119566105382758
"NI" 0.000328435442791147 0.00031187538642216
"NM" 0.000670892037371951 0.00055503097549675
"NN" 0.000373880893598033 0.000347513590839315
"NQ" 0.0489708708157025 0.0312585172805211
"NS" 4.79937270170885e-06 4.75245720401962e-06
"NU" 0.00174651394020227 0.00157123318469361
"OA" 1.11626602541593e-05 1.09984171246964e-05
"OE" 0.0012491657697806 0.00116783314120667
"OI" 0.000107752646530873 9.24355166802915e-05
"OM" 0.00468472729740259 0.00424267408382875
"OO" 0.000100160461171872 7.89344204266158e-05
"OP" 0.000442452275197686 0.000406365988861878
"OR" 4.52328137842359e-05 4.26557709150001e-05
"OT" 0.00349886671061891 0.00279517363502609
"OU" 0 0
"OX" 1.90684209613951e-05 1.79147515576844e-05
"OY" 0.00134066213251478 0.0012011455406492
"OZ" 2.77288505711608e-05 2.36882123123721e-05
"PA" 0.000345302333954759 0.000323808725970025
"PC" 0.0171788629748702 0.0141979861677931
"PD" 0 0
"PE" 0.000586002233466999 0.000556151771165898
"PF" 3.60516259283294e-06 3.56991558288388e-06
"PG" 0 0
"PH" 3.31933128751882e-06 3.26231143093663e-06
"PI" 2.34303220156034e-06 2.3048007951017e-06
"PJ" 2.70387194462471e-06 2.68467352654526e-06
"PK" 2.9964551028117e-06 2.98845311771527e-06
"PM" 3.90771794711052e-05 3.88375169834098e-05
"PN" 7.36910829512727e-05 7.28655289599571e-05
"PO" 0.00371085291832403 0.00352259282124854
"PQ" 2.17366106974865e-05 2.16568356401266e-05
