"Q" "C"
"AA" 0.000151666153084616 0.000145002708479081
"AC" 0.0006017662286605 0.000580428914889423
"AD" 0.000141668423507785 0.000137910065323199
"AE" 6.1794562596003e-05 5.95836643661863e-05
"AF" 0.000478933822590387 0.000405363831726167
"AH" 0.000317827697280961 0.000300652086242846
"AI" 0.000244923977462668 0.000240024542459696
"AM" 0.000122301040914599 0.000119085464602972
"AQ" 0.000306953436928631 0.000283392624871276
"AY" 4.68554887898876e-05 4.15459962034805e-05
"AZ" 7.82114752848853e-05 7.04318748139191e-05
"BA" 0.000479458587767419 0.000434923872877831
"BD" 0.000310886152915547 0.000298687226149086
"BF" 0.0124079355160045 0.0108709466123873
"BI" 0.00127508544994072 0.00123084974893444
"BK" 0.000380454441006773 0.000342180094822155
"BM" 0.00600485510054405 0.00493469364721651
"BP" 0.000880701218996327 0.000820183315092536
"BQ" 0.00336877782661604 0.00261174253061401
"BU" 0.000339234982307849 0.000337957454392227
"BV" 0.00105206937457101 0.000852260558465701
"CN" 0.00342510404125629 0.00286863359182361
"CO" 0.000159803320127907 0.000149034775573373
"CQ" 0.00096333138656947 0.000888447121814742
"CT" 0 0
"CU" 0.00362743799781606 0.00311759532432159
"DA" 0.000143921883363036 0.000133770671665109
"DB" 0.000320325070287199 0.000296322586700151
"DE" 0.000358223488416071 0.000348363567595928
"DI" 0.0153849126617447 0.0129574086196068
"DK" 0.00257483736666931 0.00232020647615843
"DM" 0.00585406339422533 0.00528995209500118
"DQ" 0.00108606977560631 0.000992855988929684
"DR" 0.000268324039759702 0.00024691885737318
"DS" 0.00115929023352637 0.00100806740029373
"DT" 1.42482925876519e-05 1.39852062016525e-05
"DW" 0.000124869723719468 0.000119783626526179
"DX" 8.42401428258202e-05 7.74082724428542e-05
"DY" 0.00050193322763646 0.000489981922981687
"EA" 0.000174827059296178 0.000169930853719026
"EC" 3.8235558330121e-05 3.78163467838954e-05
"EE" 2.57968709912951e-05 2.5397430064013e-05
"EI" 9.96683663624425e-05 9.78819972800704e-05
"EN" 0.000178477266577712 0.000137806867693058
"EO" 0.000139988077029262 0.000138887397826803
"EP" 0.00459651740354485 0.00431260443842348
"EQ" 0.0270969159638531 0.0201039102106717
"ER" 0.00154361885811611 0.00137724352079633
"ES" 0.000486555372436483 0.000466850071723581
"ET" 0.00384842395391462 0.00353421312324609
"EU" 0.0179010282806709 0.0142231546116757
"EV" 0.00281301586675657 0.00249355109121292
"EW" 0.00130762924410208 0.00124822027678331
"EX" 0.00259484754769648 0.00245712153302715
"FA" 0.000419957315871439 0.000407560979301245
"FE" 0.0102428887447867 0.00825230494984488
"FF" 0.00136073214111455 0.0011856101745299
"FI" 2.387945650357e-05 2.35168436977603e-05
"FS" 5.10554588568773e-05 4.22257917585655e-05
"FU" 0.00806672515876749 0.00608492695152697
"FY" 0.000424480158497002 0.000411516205628365
"GA" 0.000507519816129172 0.000478893874262197
"GC" 0.000143716514599199 0.000142253549974691
"GM" 0.00596815149982729 0.00461866199490947
"GU" 0.00307712810332268 0.00293774648866063
"GY" 0.0327720645601663 0.0274708493552076
"HA" 0.0242137134560677 0.0207045503703587
"HB" 0.0023735538294125 0.00200099996409059
"HE" 0.00151761645246388 0.00125854274157129
"HF" 0.00250479113874325 0.00182844363292085
"HI" 0.00717958754339238 0.0058666241242004
"HL" 0.00996679641909013 0.00729682074964181
"HQ" 9.90357327046863e-06 9.73588554389272e-06
"HT" 0.000317703601118248 0.000300025607319847
"HY" 0.000104775252375189 9.70858193323126e-05
"IA" 0.00472469746289526 0.00414697153571613
"ID" 0.000376477587909087 0.000365209570096947
"IF" 0.00072535069125641 0.000688408235851845
"IG" 0.00038497058533055 0.000351816438526849
"IH" 0.000608273088582862 0.00057757578144502
"II" 0.000500784296514266 0.000489162030176026
"IJ" 0.00391373620121445 0.00344909381759128
"IK" 0.000939800787569757 0.000887335820302556
"IL" 5.92629286482714e-05 5.70543765497296e-05
"IM" 0.00206791096130262 0.00196389810125408
