"Q" "C"
"AA" 0.00015266042591387 0.000143781193132568
"AC" 2.58448309422822e-05 2.55298642382897e-05
"AD" 4.40481810666284e-05 4.17817752861762e-05
"AE" 0 0
"AF" 0.000127920596099924 0.000117825501564846
"AH" 7.66628247924746e-05 7.04017954971418e-05
"AI" 3.14657486071779e-05 3.1117321188617e-05
"AM" 2.01032192294626e-05 1.93512694662051e-05
"AQ" 0.000263029493622595 0.000215308466605186
"AY" 0.000183853064552653 0.000148754994976875
"AZ" 4.38621022027224e-05 3.49355584238102e-05
"BA" 0.00104318095519085 0.000875041800994144
"BD" 7.43758866236497e-05 7.17180487421093e-05
"BF" 0.0155190100969826 0.0131741850496615
"BI" 0.000216414828765435 0.00020926985144245
"BK" 1.11055583319451e-05 1.03622397941141e-05
"BM" 0.00173116266892311 0.00158085404362311
"BP" 9.80038224573852e-05 9.36546845844838e-05
"BQ" 0.000688529271394141 0.00057657113489969
"BU" 1.95980441151973e-06 1.95540037848283e-06
"BV" 0.00212060619405992 0.00165520095686059
"CN" 0.00421770152969 0.00337825997967865
"CO" 0.000115895592728058 0.000100527400249173
"CQ" 0.00232604247463709 0.0019478837336134
"CT" 7.15272301986433e-05 5.82567194465259e-05
"CU" 0.00746707128629127 0.00554802548513854
"DA" 4.19766568697633e-05 3.59069311122243e-05
"DB" 0.00236822517176806 0.00198536745007594
"DE" 0.000232400796843415 0.000220788651109958
"DI" 0.00148075534376651 0.00138438219629572
"DK" 0.000409535305426247 0.000393257674224278
"DM" 0.0294870462242353 0.0228972863247453
"DQ" 0.00213089160649998 0.00174268576524662
"DR" 0.00214971973766643 0.00177747633772062
"DS" 0.00281165108847035 0.00209098427865426
"DT" 1.51439431799252e-06 1.50084812864681e-06
"DW" 4.72401153923386e-05 4.40439030615019e-05
"DX" 9.81129466658587e-05 8.17267429541743e-05
"DY" 0.000167212623787883 0.000161401277092381
"EA" 4.10979022404816e-05 3.92976297551269e-05
"EC" 2.95562962431614e-05 2.91496270202965e-05
"EE" 1.76829574630674e-05 1.72171346108568e-05
"EI" 7.97244475405395e-06 7.82976776015919e-06
"EN" 9.52260861357856e-05 8.18548330330184e-05
"EO" 2.71351122241467e-05 2.69768595447333e-05
"EP" 0.000128310783957499 0.000124006099629734
"EQ" 0.0230014366080505 0.0162444519130335
"ER" 4.35788162210819e-05 4.05050220426599e-05
"ES" 2.79717513627076e-05 2.75647610984329e-05
"ET" 0.000336952040679061 0.000319858959761584
"EU" 0.00442875293716309 0.00378655990598041
"EV" 0.000313954652652288 0.000281206770098347
"EW" 9.66646131308976e-05 9.49482759525529e-05
"EX" 9.28030576929369e-05 9.04671365509198e-05
"FA" 7.6429590802839e-06 7.47205268412311e-06
"FE" 0.00167991695964534 0.00140031163052009
"FF" 0.00150669579903427 0.00113450539014161
"FI" 9.0045067556312e-06 8.81833225067372e-06
"FS" 0 0
"FU" 0.0133214233147122 0.0100676101725392
"FY" 0.00125098112002044 0.00117358045598013
"GA" 0.00196234161632963 0.00171480409118875
"GC" 1.02910217365185e-05 1.02201461852965e-05
"GM" 0.00795014755677385 0.00550718974214272
"GU" 0.00135088857570049 0.00128739738688642
"GY" 0.0111131992232487 0.0102483156913738
"HA" 0.00577148269154861 0.00516829667100175
"HB" 0.00234792718219011 0.00179435381330846
"HE" 0.000426296309549785 0.000350056568978607
"HF" 0.0192926666017554 0.0135536845131051
"HI" 0.00113844480561544 0.000986923160089183
"HL" 0.0266412280316441 0.014167093493368
"HQ" 0 0
"HT" 0.00100729283642557 0.00091556865880059
"HY" 0.000278832352018471 0.000240092011055569
"IA" 0.00440340812528815 0.00337803360530847
"ID" 9.52321042276065e-06 9.32977444211363e-06
"IF" 2.99678073291267e-05 2.91885284772688e-05
"IG" 0.000394169880878573 0.000336911351030159
"IH" 0.000114374751346729 0.000108824196434069
"II" 2.1623705399386e-05 2.11811558496695e-05
"IJ" 0.000108799651293199 0.000102297694175091
"IK" 1.31172906854032e-05 1.28570767092445e-05
"IL" 3.12343828085957e-06 3.06792565054837e-06
"IM" 4.54681707037985e-05 4.3911805745886e-05
"IO" 0 0
"IP" 1.33062950792017e-05 1.31609990900681e-05
"IQ" 3.73744122827945e-05 3.6940699687397e-05
"IU" 3.35794793666288e-05 3.32337847984461e-05
"IX" 2.63026381546069e-06 2.61347218204023e-06
"IY" 0.000121546429848269 0.000115068114959556
"JA" 0.00178767155734199 0.00163892678024817
"JB" 0.00133528548378239 0.00120599718370735
"JI" 0.000120064072866649 8.64700353100842e-05
"JM" 0.000494261712858752 0.000330866838797381
"JO" 0.0115003456585021 0.00818852854081701
"JS" 4.38473052166205e-05 3.97760798497577e-05
"JU" 2.89601948232448e-05 2.7756599554505e-05
