"Q" "C"
"AA" 4.96818548085871e-06 4.78329345470857e-06
"AC" 2.02091564642724e-05 2.00052794380206e-05
"AD" 0 0
"AE" 3.24822971480543e-06 3.18671939140198e-06
"AF" 0.000110776266863258 0.000100871251834545
"AH" 3.63801728058208e-05 3.49564664576636e-05
"AI" 0 0
"AM" 1.31499166287707e-05 1.29548482162686e-05
"AQ" 8.0207418947392e-05 7.31093716886603e-05
"AY" 0 0
"AZ" 2.61482492041837e-05 2.33995580568848e-05
"BA" 0.00015515869412747 0.000137717512396946
"BD" 2.19481077257339e-05 2.15704777044347e-05
"BF" 0.00251808646348104 0.00222588009305072
"BI" 3.51801323834066e-05 3.45681665808406e-05
"BK" 6.82128240109141e-06 6.34671596012073e-06
"BM" 0.00194127017364987 0.00172004874328035
"BP" 0 0
"BQ" 0.000327542494948532 0.000260825670604095
"BU" 2.65925494539024e-05 2.65686758564371e-05
"BV" 0.000172525962815014 0.000130277980295658
"CN" 0.00142605226568309 0.00113427108950391
"CO" 1.79507431607669e-06 1.69278061848362e-06
"CQ" 0.00017460168979156 0.000162604742396673
"CT" 0 0
"CU" 0.000278124370991037 0.000239795934695963
"DA" 2.7891465817796e-05 2.62301287495124e-05
"DB" 9.74240188087391e-05 9.13036710435177e-05
"DE" 2.97461412941712e-05 2.92260456524467e-05
"DI" 0.00256800156171753 0.00234728515218011
"DK" 0.000636743303073761 0.000603613936294588
"DM" 0.00236728529261815 0.00213805969616335
"DQ" 0.000659946864987996 0.000596617332199098
"DR" 0.000156090142503309 0.000144879760735806
"DS" 0.000458383755567138 0.000388449845528332
"DT" 1.58215855691981e-05 1.57262276852708e-05
"DW" 4.54752160072761e-06 4.41115776768208e-06
"DX" 1.9299238012844e-05 1.77897253747439e-05
"DY" 0.000141560539352871 0.000139441108135286
"EA" 1.89480066696984e-05 1.85680827762187e-05
"EC" 0 0
"EE" 0 0
"EI" 1.49701556591052e-05 1.48553704391068e-05
"EN" 5.96230609873175e-05 4.88800492528838e-05
"EO" 0 0
"EP" 8.67380927088267e-05 8.40902313494255e-05
"EQ" 0.0497562760694462 0.02776354573624
"ER" 0.000130949021982027 0.000120872014479707
"ES" 2.03616033124098e-05 2.00931014225911e-05
"ET" 0.000389215828647687 0.000372876096131453
"EU" 0.00324780486397463 0.00264546682441026
"EV" 0.000363189305490349 0.000337352081438774
"EW" 0.000137700301650946 0.000135324717294769
"EX" 0.000112129544107315 0.000109613037772981
"FA" 1.73397762487852e-05 1.70431113348403e-05
"FE" 0.0138619331981995 0.00984676634435178
"FF" 0.00113635875231728 0.000955985087139479
"FI" 1.51584053357587e-06 1.50398149188397e-06
"FS" 6.201165819174e-06 4.99591362067484e-06
"FU" 0.00602009128931452 0.00448544717182027
"FY" 0.000610818141644565 0.000590117888000923
"GA" 0.000221835827436482 0.00020831195484453
"GC" 3.59014863215337e-06 3.57899434532294e-06
"GM" 0.0114407860722747 0.00741359109607013
"GU" 0.000153483801796961 0.000150001059395584
"GY" 0.0133300115093734 0.0120667689329172
"HA" 0.0207683232334629 0.0172900340056406
"HB" 0.00114661082949202 0.000937621082283905
"HE" 0.00353405187719933 0.00251883237514081
"HF" 0.000726939950662722 0.000543230740648287
"HI" 0.0124106288084507 0.00904797067742593
"HL" 0.00992493467445577 0.00664552623227252
"HQ" 0 0
"HT" 2.5568129041713e-05 2.46004453636133e-05
"HY" 9.61188385219626e-05 8.92911704436147e-05
"IA" 0.00174799567764643 0.00151584319817868
"ID" 9.17147213592121e-06 9.05961516932974e-06
"IF" 5.60958770223851e-05 5.49281590670264e-05
"IG" 7.67853615739018e-05 7.04813587086217e-05
"IH" 3.30441750727643e-05 3.21118845188593e-05
"II" 9.33447710391776e-05 9.23998564656568e-05
"IJ" 7.56467965266725e-05 7.09219782240726e-05
"IK" 1.93897346069233e-05 1.90201380389089e-05
"IL" 0 0
"IM" 0.000122157562657491 0.000119305204335952
"IO" 0 0
"IP" 6.26516133846373e-06 6.22905873971279e-06
"IQ" 8.50413976306871e-05 8.42413735302841e-05
"IU" 1.58215855691981e-05 1.57069174982112e-05
"IX" 1.39209844920233e-06 1.38704743879823e-06
"IY" 1.36425648021828e-05 1.33243450409014e-05
"JA" 0.0005299438536979 0.000502364507642602
"JB" 0.00205298820453551 0.001824516170246
"JI" 0.000122443830471285 8.89075881278286e-05
"JM" 0.0013631673550054 0.000793910500309617
"JO" 0.0761971685339318 0.0370401369962522
"JS" 5.96157780399152e-05 5.0912638094413e-05
"JU" 1.2402331638348e-05 1.2189747937709e-05
"JW" 0 0
"JY" 0.000123074691419306 0.000118189470258475
"KA" 2.32098752832279e-05 2.2918393246736e-05
"KI" 0.000364099809603306 0.000337466734926314
"KM" 0.000799593329122908 0.000732746755305886
"KU" 0.00259310903938217 0.00236069717962262
"KV" 1.76522779042641e-05 1.74231008422892e-05
"KY" 1.97282187090389e-05 1.96591796921964e-05
"LE" 9.15370123861872e-05 9.07819335052472e-05
"LI" 0.00401075589968132 0.00280013406418484
"LJ" 0.0151694225773219 0.00976021675823222
"LQ" 0.016320989649737 0.0099227892097698
"MA" 0.000404718026199865 0.000365197200671438
"MC" 2.69746485874288e-05 2.44355415607553e-05
"ML" 4.94106150906002e-05 3.46785535185895e-05
"MM" 0.000926837720101624 0.000878754094124369
"MQ" 0.000498674132270477 0.000425821871445361
"MR" 0.000222129768904455 0.000191088787440646
"MU" 2.88009701379415e-05 2.83712872241001e-05
"MW" 0.000115566376220269 9.0804533277999e-05
"MY" 0.0481634433690311 0.0289062599731122
"NE" 0.0624142706592149 0.038562836055748
"NI" 0.000901937678940259 0.000827139443344759
"NM" 0.00243199548521855 0.00202247088348318
"NN" 0.00160507588673755 0.00137581223697542
"NQ" 0.013927054347303 0.0107801671173637
"NS" 1.31178507713296e-06 1.29749214450554e-06
"NU" 0.00152345763094782 0.00138438273299224
"OA" 0 0
"OE" 0.00131734917070105 0.00120658604423698
"OI" 0.00032665345470458 0.000264005549870883
"OM" 0.00435397233410737 0.00392479043639329
"OO" 0.000301288714351423 0.000196335000538255
"OP" 0.000681102135591083 0.000597239240706287
"OR" 3.35379718053661e-05 3.11304836175924e-05
"OT" 0.000471510756334651 0.000405986993710145
"OU" 4.16856146733363e-06 4.08930965200819e-06
"OX" 2.99836589058963e-05 2.84516225420486e-05
"OY" 0.000270101391389283 0.00025070396803249
"OZ" 9.14918036336863e-05 7.55699495763603e-05
"PA" 0.000174159984679223 0.000164033399277527
"PC" 0.00467166769312921 0.00419983047408786
"PD" 0 0
"PE" 0.000149611273093921 0.000144119433335287
"PF" 1.36425648021828e-05 1.34871314685744e-05
"PG" 0 0
"PH" 0 0
"PI" 1.66523827847157e-05 1.63368051841681e-05
"PJ" 5.24714030853186e-06 5.2016883759434e-06
"PK" 9.10644049870013e-06 9.08069569064478e-06
"PM" 6.50902421922742e-05 6.46735797564378e-05
"PN" 0.000117499597411809 0.00011653620757668
"PO" 0.00116259916165727 0.00110640912177185
"PQ" 4.49067758071851e-05 4.47888861511576e-05
"PS" 0.00152891976021493 0.00134922366128012
"PT" 0.000580293826788911 0.000412550330182241
"PU" 5.45702592087312e-06 5.42094904785147e-06
"PW" 9.85131531785931e-05 8.30772167032937e-05
"PY" 0.03182125254621 0.0221879524390346
"PZ" 1.23546702135056e-05 1.23231964365359e-05
"QA" 0.000430922057511865 0.000360271922666938
"QC" 3.4106412005457e-05 3.29404976883021e-05
"QD" 0 0
"QE" 1.26320044464656e-06 1.21191437039623e-06
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 2.2737608003638e-05 2.25152056131961e-05
"QK" 0 0
"QQ" 6.5219566497246e-05 6.45541101293885e-05
"QU" 9.72537717067691e-05 9.21783710176137e-05
"RA" 0 0
"RB" 0 0
"RE" 2.57248655144828e-05 2.56368276980005e-05
"RO" 0.00047614591926417 0.000408461462641884
"RP" 7.22766728098099e-05 6.35736162250434e-05
"RQ" 0 0
"RT" 0.00356527068797013 0.00279651658699849
"RU" 0.00317305685280467 0.00263227872077918
"RX" 4.41579401864538e-05 3.6704994328027e-05
"RY" 1.62411485740272e-06 1.58483104159015e-06
"RZ" 0.0138021474697257 0.0100051524079083
"SA" 0.00184124820361065 0.00153673618602293
"SD" 0.00241551895266033 0.00206423978476763
"SI" 7.57920266787934e-06 7.51235401326087e-06
"SR" 6.201165819174e-06 6.12782964148634e-06
"SU" 0.000144361726899244 0.000138680752414127
"SY" 4.46090214166613e-05 4.43177422789839e-05
"TA" 6.49645942961086e-05 6.40254425627351e-05
"TC" 0.000240671960274707 0.000223410808543099
"TD" 9.57607335143546e-05 8.74566408960505e-05
"TE" 6.82128240109141e-06 6.78481100384459e-06
"TI" 2.09581430294403e-05 1.9288607012004e-05
"TM" 0.000168675185246442 0.000148168562465656
"TQ" 0.0224290668095776 0.0166746439934684
"TU" 0.00118635362512818 0.000978553833805118
"UA" 0.000279136870578607 0.00026347295815261
"UB" 1.67228305018209e-05 1.6632969942438e-05
"UE" 0 0
"UF" 1.16936269732996e-05 1.16086988934208e-05
"UH" 0 0
"UI" 4.6373636310657e-05 4.61191373922838e-05
"UK" 1.10203349136406e-05 1.09757818742547e-05
"UM" 9.07689381447845e-05 7.78682319773346e-05
"UN" 0 0
"UP" 4.10089001494186e-05 4.09457952936881e-05
"UQ" 0.00724554200187506 0.0062883107318186
"UR" 2.28629782733323e-05 2.26545052490733e-05
"UT" 0 0
"UU" 0.0109617207809523 0.00989449975752065
"UY" 2.40008084482846e-05 2.38606118066307e-05
"VE" 0.053443120262392 0.0337153124755081
"VI" 0.0118845061593993 0.00762679280118198
"VJ" 0.0358434300724 0.0190206601060623
