"Q" "C"
"AA" 4.1269653757661e-05 4.02456991002565e-05
"AC" 6.48619984355835e-05 6.38042800568794e-05
"AD" 0.000415020652180561 0.000406000176199715
"AE" 7.3366953920273e-05 7.06701952474214e-05
"AF" 0.000802313948948551 0.000633136962046599
"AH" 0.00156643164725036 0.0014823110824119
"AI" 4.17057658221249e-06 4.12402921111589e-06
"AM" 0.000640240978205454 0.000620258403885281
"AQ" 7.15451361685332e-05 6.81687095441613e-05
"AY" 7.21162200674243e-06 6.72812272189151e-06
"AZ" 5.57741378915642e-05 5.23542652923175e-05
"BA" 9.12747060871895e-05 8.64272761347092e-05
"BD" 0.00093183685489057 0.000879147633072687
"BF" 0.0191554403100817 0.016472420824729
"BI" 0.000657558549812912 0.000626439327665746
"BK" 0.000132117908157946 0.00011601311542278
"BM" 0.0076131731119141 0.00564386304465418
"BP" 0.000279254522105214 0.000259671560874765
"BQ" 0.00437836037354939 0.0032095207104694
"BU" 1.60616848136398e-05 1.60130194999294e-05
"BV" 0.000365611517892386 0.000319423248169764
"CN" 0.00125740899527832 0.00112670803565079
"CO" 7.16524989350602e-05 6.86448738469607e-05
"CQ" 0.000558526260224975 0.000532338669455263
"CT" 4.58432425901928e-06 4.35013062959243e-06
"CU" 0.00213505519022874 0.00193414594228164
"DA" 3.27178716096588e-05 3.13478884753667e-05
"DB" 0.000596077550790631 0.000565760509615155
"DE" 0.000999652588322065 0.000972735401566255
"DI" 0.0114281774898885 0.0095994115048154
"DK" 0.00186389025554092 0.00161603980115238
"DM" 0.000608396024362077 0.000575917994791422
"DQ" 0.000284536128870428 0.0002705700148542
"DR" 0.000237851362790181 0.000226859551998642
"DS" 7.62807657975673e-05 7.04858455807555e-05
"DT" 1.01342952300786e-05 9.98914578691339e-06
"DW" 6.31034381577466e-05 6.12382251403654e-05
"DX" 0.000167688671191132 0.000159842024790436
"DY" 0.000152060856450506 0.000149776647446164
"EA" 8.37854724108801e-05 8.21009277333532e-05
"EC" 9.94706483688611e-06 9.87735193751796e-06
"EE" 3.61244509250912e-05 3.57854357048176e-05
"EI" 4.77886419578079e-05 4.7208945174121e-05
"EN" 0.000510475468588202 0.000336495382648337
"EO" 3.30077219197059e-05 3.26786712937385e-05
"EP" 0.000386636613990308 0.000373647449875995
"EQ" 0.00830443306752211 0.00668076473408772
"ER" 0.000277647835170959 0.000258648913383118
