"Q" "C"
"AA" 5.3042937342836e-05 5.15273518640098e-05
"AC" 0.000136544998851619 0.000133500967984832
"AD" 0.0020442665335105 0.00189872991905107
"AE" 0.00890332698911908 0.00615353869639528
"AF" 0.000335105890552767 0.000306057641038502
"AH" 0.0271485609888675 0.0167016899430851
"AI" 4.24790662772638e-05 4.12222412507714e-05
"AM" 0.0677731815349751 0.0381971609682721
"AQ" 5.28565115854998e-06 5.08794846709183e-06
"AY" 6.93904249243762e-06 6.2797581396734e-06
"AZ" 7.98558731270465e-06 7.42938990972031e-06
"BA" 8.71282527881041e-06 8.58198419420645e-06
"BD" 0.00460418225792417 0.00301768055272317
"BF" 0.000257992768157775 0.000234037682272068
"BI" 0.00050160435025516 0.000457125803255653
"BK" 0 0
"BM" 4.90688970791899e-05 4.77622115065208e-05
"BP" 3.43936535197572e-06 3.21096052751686e-06
"BQ" 4.86620560784624e-06 4.63599163299655e-06
"BU" 0.000729207113296572 0.000718281025421524
"BV" 2.52290563628853e-06 2.43273163539311e-06
"CN" 5.12640404868135e-05 4.81287330037835e-05
"CO" 0.00200079440897767 0.00164471745616146
"CQ" 0.00878544839264227 0.00731164633184216
"CT" 0 0
"CU" 0.00452639346318608 0.00348882790052127
"DA" 0.000541042635693781 0.000459027732772298
"DB" 0.0153467072653465 0.0112840323059683
"DE" 0.0780743104340439 0.0508666414754822
"DI" 5.45301041415986e-05 5.4054432595069e-05
"DK" 2.42036171424231e-05 2.40419730884829e-05
"DM" 0.000142114500374478 0.0001350375549382
"DQ" 1.23154978251293e-05 1.20341486588837e-05
"DR" 0.00123163829475799 0.00106579405830301
"DS" 2.79970769702386e-06 2.71377093871425e-06
"DT" 0.000103594297527852 9.68615953210124e-05
"DW" 0.00240385489506202 0.0019591850407868
"DX" 0.000173720123752147 0.00015022881218075
"DY" 0.00280639147048618 0.00255032618868121
"EA" 0.00930428963675349 0.00813758760121971
"EC" 0.000791475604996616 0.000751189064735619
"EE" 0.000315385712962902 0.00029780016528108
"EI" 0.00651933253153584 0.00591416183760193
"EN" 0 0
"EO" 0 0
"EP" 0.000376152694904929 0.000366585820016303
"EQ" 6.91494069746858e-06 6.84334489185369e-06
"ER" 4.28939090649128e-05 4.18528621276418e-05
"ES" 1.26677392895496e-05 1.2468605815204e-05
"ET" 0.000114028260574701 0.0001102424901168
"EU" 1.33458355461143e-05 1.31991825974355e-05
"EV" 0.00182674928224556 0.00159671577739996
"EW" 0.000129765770750478 0.000127698373842627
"EX" 0.000110266492112502 0.00010799677434621
"FA" 0.000150322259418523 0.000138903652943459
"FE" 1.4961417145432e-05 1.48713993046861e-05
"FF" 1.48937184253169e-06 1.46710337499216e-06
"FI" 0.00026971327245458 0.000252849035223831
"FS" 2.9042750929368e-06 2.84581467747047e-06
"FU" 2.59030564857816e-05 2.51948107839257e-05
"FY" 2.67764306380005e-05 2.63770014462411e-05
"GA" 1.05161654559667e-05 1.01736523712115e-05
"GC" 0.017167137130588 0.0148831682607181
"GM" 0 0
"GU" 0.0681764704337419 0.0436940441941224
"GY" 0.000723155182325604 0.000705965429976751
"HA" 2.7332593207621e-05 2.7134235019848e-05
"HB" 3.28289624301833e-05 3.18748464126821e-05
"HE" 1.760166722992e-06 1.74020941065057e-06
"HF" 1.9681486871946e-06 1.90330400708813e-06
"HI" 8.03516109045849e-06 7.99851351174561e-06
"HL" 5.47182263886644e-06 5.33403461050617e-06
"HQ" 0.000177372779932596 0.000161880211816934
"HT" 0.00159479320446203 0.00116877186991751
"HY" 7.95238505858856e-05 7.10635774589629e-05
"IA" 0.000362677017907173 0.00033724642523959
"ID" 0.00272005246705423 0.00229245787136876
"IF" 0.000202330682648976 0.000186881612695371
"IG" 9.42014736809641e-05 8.78313593443827e-05
"IH" 0.0115962450313937 0.00756318039929954
"II" 0.00271196788199563 0.00231049865950043
"IJ" 3.64036120430023e-05 3.54291003033119e-05
"IK" 1.57353474603489e-05 1.51690602096589e-05
"IL" 0 0
"IM" 0.00513008669267754 0.00377199110297817
"IO" 3.21989900840247e-05 2.80314187385347e-05
"IP" 0.000132438679155358 0.000111249932841386
"IQ" 0.000399178146625137 0.000390170321574139
"IU" 0.00029210928827271 0.000278726258749632
"IX" 0.00154277795065291 0.00135593561554991
"IY" 0.00345026044347554 0.00281573827360015
"JA" 0.106667325656547 0.0602501277837123
"JB" 0.000967891536901066 0.000742743061900071
"JI" 0 0
"JM" 0 0
"JO" 1.65958576739246e-06 1.64381297111653e-06
"JS" 1.57157743124286e-06 1.56363491999017e-06
"JU" 0.000306988168422328 0.000263622540972909
"JW" 0 0
"JY" 0.0040783197340218 0.00341151751444634
"KA" 0.0218203250958895 0.0147429496081625
"KI" 2.4076470285753e-05 2.33982810493242e-05
"KM" 0.00200786467006304 0.00163617190490669
"KU" 0.00140265603513447 0.0012415584807355
"KV" 0.00588744488317407 0.00424823231131933
"KY" 0.00380124308847755 0.00324016268708419
"LE" 0.0331258575817493 0.025198646349754
"LI" 1.37818953614526e-05 1.29359780773646e-05
"LJ" 1.29078893019413e-06 1.26079023577874e-06
"LQ" 3.94879508250179e-06 3.84942677856536e-06
"MA" 3.5948454594644e-05 3.40633287858317e-05
"MC" 9.18845676524667e-05 7.55774162636368e-05
"ML" 0 0
"MM" 7.17357908706335e-05 7.0911751128841e-05
"MQ" 5.45927730497574e-05 5.07794312686118e-05
"MR" 0 0
"MU" 0.00671545455006699 0.00456117307311818
"MW" 1.9361833952912e-05 1.87331151663263e-05
"MY" 1.52856583838779e-06 1.51138584531603e-06
"NE" 0.000942229169641397 0.000870605514637862
"NI" 0.000420887599770071 0.000392344233117403
"NM" 0 0
"NN" 5.77080418124138e-05 5.2408791705096e-05
"NQ" 4.98713904847734e-06 4.95688088844056e-06
"NS" 0.000181593370628346 0.00016751522053093
"NU" 0.000130763732350651 0.000128367865001106
"OA" 0.000568324618999977 0.000522134518873306
"OE" 1.5385229120935e-05 1.49722891850911e-05
"OI" 4.36231405431032e-05 3.80025683881241e-05
"OM" 3.30944924636839e-05 3.276522875568e-05
"OO" 0 0
"OP" 0.00017699313653185 0.00016391406947948
"OR" 0 0
"OT" 1.04095881467269e-06 1.0332537959769e-06
"OU" 0.00321268116123279 0.00201364021936128
"OX" 0 0
"OY" 2.01685770342834e-05 2.00944106708364e-05
"OZ" 0 0
"PA" 2.01720369411862e-05 2.00969645784882e-05
"PC" 4.70501423307756e-05 4.66007001772763e-05
"PD" 0 0
"PE" 0.000147779296648098 0.000144622034154611
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.00394787484774717 0.00291619210715062
"PJ" 9.17095779059595e-05 8.04685417195175e-05
"PK" 0.000410817325647667 0.000393602914474724
"PM" 0.00150992890892691 0.00140722823054959
"PN" 0.000381321058757959 0.000375630062839788
"PO" 0.000430313731381387 0.000400280440061606
"PQ" 3.80521729292709e-05 3.79104756284616e-05
"PS" 7.8291984169439e-05 7.60625311623363e-05
"PT" 2.08524939802411e-05 1.98428391053664e-05
"PU" 0.000505210067632621 0.000484595501240556
"PW" 3.56135730247714e-05 3.23654059879295e-05
"PY" 0.00016992243572129 0.000162368790131465
"PZ" 0.000207293639359257 0.000199398054821779
"QA" 9.63274283618219e-05 8.51730226399915e-05
"QC" 6.59047040320275e-06 6.57221856814607e-06
"QD" 0 0
"QE" 0.000122866611039143 0.000112238785262978
"QF" 0.000109463556941903 0.000104119979516813
"QG" 5.68349434802636e-05 5.39998626025063e-05
"QH" 2.29613080904094e-05 2.2166501387297e-05
"QJ" 4.30929029483894e-05 3.92153065814715e-05
"QK" 0 0
"QQ" 0.00854423487101839 0.00710205232723996
"QU" 0.0277160242456139 0.0226845526243675
"RA" 8.18424611572137e-05 7.15411371221422e-05
"RB" 3.35352025981809e-06 3.28157839744159e-06
"RE" 0.00647646683609899 0.00562200761012283
"RO" 0.0013976306242353 0.00105681432298289
"RP" 0 0
"RQ" 0.0042805149548731 0.00321330383888446
"RT" 2.64992003698279e-05 2.57994842924721e-05
"RU" 9.90958827539721e-05 9.53575949828658e-05
"RX" 2.7206338659116e-06 2.67504289568925e-06
"RY" 0.000661412619797884 0.000611855326158045
