"Q" "C"
"AA" 0.00027485813305235 0.000247226434151345
"AC" 0.000560682427275815 0.000514336615120934
"AD" 0.000759980358798538 0.000724455851750816
"AE" 0.00121608649170452 0.00102621457384827
"AF" 1.01928639648805e-05 9.98969523491993e-06
"AH" 0.00196203607074227 0.00166082129670269
"AI" 0.000385890639196897 0.000351922703028435
"AM" 0.00126863296375499 0.00117691668580098
"AQ" 0.000144492828557674 0.000137878747498268
"AY" 0.000173635642709233 0.000150216628769982
"AZ" 1.46014515059862e-05 1.3258313132474e-05
"BA" 0.000195031496324633 0.000188220331561798
"BD" 8.58168412980741e-05 8.19953036757873e-05
"BF" 0.000442456129390354 0.000422252735746908
"BI" 0.00163351154076684 0.00155687465586584
"BK" 9.87735093375301e-06 9.16013397227074e-06
"BM" 4.42341856998255e-06 4.39041127294508e-06
"BP" 0.000656843394127916 0.000583824996675794
"BQ" 0.000168988917783181 0.000161913602497352
"BU" 0.0136653940361509 0.01279991580508
"BV" 1.5645472018401e-05 1.47446838017743e-05
"CN" 8.51318228652486e-05 7.95629433860735e-05
"CO" 0.0248123868945337 0.0161600491935674
"CQ" 0.0347418976384329 0.0268930999527958
"CT" 1.88093630377433e-05 1.59466894119688e-05
"CU" 0.0012380319816587 0.000984619142884078
"DA" 0.0111089040170499 0.00811195406185904
"DB" 0.00532714233851233 0.00413469966877246
"DE" 0.00437811797573207 0.00396681745971025
"DI" 1.24392507525922e-05 1.2384278379274e-05
"DK" 4.9547621973064e-06 4.94156950486642e-06
"DM" 0.00521198521241302 0.00469443614283161
"DQ" 0.000826435427135154 0.000787242814746122
"DR" 0.00426120093799976 0.00348954322033187
"DS" 0.000175163248696341 0.000166044347015555
"DT" 0.00107500800083938 0.000902815589659213
"DW" 0.00645139730182057 0.00409208962355806
"DX" 0.00608383062944236 0.00450898662134896
"DY" 0.0546748722874563 0.0326665152379614
"EA" 0.0963550733439602 0.0614869504342567
"EC" 0.0216928120192228 0.0154514372189136
"EE" 0.015511332678976 0.0115786797827555
"EI" 0.0620801432100471 0.0361410602864384
"EN" 0 0
"EO" 5.8333459722496e-07 5.82316526710634e-07
"EP" 0.00143651521010431 0.00134068592521295
"EQ" 2.06982279956278e-05 2.02703396658407e-05
"ER" 3.73832615042522e-05 3.47529791752347e-05
"ES" 0.000101705645189569 9.42378825009824e-05
"ET" 0.000262561097819511 0.00024048148735212
"EU" 5.47509603779226e-06 5.42433332026335e-06
"EV" 0.00132102865888527 0.00102583931438789
"EW" 0.000342385644516371 0.000327667870605344
"EX" 0.000323747608148973 0.000303574317547352
"FA" 0.000478442413795771 0.000434484558806812
"FE" 4.67010815778336e-06 4.63933702095097e-06
"FF" 5.54455611483021e-05 5.37477453914576e-05
"FI" 0.014280268853251 0.00952974887625108
"FS" 0 0
"FU" 2.55290804753018e-06 2.51896754177968e-06
"FY" 0.000516073398618893 0.0005032319665919
"GA" 0.00102970480676367 0.000978280581033233
"GC" 0.00855700681336112 0.00809263799176402
"GM" 9.94674352203969e-05 9.55522473896639e-05
"GU" 0.00141553990691098 0.0013384286007338
"GY" 7.2791185565878e-05 7.22631258403735e-05
"HA" 1.6648122749118e-05 1.64981035275729e-05
"HB" 0.000148986651593479 0.000136292753279689
"HE" 5.21760389740104e-06 5.12762309127862e-06
"HF" 2.3958385243168e-06 2.32981658148853e-06
"HI" 9.31204452921672e-06 9.24540061905465e-06
"HL" 3.7129643307038e-05 3.55286672269411e-05
"HQ" 0.00398294170686562 0.00267474565710889
"HT" 0.00014654387461085 0.000132639376665031
"HY" 0.000206956599082938 0.000180047698882691
"IA" 0.00249759341864233 0.00222341010431386
"ID" 0.00373117370156934 0.00285490490151895
"IF" 0.00119579539493499 0.000872533709500074
"IG" 0.00339329261547804 0.00272743414677278
"IH" 0.00306031467971203 0.0024607394975914
"II" 0.00679873606146255 0.00497707183224649
"IJ" 6.26214294561364e-05 5.92068949338769e-05
"IK" 0.000192439379293831 0.000165709952701997
"IL" 0 0
"IM" 0.000933309949220569 0.000795278307554284
"IO" 0.000105141474403868 9.91932756453944e-05
"IP" 0.000126931403701299 0.000107165320320554
"IQ" 0.00991051446830964 0.0085150639284685
"IU" 0.00122200884420239 0.0010562095633106
"IX" 8.15894868465476e-05 7.80425821408122e-05
"IY" 0.000279434646968079 0.000261853971938022
"JA" 0.0114525394869635 0.00967191913808567
"JB" 9.25810479172155e-05 8.85229276864288e-05
"JI" 1.13738848950214e-05 1.10629370908847e-05
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 0.000193694545994086 0.000184906543493142
"JW" 0 0
"JY" 0.0075130061763193 0.00639353816875955
"KA" 0.00114394635662076 0.00109511800482408
"KI" 0.000858516060965086 0.000815215287615088
"KM" 0.00113027836295115 0.000955203596906996
"KU" 4.0571074751735e-05 3.97599277441848e-05
"KV" 0.000287455995053793 0.000272683219620347
"KY" 0.000501707026891482 0.000482766357529213
"LE" 0.00468510978016621 0.00439660445584521
"LI" 0.000143211789294243 0.000128414834809763
"LJ" 8.91432414670342e-06 8.55319904592397e-06
"LQ" 8.42262799372278e-06 8.13707885286609e-06
"MA" 0.000789727632840319 0.000717822147627899
"MC" 0.000171674882945569 0.000131849832965161
"ML" 1.57843479249107e-06 1.52001887264847e-06
"MM" 1.55176866476408e-05 1.54529567604934e-05
"MQ" 1.91513045684957e-05 1.78463830718918e-05
"MR" 2.68333914723482e-06 2.66284240463241e-06
"MU" 0.000292265755476376 0.000271627351866546
"MW" 7.70217718187771e-06 7.60331096587041e-06
"MY" 3.07110940867041e-05 3.01191728895698e-05
"NE" 0.00109100353941353 0.00102884812840855
"NI" 0.000990265489820592 0.000909301695255712
"NM" 0 0
