"Q" "C"
"AA" 0.000652098869551383 0.000592845828916557
"AC" 7.18392414847981e-05 7.09113006220268e-05
"AD" 3.47966686527147e-05 3.31942246337257e-05
"AE" 2.22365860368634e-06 2.14447350549923e-06
"AF" 2.7783704968171e-07 2.74591174866463e-07
"AH" 1.72377671629596e-05 1.60228265004347e-05
"AI" 9.30868897143413e-06 9.21454917695654e-06
"AM" 5.60697678846128e-06 5.44748227046272e-06
"AQ" 0.00036466441798558 0.000302927768184441
"AY" 0.00226451388155986 0.00163089352548991
"AZ" 7.50861887281393e-05 5.92619620464703e-05
"BA" 0.0090576297398557 0.00714976360897069
"BD" 1.89170566570377e-06 1.86280908193504e-06
"BF" 0.000143340198750844 0.000131957751923239
"BI" 7.56080355587159e-06 7.47701492633698e-06
"BK" 2.52072711741301e-06 2.47996649074965e-06
"BM" 3.0396696268749e-06 3.00450390798619e-06
"BP" 5.00106689427078e-06 4.91105720590495e-06
"BQ" 6.12447474444701e-06 5.77590261545882e-06
"BU" 6.26598239240416e-06 6.2616152241537e-06
"BV" 3.95870237020843e-05 3.32287654585068e-05
"CN" 0.000248718928871883 0.000207967529145984
"CO" 0.000691411213087958 0.000578875667165585
"CQ" 0.00778414642253836 0.00616091966700683
"CT" 0.000102086256333011 7.2156586264543e-05
"CU" 0.000968917659901237 0.000704115562139231
"DA" 0.00170637557312411 0.00136771278953555
"DB" 0.00146681801349344 0.00120072710978518
"DE" 6.60241733196215e-05 6.24916790942549e-05
"DI" 2.54354674277556e-05 2.53003790531381e-05
"DK" 7.14692887245973e-06 7.1319888143194e-06
"DM" 0.0512446380956641 0.0355628954230694
"DQ" 0.0345419535103662 0.0258421983231733
"DR" 0.00720138309176766 0.00549289423374178
"DS" 0.0160764893101383 0.01025047313196
"DT" 7.93963226412291e-06 7.87988842060244e-06
"DW" 4.66061125123124e-05 4.33529724495829e-05
"DX" 0.000248411445742844 0.000199387261827851
"DY" 0.000319684559677609 0.000305922004426655
"EA" 0.000171436034644755 0.000163558707272532
"EC" 2.31315203686594e-05 2.27161016436952e-05
"EE" 6.18465109184483e-05 5.98273597066098e-05
"EI" 0.000129792645424464 0.000126856750978294
"EN" 0 0
"EO" 6.66808919236104e-07 6.65364427802219e-07
"EP" 0.000222150589145142 0.000215185323621255
"EQ" 0.000607153868362505 0.000543439948194039
"ER" 3.44520981273618e-05 3.25358567555455e-05
"ES" 4.2058329133305e-05 4.14649153989443e-05
"ET" 0.000228557059509593 0.000220127933969373
"EU" 8.26481128241961e-05 7.97810665201028e-05
"EV" 0.000371605655615632 0.000332328582101049
"EW" 0.000209681591796064 0.000206746315561968
"EX" 0.00018672335849975 0.000182555422218934
"FA" 5.9405469989495e-06 5.88809793094153e-06
"FE" 1.10785621995804e-05 1.06972021181742e-05
"FF" 0.00523365929614641 0.00350063102068224
"FI" 6.5520255825494e-06 6.37566874259306e-06
"FS" 3.91924727087243e-07 3.46179820664728e-07
"FU" 2.79396801193727e-05 2.63111335504543e-05
