"Q" "C"
"AA" 0.00379045149727042 0.00281162855299404
"AC" 0.00575366269191132 0.00251122792077288
"AD" 1.00121897761506e-05 9.94205693106981e-06
"AE" 3.3450835512907e-05 3.22740872996987e-05
"AF" 8.07239041263221e-06 7.89664169704387e-06
"AH" 7.23484004022048e-05 7.04348190658665e-05
"AI" 0.00396546159542578 0.00300930113566752
"AM" 2.40070603462728e-05 2.3702459903959e-05
"AQ" 1.40865111818166e-05 1.39719715229193e-05
"AY" 1.09475628918765e-05 1.05685547154531e-05
"AZ" 1.45380110837796e-06 1.43129017152946e-06
"BA" 2.37514677580975e-05 2.34546312954982e-05
"BD" 1.60152676246254e-05 1.58204086322074e-05
"BF" 0.00012539579503909 0.000123457180159902
"BI" 2.41554645699724e-06 2.37894103238081e-06
"BK" 1.00554576662809e-05 9.45810024120872e-06
"BM" 6.89392851228001e-05 6.80714756489523e-05
"BP" 2.78821430755277e-05 2.59116172899817e-05
"BQ" 1.27934497537261e-05 1.22938186114077e-05
"BU" 0.00188867735426431 0.00184878578551097
"BV" 2.18268737537759e-05 2.12059968837907e-05
"CN" 0.000110585823974221 0.000107503637377688
"CO" 0.000390370749114792 0.000366493669878843
"CQ" 0.000654867181112103 0.000632975743352369
"CT" 9.69200738918643e-07 9.38617565392977e-07
"CU" 0.000567221538078209 0.000541524912023374
"DA" 0.00040844407301799 0.000388768220113326
"DB" 0.000360733602948698 0.000346632597472664
"DE" 9.7310699662671e-05 9.60731471381811e-05
"DI" 0.00230055580396846 0.00220195698938697
"DK" 0.000324480233996306 0.000319509698223802
"DM" 0.00035379372039159 0.000347677184918512
"DQ" 0.000136603921321973 0.000134919086487695
"DR" 0.000200230550379681 0.000194633543944188
"DS" 3.77492143825109e-05 3.71676336916537e-05
"DT" 0.000132569653958379 0.000117332460219805
"DW" 5.27965256343019e-05 4.98930447676861e-05
"DX" 3.83348175154632e-05 3.6955465681921e-05
"DY" 0.000618866794140411 0.000571963748675915
"EA" 0.000606334900798267 0.000571981768042902
"EC" 4.54046009133288e-05 4.36932211162015e-05
"EE" 6.39234184118534e-05 6.22425346530386e-05
"EI" 0.000494603144438643 0.000445516500258289
"EN" 1.16304088670237e-05 1.14297326864489e-05
"EO" 0 0
"EP" 0.0193891987448871 0.0096814862744602
"EQ" 0.000110636771791008 0.000109312263825255
"ER" 0.00192237436763351 0.000880263096018666
"ES" 0.0309595956005556 0.00846966637687296
"ET" 0.0828652872658897 0.0320511558939476
"EU" 0.000954430946154277 0.000922164336874865
