"Q" "C"
"AA" 0.000272806212696853 0.000252219398211971
"AC" 0.000133806060450652 0.000132201484818492
"AD" 0.000102851603868833 9.59566448351143e-05
"AE" 2.63590699406474e-06 2.47428285898292e-06
"AF" 0 0
"AH" 7.84252600521014e-06 7.04873187007736e-06
"AI" 1.12180826400974e-05 1.11015974739421e-05
"AM" 2.10964870263045e-06 2.01344398137216e-06
"AQ" 0.000460005173314499 0.00033070144227734
"AY" 0.000649355865662363 0.00045943559828607
"AZ" 0.000114727315841984 7.84880981233575e-05
"BA" 0.00437948968723434 0.00360675586743074
"BD" 3.06218385179383e-06 2.99000339173337e-06
"BF" 6.59878928023708e-05 6.04789631015943e-05
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 6.32365876778449e-07 6.20505397725689e-07
"BQ" 2.05892027930991e-05 1.94056041610327e-05
"BU" 5.13389822642298e-08 5.12993169931233e-08
"BV" 1.82913245665499e-05 1.58604068495659e-05
"CN" 8.09053106478018e-05 7.00211499011151e-05
"CO" 0.00202937180422351 0.00156341460866142
"CQ" 0.0186019892554318 0.0130419185980683
"CT" 0.00115947534849681 0.000734454754663064
"CU" 0.00225537158422234 0.00144322427593495
"DA" 0.00242008571254395 0.00174603740883349
"DB" 0.00634979726015665 0.00465721653148428
"DE" 7.18079552303672e-05 6.56861360967423e-05
"DI" 1.68353493682323e-05 1.67514335879498e-05
"DK" 3.16182938389225e-06 3.15517662984382e-06
"DM" 0.0289032488922988 0.0193858514722228
"DQ" 0.0386123271039278 0.0278585082249155
"DR" 0.0208889989433705 0.0139226585801824
"DS" 0.00914282818073528 0.00612167965886907
"DT" 2.16682703572383e-05 2.14474806960604e-05
"DW" 3.61891411692001e-05 3.24905363243771e-05
"DX" 0.000400431355382138 0.000296167169795992
"DY" 0.000691325540558323 0.000647540364912726
"EA" 0.000505230425940716 0.000471437252220097
"EC" 4.40177353908364e-05 4.28241555693362e-05
"EE" 0.000147159544900521 0.000140030939898766
"EI" 0.000331715806278667 0.000320068540640725
"EN" 0 0
"EO" 0 0
"EP" 8.98295970567124e-05 8.73549621913118e-05
"EQ" 0.000779475285315711 0.000712000070181865
"ER" 5.36878629384904e-06 5.13119988839251e-06
"ES" 4.63086395917757e-06 4.57524037238493e-06
"ET" 4.92874683458822e-05 4.72866125802468e-05
"EU" 0.00028717484404974 0.000277267041877939
"EV" 0.000191661911848952 0.000167887354505437
"EW" 1.27062477886727e-05 1.2549172655581e-05
"EX" 3.28185407372591e-05 3.21404273825733e-05
"FA" 1.10664028436229e-06 1.09474672015363e-06
"FE" 3.31992085308686e-06 3.21921643278212e-06
"FF" 0.000605761133867968 0.000442605659328156
"FI" 1.64540870457177e-05 1.57491328157465e-05
"FS" 0 0
"FU" 1.41209097980264e-05 1.3220987303855e-05
"FY" 0.00141529112846527 0.00129210065204774
"GA" 0.00380554081130204 0.0030704167288134
"GC" 5.82876005809299e-06 5.81109211206214e-06
"GM" 0.00019607878810067 0.000171750094303108
"GU" 5.22285978974883e-05 5.02705060341161e-05
"GY" 0.000208387357285794 0.000206001025667724
"HA" 4.76043280202211e-05 4.64735899747398e-05
"HB" 5.89465877678809e-05 5.04575107049357e-05
"HE" 7.43662271091457e-06 6.94807788195727e-06
"HF" 0.000233854535528793 0.000202925656938568
"HI" 1.18008562375708e-05 1.15229654616607e-05
"HL" 0.00150727128492614 0.00108806734917938
"HQ" 2.82303984643749e-05 2.74831325233098e-05
"HT" 6.62837570984755e-05 5.87014496744698e-05
"HY" 0.00302845770953297 0.00231702903043365
"IA" 0.0166452731245845 0.0118336401644223
"ID" 7.88393572721359e-06 7.71539651084645e-06
"IF" 2.806955606772e-05 2.72911296796014e-05
"IG" 0.014271111770798 0.010566221035718
"IH" 2.94897523788961e-05 2.86408962259385e-05
"II" 0.000269060914984028 0.000261685520177271
"IJ" 1.3988906064919e-05 1.37492568870226e-05
"IK" 2.71383711403678e-05 2.67380270477442e-05
"IL" 4.42656113744915e-06 4.3814451685139e-06
"IM" 7.3157224812525e-06 7.1862308007761e-06
"IO" 1.32796834123475e-06 1.32138169719755e-06
"IP" 8.31273688928763e-06 8.23865550102518e-06
"IQ" 0.000209134895557331 0.000206339556187289
"IU" 0.000218560309099123 0.000215770812587895
"IX" 1.08722554253137e-06 1.08488237979236e-06
"IY" 2.4439969020732e-05 2.27728190902558e-05
"JA" 0.000121921322755618 0.000116327459799132
"JB" 6.72997530399509e-07 6.63376754145452e-07
"JI" 8.16481633978945e-06 7.45793787633215e-06
"JM" 1.23931769683945e-05 1.14583358739409e-05
"JO" 2.24107298500434e-05 2.09232067107229e-05
"JS" 1.1034784549784e-05 1.08845962121767e-05
"JU" 2.52766701314568e-06 2.37874178726689e-06
"JW" 0 0
"JY" 0.000175033877636145 0.000156107707055876
"KA" 0 0
"KI" 0.0445103414596083 0.0316008575249415
"KM" 0.00605692899346765 0.00442466645648139
"KU" 8.8201809858013e-06 8.72622783931543e-06
"KV" 2.67507407084568e-06 2.64853087636913e-06
"KY" 1.86389744290993e-06 1.85868844755766e-06
"LE" 1.67936668141062e-05 1.66789560589278e-05
"LI" 0.000652934203247453 0.000445504508067919
"LJ" 0.00025846227084695 0.000208765728599213
"LQ" 0.000779746692478593 0.00059803451396317
"MA" 0.0671446399424839 0.0401159387237107
"MC" 0.000161086918976304 0.000118530363281065
"ML" 6.98718452269966e-06 4.91130356399614e-06
"MM" 3.70266628664049e-06 3.68263358035532e-06
"MQ" 5.43531640207547e-05 4.90546489337617e-05
"MR" 1.32796834123474e-06 1.30816286904908e-06
"MU" 5.7737753966728e-07 5.44724405254676e-07
"MW" 0 0
"MY" 0.000414343577077718 0.000386559066833121
"NE" 0.00399730976795563 0.00306435064011334
"NI" 0.0898433518997563 0.0567622295258483
"NM" 0 0
"NN" 0.0107862679364944 0.00764483441520296
"NQ" 3.95740137510386e-05 3.858175346604e-05
"NS" 0.000139888475648207 0.000134018421196573
"NU" 0.00011264380328982 0.000108640770426203
"OA" 0.000101830480245001 9.73900300265601e-05
"OE" 2.50118227458236e-06 2.47883763175901e-06
"OI" 0.000117605492423258 7.84890962454713e-05
"OM" 8.73201111880782e-05 8.55108429317137e-05
"OO" 0.000155724663932403 0.000114395653058129
"OP" 0.000168974116688241 0.000138494800950263
"OR" 2.48994063981515e-06 2.46082180152962e-06
"OT" 1.57103397512146e-06 1.50746962427112e-06
"OU" 0 0
"OX" 0 0
"OY" 0 0
"OZ" 1.59356200948169e-06 1.48048086581433e-06
"PA" 0 0
"PC" 2.30554737465462e-05 2.29178845872474e-05
"PD" 2.65593668246949e-06 2.65182186248006e-06
"PE" 2.987360504179e-05 2.95755328368168e-05
"PF" 9.30104810428304e-06 9.29407861674353e-06
"PG" 0 0
"PH" 0 0
"PI" 1.25735950291978e-05 1.19471471361816e-05
"PJ" 8.63179421802584e-06 8.33303806989493e-06
