"Q" "C"
"AA" 0.000174313226859413 0.000165513325831231
"AC" 1.57057305056954e-05 1.55149557426646e-05
"AD" 0.000455007259219977 0.000404263228566553
"AE" 0.00020391010051704 0.00017877919100439
"AF" 8.78880794611132e-06 8.48342568645439e-06
"AH" 0.000354857056160547 0.000296545541111532
"AI" 6.98737526150465e-06 6.90352057301741e-06
"AM" 0.00050798043497851 0.000460550885224777
"AQ" 0.00118681838900142 0.000839587700899859
"AY" 0.000125766317009663 9.41595382751453e-05
"AZ" 0.000110647921769388 8.50821233830236e-05
"BA" 0.000564065651208591 0.000490205412331482
"BD" 0.000330732353862014 0.000305797874065781
"BF" 0.000444234782592111 0.000394512338800149
"BI" 6.78916914652782e-05 6.63241466793171e-05
"BK" 0 0
"BM" 3.21544954452415e-05 3.13056293321581e-05
"BP" 2.22935616194043e-05 2.16511870943489e-05
"BQ" 7.00654793752707e-06 6.45906455969664e-06
"BU" 2.12319634470517e-06 2.11974148732609e-06
"BV" 1.36602682203875e-05 1.18681634061861e-05
"CN" 0.000230741816535217 0.000198233800324142
"CO" 0.0045670454146157 0.00327762143324901
"CQ" 0.029749322890902 0.0195748032796985
"CT" 1.09192954870552e-06 7.79536032745064e-07
"CU" 0.0119155885590947 0.00689262130110586
"DA" 0.00182116673253588 0.00125123111561711
"DB" 0.00922072485843438 0.0058169055178431
"DE" 0.00298703686953552 0.00259441732899493
"DI" 5.82857752384088e-05 5.7716439875349e-05
"DK" 4.63193818438538e-05 4.60700850387399e-05
"DM" 0.00477713650282492 0.00364535458835961
"DQ" 0.00433579940904134 0.00357172008579214
"DR" 0.007033713488102 0.00469284739118179
"DS" 0.00232338315350688 0.00174147165410426
"DT" 1.41546422980345e-06 1.39557253884732e-06
"DW" 0.000899627797793509 0.000770870652771662
"DX" 0.00485851378572208 0.00342395995683862
"DY" 0.00134267035606184 0.00123619911895054
"EA" 0.00138264809326957 0.00125584443152707
"EC" 9.54690356416254e-05 9.20478686056041e-05
"EE" 0.000940356813292542 0.000879977424567403
"EI" 0.000191805128834489 0.000183262421012879
"EN" 0 0
"EO" 0 0
"EP" 6.99756683051171e-05 6.81214816825755e-05
"EQ" 0.000559794816410603 0.000494137623507793
"ER" 0 0
"ES" 1.27831062684663e-05 1.26313684702913e-05
"ET" 0.000129750481646099 0.000123538638755859
"EU" 6.38716487698435e-05 6.02785881114878e-05
"EV" 0.000509249386667831 0.000436701976862095
"EW" 7.43793251733708e-05 7.34235031332638e-05
"EX" 8.91079207196575e-05 8.72372296066015e-05
"FA" 3.18332390487095e-05 3.117202103124e-05
"FE" 1.26178525628193e-05 1.19060880722993e-05
"FF" 0.00133147759800755 0.00106628294568733
"FI" 8.00069199646866e-05 7.54516437525957e-05
"FS" 0 0
"FU" 0.00103710370150074 0.000898019101145646
"FY" 0.00221798142241429 0.00205978690545393
"GA" 0.00841243181748266 0.0069754538145022
"GC" 4.66548572681772e-05 4.62180410044633e-05
