"Q" "C"
"AA" 0.000785075743611639 0.000725838529151082
"AC" 1.38936782083748e-05 1.37649191315516e-05
"AD" 7.64810739889221e-05 7.18469508602014e-05
"AE" 1.47668975276794e-06 1.40948812232268e-06
"AF" 0 0
"AH" 2.68451091157492e-05 2.44386217438395e-05
"AI" 1.8497482166251e-06 1.8344580061894e-06
"AM" 4.09495755472121e-06 3.93206508884368e-06
"AQ" 0.000188901884229034 0.000158658004999915
"AY" 0.000669405536720248 0.00049949739655504
"AZ" 0.00351055981479849 0.00181578236727852
"BA" 0.00243251005881374 0.00208720305080383
"BD" 1.26604812970549e-06 1.23884551591423e-06
"BF" 0.000118618152696566 0.000109008532291684
"BI" 4.68908540445464e-07 4.6352623758067e-07
"BK" 9.1399323645005e-06 8.98711670327418e-06
"BM" 2.33161539910727e-07 2.30295994652602e-07
"BP" 9.90409159106959e-06 9.74487075888621e-06
"BQ" 6.75271690587606e-06 6.38331146745993e-06
"BU" 2.14260524088902e-05 2.14116962742725e-05
"BV" 0.000138981747200624 0.000121203015954559
"CN" 0.000409318097692908 0.000357603493277403
"CO" 0.0015227075204784 0.00122027729227747
"CQ" 0.0228934153522647 0.0169037470986136
"CT" 6.52295000015462e-05 4.62484466525924e-05
"CU" 0.00160307663209987 0.00110880364048565
"DA" 0.00193904955727463 0.00146491839065767
"DB" 0.00152664583386325 0.00119690672274006
"DE" 0.000164374624087244 0.000152086046802867
"DI" 1.88640140069975e-05 1.87713597820015e-05
"DK" 3.49926627288945e-06 3.49229728468428e-06
"DM" 0.0586664885197547 0.0397382443362216
"DQ" 0.014156305944558 0.0110845830217755
"DR" 0.0136467914943842 0.00973433413683052
"DS" 0.00552973083330753 0.00417000266845472
"DT" 1.60881462538402e-06 1.59724698474055e-06
"DW" 7.71859823710836e-05 7.03764207942075e-05
"DX" 0.000632357081494728 0.00048295307713043
"DY" 0.000522170093430452 0.000494165089515267
"EA" 0.000603827808575568 0.000568458162453058
"EC" 3.52950360046561e-05 3.44855761076211e-05
"EE" 9.90965437332849e-05 9.49491671726345e-05
"EI" 0.000147876838010041 0.000143799494112222
"EN" 0 0
"EO" 2.37501639227e-06 2.37047461988607e-06
"EP" 4.51651267492174e-05 4.40928951894174e-05
"EQ" 0.00239321182346724 0.00217356572212969
"ER" 6.3466789262429e-06 6.10220877645871e-06
"ES" 4.07780285100318e-06 4.03831117571283e-06
"ET" 4.82911061564401e-05 4.65668718461349e-05
"EU" 3.30684271406616e-05 3.19004255599363e-05
"EV" 0.000154854063023867 0.000138005257259977
