"Q" "C"
"AA" 0.000270834307008865 0.000259595085555276
"AC" 1.90438230924327e-05 1.88283547896786e-05
"AD" 0.080360683757512 0.0536901482751061
"AE" 0.000451074522554773 0.000390012131856393
"AF" 0.000185792668322737 0.000177526775055192
"AH" 0.00523615758921515 0.00407053539107305
"AI" 3.82687777922152e-06 3.78722097833409e-06
"AM" 0.00197196172792428 0.00176798549178961
"AQ" 0.000814523111008035 0.000658855629454822
"AY" 0.00309514583461568 0.00229659968722422
"AZ" 0.00147599656267732 0.00114468197292608
"BA" 0.0046857786181971 0.00427458014778038
"BD" 0.000834134790920704 0.000755476986284053
"BF" 0.00033996504241095 0.000312158977888341
"BI" 7.89420052978473e-05 7.71378610771856e-05
"BK" 2.23899979401202e-06 2.18258123443873e-06
"BM" 1.30979095855906e-05 1.2926791160229e-05
"BP" 3.28108962554447e-06 3.1946195289515e-06
"BQ" 3.05333641604613e-05 2.88599258309863e-05
"BU" 3.1437188071645e-05 3.13912046559139e-05
"BV" 0.000784436345741446 0.000682652729860064
"CN" 0.00388068396770719 0.00330082364073573
"CO" 0.00462254289425048 0.0034325160489079
"CQ" 0.0237144107057472 0.0164309067491072
"CT" 7.43595235678761e-05 5.47038920656477e-05
"CU" 0.00659826627221381 0.0041629103238667
"DA" 0.00215978262558561 0.00155213646556726
"DB" 0.0137745164538276 0.00914285249799105
"DE" 0.00185259600723936 0.00161454489044925
"DI" 9.87995152923762e-05 9.82534361636608e-05
"DK" 8.46471332700395e-06 8.4412614231263e-06
"DM" 0.00811506316497675 0.00668667926697184
"DQ" 0.00398943865330243 0.00357943948189226
"DR" 0.0113179268569237 0.0079191355348041
"DS" 0.00234791754061256 0.00200438048430727
"DT" 1.43879004261937e-05 1.41728300034254e-05
"DW" 0.00143512838656972 0.00120752683906369
"DX" 0.00116159037045014 0.000875517621900129
"DY" 0.000951551603533928 0.000884218289671737
"EA" 0.0020149245400744 0.00183685062902135
"EC" 5.25282161239848e-05 5.08685175338954e-05
"EE" 0.000270306394512157 0.000255322730782334
"EI" 0.000202139383257114 0.000193630638466089
"EN" 0 0
"EO" 7.12409025367461e-07 7.11140869769847e-07
"EP" 8.40140363517839e-05 8.19452819962401e-05
"EQ" 0.000213014219567099 0.000201569107170537
"ER" 7.23447547195997e-06 6.96357788302189e-06
"ES" 5.86850467843797e-06 5.80641422798813e-06
"ET" 5.39001837406204e-05 5.1941906106982e-05
"EU" 7.41094271330299e-05 7.24807573715108e-05
"EV" 0.000401488019703844 0.000353045246817917
"EW" 1.84136627273229e-05 1.82143302681799e-05
"EX" 7.45143396073162e-05 7.31721260126305e-05
"FA" 2.8278185056735e-05 2.78997026028372e-05
"FE" 4.26672222126183e-05 4.18304148993612e-05
"FF" 0.000845136234167615 0.000765929151603976
"FI" 3.34635757594627e-05 3.17696295935053e-05
"FS" 7.28001231381067e-06 6.7341584219582e-06
"FU" 1.23427311638463e-05 1.17770611469655e-05
"FY" 0.00193730236512184 0.00184014554336404
"GA" 0.00377367091548588 0.00332208270362512
"GC" 4.90456889244792e-05 4.85920722764965e-05
"GM" 0.000101162735780402 9.22612122146397e-05
"GU" 0.00588569562610485 0.00519466141522306
"GY" 0.000333108434292302 0.000329516296282614
"HA" 0.000278493883420217 0.000273900035870449
"HB" 0.000408016004433846 0.000378480408796815
"HE" 8.88161188845591e-06 8.48727273693716e-06
"HF" 6.92101058292343e-05 6.38297686709671e-05
"HI" 8.89565612257815e-05 8.73574468196083e-05
"HL" 0.000680382723516603 0.000595213510772582
"HQ" 3.08836444258992e-05 2.97580304006148e-05
"HT" 0.00158107366749312 0.00128007372519449
"HY" 0.0049663668808085 0.00375639199011478
"IA" 0.0121816950260458 0.00946376234121591
"ID" 0.000161912546939695 0.000154954817991326
"IF" 2.31212352792275e-05 2.24533755276429e-05
"IG" 0.00113569047674192 0.000962050154113454
"IH" 0.000312171844334586 0.0002903962432491
"II" 0.000204807528417053 0.000195002830679722
"IJ" 2.68493970290982e-05 2.64686733668265e-05
"IK" 2.13987461574112e-05 2.11200631481167e-05
"IL" 0 0
"IM" 3.24126348103623e-05 3.11100222347625e-05
"IO" 2.4764240075976e-06 2.43667711766651e-06
"IP" 1.72561297255674e-06 1.69146655570925e-06
"IQ" 9.16708054940651e-05 9.07649257867214e-05
"IU" 6.40270423658887e-05 6.31916815327889e-05
"IX" 3.10632951219748e-06 3.08736175010186e-06
"IY" 0.00837626278278101 0.00717578350133915
"JA" 0.00480686688674495 0.00433436086740976
"JB" 0.000229611872257385 0.000220010500585658
"JI" 2.35322817529715e-05 2.22110119188278e-05
"JM" 0 0
"JO" 3.92934720631178e-05 3.77491982270078e-05
"JS" 5.29411985926132e-06 5.23638372108288e-06
"JU" 0.0131520025097444 0.0111004736495366
"JW" 3.97503586618076e-06 3.92989507823341e-06
"JY" 0.0198576890368734 0.0155485410693501
"KA" 0.000206642686244694 0.000195079291426405
"KI" 0.00456477089115285 0.00399903227574608
"KM" 0.0107718171562194 0.0077236347493163
"KU" 8.94403415328171e-05 8.73882123305801e-05
"KV" 0.000107411235497219 0.000103223657160496
"KY" 1.36941548594055e-05 1.35490490199147e-05
"LE" 0.000168523125859976 0.000164257583873902
"LI" 0.000577014705787665 0.000453486551194186
"LJ" 8.71078748737525e-05 7.78940002919679e-05
"LQ" 0.00010968969615256 9.70625231682402e-05
"MA" 0.00486677957199766 0.00387821694473439
"MC" 0.000223314237398095 0.000158746820228079
