"Q" "C"
"AA" 0.000224748683322092 0.000212967555987324
"AC" 1.51817101639306e-05 1.50148564210325e-05
"AD" 6.48562333667035e-05 6.24489690999678e-05
"AE" 0 0
"AF" 0.000129013809089068 0.000115185394313509
"AH" 0.000118804078074428 0.000111916435417457
"AI" 0 0
"AM" 7.77462637893298e-05 7.59503945340723e-05
"AQ" 0.000186446506463084 0.000165974745804068
"AY" 0.00011338104249165 9.77141752004179e-05
"AZ" 1.649116176799e-05 1.37427055748403e-05
"BA" 0.000304457670373796 0.000267941617855852
"BD" 3.06901492203744e-05 2.98736326778811e-05
"BF" 0.0107605908708713 0.0092837384353129
"BI" 0.000612179710115309 0.000593236615914112
"BK" 6.46029636547218e-05 5.93893665922616e-05
"BM" 0.00532677493956834 0.0045443388450612
"BP" 0.00030181307344484 0.000285633499897254
"BQ" 0.00394950678948023 0.00309449559896602
"BU" 0.000214744574681359 0.000214384919238055
"BV" 0.000516249744788888 0.00040898672270804
"CN" 0.00146221418446258 0.00120721379767368
"CO" 5.63476148974589e-05 5.17023544298649e-05
"CQ" 0.000994129764547387 0.000892633482509341
"CT" 0 0
"CU" 0.000982110807534471 0.00081163066798024
"DA" 9.71613328281942e-05 8.83174717618668e-05
"DB" 0.000192756446469737 0.000174387659004667
"DE" 0.000150278936243903 0.000145921623138981
"DI" 0.003077345295389 0.00278012022313513
"DK" 0.000492531918313279 0.000462606703006421
"DM" 0.0155213339896284 0.0131313691277218
"DQ" 0.0056390532573048 0.00488814683889646
"DR" 0.000477464621172979 0.000424822836195798
"DS" 0.000412333624873501 0.000338854145086025
"DT" 0 0
"DW" 7.37299622786255e-05 7.04198456306412e-05
"DX" 4.56684022138382e-05 4.07126575466975e-05
"DY" 0.000212500867733058 0.000207772902954192
"EA" 4.1762890804342e-05 4.05725223139972e-05
"EC" 0 0
"EE" 6.87131740332915e-05 6.75828429237038e-05
"EI" 0.000214849098689478 0.000212295325609959
"EN" 0.00035052509864837 0.000275920290915737
"EO" 0 0
"EP" 0.000148732090158404 0.00014416755423959
"EQ" 0.0300768297602291 0.0206002629555493
"ER" 8.52022335625654e-05 7.90815028402341e-05
"ES" 1.57358518678155e-05 1.55214226797267e-05
"ET" 0.000304431416983099 0.000290288983857481
"EU" 0.0100196393370255 0.00809638110748796
"EV" 0.000193362135069679 0.000177374760252408
"EW" 0.00010421050759495 0.000102336192925242
"EX" 0.000109724675737693 0.000107143330381539
"FA" 2.0398018554215e-05 2.00116939283317e-05
"FE" 0.0100200647218465 0.00779720355921423
"FF" 0.00156805814525389 0.00128780524030708
"FI" 1.82994031899187e-05 1.80676654821392e-05
"FS" 0 0
"FU" 0.0118586776641159 0.00870594180037949
