"Q" "C"
"AA" 0.00164049259132545 0.00156307278855756
"AC" 1.69724333200426e-05 1.66835222939595e-05
"AD" 0.0073266446281117 0.0063674642435794
"AE" 0.000159609796985798 0.000137150767037478
"AF" 3.57871294944287e-05 3.40627637495782e-05
"AH" 0.00133835317246235 0.00104209578494931
"AI" 3.62790565653297e-05 3.56103507365146e-05
"AM" 0.00147302462759252 0.00119998284806612
"AQ" 0.000145869334377842 0.000130095475878044
"AY" 0.00626945398325172 0.00401616544362252
"AZ" 0.000398675446608809 0.00032326968773345
"BA" 0.000740745574531048 0.000675548453531619
"BD" 0.0187727241123622 0.0106561434301517
"BF" 0.00337144472281652 0.00279726445182219
"BI" 0.000293965856417042 0.000273793303164247
"BK" 2.77039491833751e-06 2.60213478830773e-06
"BM" 3.61808643996571e-05 3.54232008723767e-05
"BP" 4.39609761820551e-06 4.19753646672416e-06
"BQ" 6.61027136483742e-05 5.96511878662494e-05
"BU" 0.000110236820377302 0.00010968689353863
"BV" 0.00473426207401085 0.00349115578520525
"CN" 0.0385584471427993 0.0261052673976153
"CO" 0.00312773857670206 0.00227178340485206
"CQ" 0.0415388203416777 0.0267527241767871
"CT" 2.39505248110111e-05 1.72752459348233e-05
"CU" 0.0541375551465979 0.0275188167721526
"DA" 0.0023859972878053 0.00161630504806117
"DB" 0.00621968251789445 0.00423173458265398
"DE" 0.00599905149626815 0.00466969422003568
"DI" 7.18340666492102e-05 7.12217863423836e-05
"DK" 9.69774621974324e-06 9.65178019432993e-06
"DM" 0.00172238762213253 0.00147440530275181
"DQ" 0.000994349081891476 0.000918887054653423
"DR" 0.0110734315141884 0.00738607892201866
"DS" 0.000280841450817767 0.000250629623889743
"DT" 2.50209525318983e-05 2.45377263041722e-05
"DW" 0.000368019080161444 0.000319880262484519
"DX" 0.000368595221512351 0.000278700667846389
"DY" 0.000623972360736068 0.000577686840983143
"EA" 0.000657063422935948 0.000599437226984707
"EC" 8.33084709743574e-05 8.04693817445021e-05
"EE" 0.000205003518284334 0.000193686120616273
"EI" 0.000150690866661747 0.00014358762289422
"EN" 0 0
"EO" 8.12371442219269e-07 8.09825658675552e-07
"EP" 0.000275206619517161 0.000263384459964169
"EQ" 0.000387887863471629 0.000358679393674823
"ER" 6.23323477681922e-05 5.76015974805394e-05
"ES" 1.84218491997396e-05 1.80932025545162e-05
"ET" 5.81169703005783e-05 5.54025216924258e-05
"EU" 6.71097184405091e-05 6.54645929041703e-05
"EV" 0.00123317134057022 0.00104370981607355
"EW" 6.7200641351077e-05 6.59897496417805e-05
"EX" 0.000127754006344768 0.000124116067235792
"FA" 2.681051968744e-05 2.62141773693387e-05
"FE" 3.37597304448664e-05 3.28971789398372e-05
"FF" 0.000135546127750067 0.000128485507007435
"FI" 4.33068836897981e-05 4.09424456417601e-05
"FS" 0 0
"FU" 3.44816580729824e-05 3.31020034482701e-05
"FY" 0.000608650989647592 0.000585934831671887
"GA" 0.000535441662289548 0.000489398648837211
"GC" 0.000678290317347239 0.000654054816957738
"GM" 0.000140570948118247 0.00012554355836823
"GU" 0.116767486337341 0.063349949115981
"GY" 0.000285569767627197 0.000280393856256945
"HA" 0.000116304672145647 0.000114147950130164
"HB" 5.85347464469596e-05 5.54736144280324e-05
"HE" 1.45171508539533e-05 1.35210753058036e-05
"HF" 4.18825768839079e-05 3.87567553398428e-05
"HI" 0.000124362831221448 0.000120031240398341
"HL" 7.80366110902064e-05 7.2229863027699e-05
"HQ" 1.71982902495935e-05 1.65429887531133e-05
"HT" 0.0412333744437805 0.0216559694760494
"HY" 0.00863380208173429 0.00597806042231
"IA" 0.012612836683863 0.00968400186130967
"ID" 7.43530572000322e-05 7.03422342896609e-05
"IF" 6.84578694928931e-05 6.56922728954044e-05
"IG" 0.000508436463801203 0.000430203809196004
"IH" 0.000510667592637112 0.000447976018595083
"II" 8.83808529796251e-05 8.38750307864114e-05
"IJ" 2.29513081077122e-05 2.24973748108774e-05
"IK" 9.52817522271716e-06 9.38029679341707e-06
"IL" 5.16798159208583e-06 4.8449596643514e-06
"IM" 9.79239909100412e-05 8.98754352356095e-05
"IO" 8.83035934275015e-05 8.28116497248797e-05
"IP" 6.94042323689506e-06 6.63620357928692e-06
"IQ" 0.000129998505210526 0.000128056520453019
"IU" 7.85642841271453e-05 7.71693915685605e-05
"IX" 7.60257950963772e-06 7.3628060547993e-06
"IY" 0.040299832002528 0.0276970358279999
"JA" 0.0151044075062359 0.0117485317277481
"JB" 0.000367943552798221 0.000311076895878539
"JI" 2.52850451001132e-05 2.36529336822e-05
"JM" 0 0
"JO" 1.29181301549468e-05 1.24293788115303e-05
"JS" 1.01295548086368e-05 9.94016050016767e-06
"JU" 0.0189438771675616 0.0137272268326141
"JW" 5.03029714544089e-06 4.92457281168759e-06
"JY" 0.00164196498599907 0.00142191864676245
"KA" 0.00281476405578633 0.00213788369819924
"KI" 0.000998581984449089 0.000916065975811827
"KM" 0.029015382404511 0.0179603871413767
"KU" 0.000362954867918449 0.000332984956444016
"KV" 0.00340844194039986 0.00275471778907626
"KY" 0.000908620777348703 0.000859485389734463
"LE" 0.00410544033561568 0.00369021915640643
"LI" 0.000732586584388414 0.000553862444403812
"LJ" 6.33350006951944e-05 5.67077577743462e-05
"LQ" 1.56577563882303e-05 1.46130070238126e-05
"MA" 0.00130226366014715 0.0010918507238794
"MC" 0.000802419060794119 0.000497190020963835
"ML" 4.35640124277818e-07 4.03884070337919e-07
