"Q" "C"
"AA" 0.000692374532324467 0.000650618534933228
"AC" 0.000821461879432939 0.000776827151586182
"AD" 0.000398910865563576 0.000381030036484063
"AE" 0.0103402190052855 0.00677733901733969
"AF" 0.000690615362504067 0.000631698627611422
"AH" 0.00360041961916161 0.0028070698902481
"AI" 0.000374489236178273 0.000348508389651638
"AM" 0.0130423183350874 0.0105620536140139
"AQ" 3.79470837011499e-05 3.6739986530017e-05
"AY" 1.54220956671554e-05 1.43808687198804e-05
"AZ" 3.27551525054467e-05 3.08782163304605e-05
"BA" 9.06984349427024e-06 8.93771721190555e-06
"BD" 0.0014225725062489 0.00107025532572054
"BF" 0.000210516374193314 0.000191379313809606
"BI" 0.000321734636929904 0.000285975254796438
"BK" 1.61787550640702e-05 1.3030092153293e-05
"BM" 0.000140440656054557 0.000135167938340865
"BP" 5.12723677613764e-05 4.61481624150906e-05
"BQ" 2.04972976723686e-05 1.94780027797065e-05
"BU" 0.00146763953058429 0.00142418332452987
"BV" 6.69015079343801e-06 6.48982110638834e-06
"CN" 7.19030463379079e-05 6.87302485912339e-05
"CO" 0.00219584649680568 0.00186852511177788
"CQ" 0.0038736062864542 0.00345575719339587
"CT" 0 0
"CU" 0.00255997105100699 0.00216607899543112
"DA" 0.000635579671786015 0.000562034033224799
"DB" 0.0186119464039868 0.0148741746714523
"DE" 0.00627786909765876 0.0054733879559011
"DI" 0.000381864996725448 0.000375276066954788
"DK" 0.000156227042065736 0.00015391350593439
"DM" 0.000418563400296515 0.000402076447321606
"DQ" 5.29121995848542e-05 5.18747346056082e-05
"DR" 0.000432494133137957 0.000397103446536949
"DS" 3.30510064519612e-05 3.21537324378319e-05
"DT" 0.00132401404138222 0.00110811472116984
"DW" 0.00220472778694372 0.00172395485900186
"DX" 0.000192276517620242 0.000171699870517791
"DY" 0.00665494174346356 0.00562739717953639
"EA" 0.00865752516295614 0.00730682446235636
"EC" 0.00111071733011943 0.00100870986067828
"EE" 0.000577476562197982 0.000531498223303751
"EI" 0.0146329850330463 0.0118967259777305
"EN" 0 0
"EO" 9.37196677561789e-06 9.35466958637727e-06
"EP" 0.00180314278156635 0.00171406315799062
"EQ" 4.122301050379e-05 4.06895777949077e-05
"ER" 0.000131540467948586 0.000125196732750003
"ES" 0.000103453266184768 9.94935342865807e-05
"ET" 0.000439040208347256 0.000415499731807089
"EU" 6.99016121536954e-05 6.87357558925317e-05
"EV" 0.00572793199835935 0.00468421063851604
"EW" 0.000895653326857079 0.00086334731549281
"EX" 0.000889886952347559 0.000852743442197846
"FA" 0.00104324339077267 0.000862133487010134
"FE" 9.20093758290045e-06 9.11697423532166e-06
"FF" 2.5933915510745e-05 2.54932359194143e-05
"FI" 0.000517084108127829 0.000461161356713398
"FS" 5.65883310223235e-06 5.55031822456648e-06
"FU" 8.12333254084673e-05 7.82002080710407e-05
"FY" 0.000105803316834444 0.0001044157993646
"GA" 7.63352182089416e-05 7.44534960245373e-05
"GC" 0.0252053364605481 0.0199805840889616
"GM" 1.38978908732532e-05 1.355386665612e-05
"GU" 0.0213905774757777 0.0160576779309033
